instance,ld_status,ld_lb,ld_time,tpclp_lb,tpclp_time,tpcmip_status,tpcmip_lb,tpcmip_ub,tpcmip_time
sb_10u_day_res_noreac_seed1,11,2.64360344e+06,6.20811541e+02,2.64454231e+06,7.06070721e-01,11,2.66562488e+06,2.66761618e+06,3.00019158e+02
sb_10u_day_res_reac_seed1,11,2.64313807e+06,6.00022095e+02,2.64454231e+06,9.19797007e-01,11,2.66620299e+06,2.66761618e+06,3.00008846e+02
sb_10u_week_res_noreac_seed1,11,1.78159897e+07,6.61775430e+02,1.78527146e+07,1.34516417e+01,11,1.78998958e+07,NA,3.00090682e+02
sb_10u_week_res_reac_seed1,11,1.77088807e+07,6.97628787e+02,1.78527146e+07,1.29662287e+01,11,1.78907083e+07,NA,3.00005028e+02
sb_10u_month_res_noreac_seed1,11,7.39216361e+07,6.00402344e+02,7.93862623e+07,7.81724037e+01,11,7.93862629e+07,NA,3.00056758e+02
sb_10u_month_res_reac_seed1,11,7.27898845e+07,8.74734099e+02,7.93862623e+07,8.05066234e+01,11,7.93862629e+07,NA,3.00029575e+02
sb_20u_day_res_noreac_seed1,11,4.76581491e+06,6.00005842e+02,4.76729907e+06,2.16299827e+00,10,4.77179388e+06,4.77225955e+06,8.25616368e+01
sb_20u_day_res_reac_seed1,11,4.76368276e+06,6.00025407e+02,4.76729907e+06,2.23619449e+00,10,4.77180461e+06,4.77225955e+06,1.11512632e+02
sb_20u_week_res_noreac_seed1,11,3.20823185e+07,6.00347090e+02,3.21804468e+07,2.99829584e+01,11,3.21855817e+07,NA,3.00021373e+02
sb_20u_week_res_reac_seed1,11,3.15260771e+07,1.40154571e+03,3.21804468e+07,3.11080454e+01,11,3.21879715e+07,NA,3.00016063e+02
sb_20u_month_res_noreac_seed1,11,1.18055261e+08,2.99002890e+03,1.43105485e+08,2.47078371e+02,11,0.00000000e+00,NA,3.01450821e+02
sb_20u_month_res_reac_seed1,11,1.03921714e+08,3.24359239e+03,1.43105485e+08,2.07381775e+02,11,0.00000000e+00,NA,3.00621955e+02
sb_50u_day_res_noreac_seed1,11,1.21932703e+07,9.75396010e+02,1.21961397e+07,6.80066256e+00,11,1.21994047e+07,1.22009530e+07,3.00017013e+02
sb_50u_day_res_reac_seed1,11,1.21909874e+07,6.05583973e+02,1.21961397e+07,6.34910325e+00,11,1.21976268e+07,1.22045052e+07,3.00030879e+02
sb_50u_week_res_noreac_seed1,11,7.86670172e+07,6.00090840e+02,8.23503338e+07,1.53947356e+02,11,8.23503344e+07,NA,3.00860364e+02
sb_50u_week_res_reac_seed1,11,6.73917443e+07,6.37384709e+02,8.23503338e+07,1.37327390e+02,11,0.00000000e+00,NA,3.00271184e+02
sb_50u_month_res_noreac_seed1,11,1.22829031e+01,7.63982163e+03,3.66217042e+08,1.53048650e+03,11,0.00000000e+00,NA,3.13364996e+02
sb_50u_month_res_reac_seed1,11,1.00875468e+01,2.88332511e+03,3.66217042e+08,1.70821008e+03,11,0.00000000e+00,NA,3.09776988e+02
