instance,wld_status,wld_lb,pph_ub,wld_time
sb_10u_day_res_noreac_seed1,12,2.63362417e+06,2.67467077e+06,6.97482449e+01
sb_10u_day_res_reac_seed1,12,2.61812064e+06,2.67870189e+06,7.18668613e+01
sb_10u_month_res_noreac_seed1,12,7.85173285e+07,NA,2.33374489e+02
sb_10u_month_res_reac_seed1,12,7.34936401e+07,NA,1.92467876e+02
sb_10u_week_res_noreac_seed1,12,1.77154294e+07,NA,1.07598284e+02
sb_10u_week_res_reac_seed1,12,1.73394356e+07,NA,1.66378791e+02
sb_20u_day_res_noreac_seed1,12,4.74808193e+06,NA,6.87544801e+01
sb_20u_day_res_reac_seed1,12,4.72516634e+06,NA,7.18416696e+01
sb_20u_month_res_noreac_seed1,12,1.40292717e+08,NA,4.02498912e+02
sb_20u_month_res_reac_seed1,12,1.34461579e+08,NA,4.15490864e+02
sb_20u_week_res_noreac_seed1,12,3.19931041e+07,NA,1.53729843e+02
sb_20u_week_res_reac_seed1,12,3.14160585e+07,NA,2.12725053e+02
sb_50u_day_res_noreac_seed1,12,1.21440386e+07,NA,7.74200179e+01
sb_50u_day_res_reac_seed1,12,1.20882707e+07,NA,9.81572272e+01
sb_50u_month_res_noreac_seed1,12,3.46902444e+08,NA,1.79494746e+03
sb_50u_month_res_reac_seed1,12,1.00875468e+05,NA,1.94361211e+03
sb_50u_week_res_noreac_seed1,12,8.17084948e+07,NA,2.17359689e+02
sb_50u_week_res_reac_seed1,12,7.96346638e+07,NA,3.25854001e+02
