unit,gen_type
0,CCGT_small
1,Oil_peaker
2,CCGT_efficient
3,OCGT_peaker
4,Coal_old
5,CCGT_efficient
6,CCGT_small
7,OCGT_peaker
8,OCGT_peaker
9,CCGT_medium
10,CCGT_efficient
11,CCGT_medium
12,CCGT_large
13,CCGT_large
14,CCGT_medium
15,Oil_peaker
16,Coal_old
17,Coal_old
18,CCGT_medium
19,OCGT_peaker
20,CCGT_large
21,CCGT_medium
22,OCGT_peaker
23,OCGT_peaker
24,Coal_old
25,CCGT_medium
26,CCGT_small
27,CCGT_large
28,CCGT_small
29,Coal_old
30,CCGT_medium
31,CCGT_small
32,CCGT_small
33,CCGT_large
34,CCGT_efficient
35,CCGT_medium
36,OCGT_peaker
37,CCGT_efficient
38,CCGT_small
39,Oil_peaker
40,CCGT_medium
41,CCGT_efficient
42,CCGT_large
43,OCGT_peaker
44,CCGT_medium
45,CCGT_large
46,CCGT_large
47,Oil_peaker
48,Coal_old
49,CCGT_small
