unit,iter,solver,time_us,phase
0,50,stdDP,907.108,cold
0,100,stdDP,464.528,warm
0,50,parDP,60430.3,cold
0,100,parDP,2034.35,warm
0,50,extDP,198.257,cold
0,100,extDP,322.55,warm
0,50,MILP,57262.7,cold
0,100,MILP,123658,warm
1,50,stdDP,706.942,cold
1,100,stdDP,454.145,warm
1,50,parDP,62519.8,cold
1,100,parDP,1372.28,warm
1,50,extDP,213.707,cold
1,100,extDP,147.432,warm
1,50,MILP,76258,cold
1,100,MILP,57499.6,warm
2,50,stdDP,518.239,cold
2,100,stdDP,325.072,warm
2,50,parDP,45407.3,cold
2,100,parDP,711.027,warm
2,50,extDP,663.452,cold
2,100,extDP,943.29,warm
2,50,MILP,134117,cold
2,100,MILP,77758.4,warm
3,50,stdDP,754.002,cold
3,100,stdDP,433.687,warm
3,50,parDP,56644.1,cold
3,100,parDP,574.597,warm
3,50,extDP,171.907,cold
3,100,extDP,178.448,warm
3,50,MILP,52080.6,cold
3,100,MILP,51053.4,warm
4,50,stdDP,568.687,cold
4,100,stdDP,381.371,warm
4,50,parDP,48317.5,cold
4,100,parDP,1276.02,warm
4,50,extDP,1603.67,cold
4,100,extDP,1627.86,warm
4,50,MILP,56139.4,cold
4,100,MILP,54378.3,warm
5,50,stdDP,414.061,cold
5,100,stdDP,242.006,warm
5,50,parDP,48401.4,cold
5,100,parDP,844.03,warm
5,50,extDP,861.908,cold
5,100,extDP,1126.93,warm
5,50,MILP,138314,cold
5,100,MILP,50310.7,warm
6,50,stdDP,775.435,cold
6,100,stdDP,501.357,warm
6,50,parDP,48423.9,cold
6,100,parDP,1135.99,warm
6,50,extDP,330.258,cold
6,100,extDP,327.202,warm
6,50,MILP,23119.6,cold
6,100,MILP,28313.5,warm
7,50,stdDP,665.978,cold
7,100,stdDP,406.792,warm
7,50,parDP,56917.3,cold
7,100,parDP,750.221,warm
7,50,extDP,183.653,cold
7,100,extDP,191.785,warm
7,50,MILP,64275.5,cold
7,100,MILP,65142.1,warm
8,50,stdDP,689.812,cold
8,100,stdDP,418.126,warm
8,50,parDP,62449.2,cold
8,100,parDP,2167.9,warm
8,50,extDP,170.229,cold
8,100,extDP,177.675,warm
8,50,MILP,105582,cold
8,100,MILP,84161.6,warm
9,50,stdDP,775.44,cold
9,100,stdDP,500.824,warm
9,50,parDP,67005.7,cold
9,100,parDP,859.307,warm
9,50,extDP,361.422,cold
9,100,extDP,445.276,warm
9,50,MILP,146416,cold
9,100,MILP,178803,warm
10,50,stdDP,454.503,cold
10,100,stdDP,239.527,warm
10,50,parDP,51322.4,cold
10,100,parDP,700.991,warm
10,50,extDP,870.281,cold
10,100,extDP,1231.17,warm
10,50,MILP,180165,cold
10,100,MILP,82606.4,warm
11,50,stdDP,824.311,cold
11,100,stdDP,488.88,warm
11,50,parDP,45696.7,cold
11,100,parDP,822.837,warm
11,50,extDP,824.523,cold
11,100,extDP,1044.14,warm
11,50,MILP,215897,cold
11,100,MILP,182862,warm
12,50,stdDP,669.801,cold
12,100,stdDP,425.135,warm
12,50,parDP,45753.3,cold
12,100,parDP,264.485,warm
12,50,extDP,508.014,cold
12,100,extDP,554.808,warm
12,50,MILP,138829,cold
12,100,MILP,77454.2,warm
13,50,stdDP,579.764,cold
13,100,stdDP,240.25,warm
13,50,parDP,58013.2,cold
13,100,parDP,2347.94,warm
13,50,extDP,953.216,cold
13,100,extDP,1152.4,warm
13,50,MILP,172706,cold
13,100,MILP,129196,warm
14,50,stdDP,933.536,cold
14,100,stdDP,486.322,warm
14,50,parDP,53016,cold
14,100,parDP,858.749,warm
14,50,extDP,773.371,cold
14,100,extDP,699.752,warm
14,50,MILP,144890,cold
14,100,MILP,167992,warm
15,50,stdDP,735.205,cold
15,100,stdDP,478.859,warm
15,50,parDP,44024.1,cold
15,100,parDP,2170.46,warm
15,50,extDP,192.834,cold
15,100,extDP,205.926,warm
15,50,MILP,72396.9,cold
15,100,MILP,72424.2,warm
16,50,stdDP,480.323,cold
16,100,stdDP,302.132,warm
16,50,parDP,49369.3,cold
16,100,parDP,2662.07,warm
16,50,extDP,887.749,cold
16,100,extDP,926.872,warm
16,50,MILP,56919,cold
16,100,MILP,59861.4,warm
17,50,stdDP,638.304,cold
17,100,stdDP,246.785,warm
17,50,parDP,50209.2,cold
17,100,parDP,969.14,warm
17,50,extDP,1649.2,cold
17,100,extDP,1743.39,warm
