unit,iter,solver,time_us,phase
0,50,stdDP,2.20232e+06,cold
0,100,stdDP,870647,warm
0,50,parDP,721504,cold
0,100,parDP,325051,warm
0,50,extDP,40318.4,cold
0,100,extDP,49773.2,warm
0,50,MILP,4.50417e+06,cold
0,100,MILP,7.06028e+06,warm
1,50,stdDP,4.80581e+06,cold
1,100,stdDP,2.61197e+06,warm
1,50,parDP,1.25968e+06,cold
1,100,parDP,539845,warm
1,50,extDP,125410,cold
1,100,extDP,126340,warm
1,50,MILP,4.53451e+06,cold
1,100,MILP,3.28997e+06,warm
2,50,stdDP,638181,cold
2,100,stdDP,382893,warm
2,50,parDP,449206,cold
2,100,parDP,174239,warm
2,50,extDP,7083.62,cold
2,100,extDP,9105.7,warm
2,50,MILP,2.46389e+06,cold
2,100,MILP,1.84122e+06,warm
3,50,stdDP,680989,cold
3,100,stdDP,502679,warm
3,50,parDP,495222,cold
3,100,parDP,183145,warm
3,50,extDP,20545.7,cold
3,100,extDP,18333.6,warm
3,50,MILP,2.82714e+06,cold
3,100,MILP,3.88624e+06,warm
4,50,stdDP,1.24044e+06,cold
4,100,stdDP,1.15166e+06,warm
4,50,parDP,650592,cold
4,100,parDP,384215,warm
4,50,extDP,190397,cold
4,100,extDP,141920,warm
4,50,MILP,2.6102e+06,cold
4,100,MILP,2.15393e+06,warm
5,50,stdDP,881839,cold
5,100,stdDP,487411,warm
5,50,parDP,404137,cold
5,100,parDP,153908,warm
5,50,extDP,8231.24,cold
5,100,extDP,10310.1,warm
5,50,MILP,2.66423e+06,cold
5,100,MILP,2.22267e+06,warm
6,50,stdDP,753545,cold
6,100,stdDP,684797,warm
6,50,parDP,646898,cold
6,100,parDP,183132,warm
6,50,extDP,9197.77,cold
6,100,extDP,7908.16,warm
6,50,MILP,6.19302e+06,cold
6,100,MILP,4.17054e+06,warm
7,50,stdDP,1.02324e+06,cold
7,100,stdDP,654929,warm
7,50,parDP,447030,cold
7,100,parDP,197580,warm
7,50,extDP,13019.3,cold
7,100,extDP,16723.6,warm
7,50,MILP,3.38787e+06,cold
7,100,MILP,3.5801e+06,warm
8,50,stdDP,1.15116e+06,cold
8,100,stdDP,608555,warm
8,50,parDP,509482,cold
8,100,parDP,239847,warm
8,50,extDP,22503.4,cold
8,100,extDP,25900.6,warm
8,50,MILP,3.00294e+06,cold
8,100,MILP,2.97802e+06,warm
9,50,stdDP,926025,cold
9,100,stdDP,620079,warm
9,50,parDP,637963,cold
9,100,parDP,357305,warm
9,50,extDP,133667,cold
9,100,extDP,115288,warm
9,50,MILP,2.22961e+06,cold
9,100,MILP,2.15211e+06,warm
10,50,stdDP,583209,cold
10,100,stdDP,328296,warm
10,50,parDP,405885,cold
10,100,parDP,166729,warm
10,50,extDP,7046.44,cold
10,100,extDP,8228.39,warm
10,50,MILP,2.26109e+06,cold
10,100,MILP,2.94293e+06,warm
11,50,stdDP,958687,cold
11,100,stdDP,526182,warm
11,50,parDP,463001,cold
11,100,parDP,229570,warm
11,50,extDP,10505.7,cold
11,100,extDP,11825.4,warm
11,50,MILP,2.3381e+06,cold
11,100,MILP,1.77645e+06,warm
12,50,stdDP,631642,cold
12,100,stdDP,334517,warm
12,50,parDP,458290,cold
12,100,parDP,172472,warm
12,50,extDP,4650.99,cold
12,100,extDP,14404.2,warm
12,50,MILP,2.41606e+06,cold
12,100,MILP,2.63535e+06,warm
13,50,stdDP,1.08742e+06,cold
13,100,stdDP,670056,warm
13,50,parDP,635405,cold
13,100,parDP,323566,warm
13,50,extDP,26930.8,cold
13,100,extDP,30716.5,warm
13,50,MILP,7.06257e+06,cold
13,100,MILP,5.52165e+06,warm
14,50,stdDP,1.04155e+06,cold
14,100,stdDP,743627,warm
14,50,parDP,555509,cold
14,100,parDP,222349,warm
14,50,extDP,52526.1,cold
14,100,extDP,30684.3,warm
14,50,MILP,3.02715e+06,cold
14,100,MILP,3.05138e+06,warm
15,50,stdDP,1.2978e+06,cold
15,100,stdDP,1.06003e+06,warm
15,50,parDP,573888,cold
15,100,parDP,253650,warm
15,50,extDP,76083,cold
15,100,extDP,90464.2,warm
15,50,MILP,2.54603e+06,cold
15,100,MILP,2.41808e+06,warm
16,50,stdDP,1.23128e+06,cold
16,100,stdDP,877484,warm
16,50,parDP,574200,cold
16,100,parDP,329978,warm
16,50,extDP,37102.8,cold
16,100,extDP,46422.4,warm
16,50,MILP,2.95016e+06,cold
16,100,MILP,4.40133e+06,warm
17,50,stdDP,1.03488e+06,cold
17,100,stdDP,517298,warm
17,50,parDP,456539,cold
17,100,parDP,196062,warm
17,50,extDP,10850.9,cold
17,100,extDP,12589.6,warm
17,50,MILP,2.39476e+06,cold
17,100,MILP,2.52633e+06,warm
18,50,stdDP,641942,cold
18,100,stdDP,327232,warm
18,50,parDP,429348,cold
18,100,parDP,167397,warm
18,50,extDP,3581.89,cold
18,100,extDP,5249.56,warm
18,50,MILP,2.94846e+06,cold
18,100,MILP,1.79002e+06,warm
19,50,stdDP,1.19074e+06,cold
19,100,stdDP,694233,warm
19,50,parDP,624567,cold
19,100,parDP,442957,warm
19,50,extDP,154149,cold
19,100,extDP,103041,warm
19,50,MILP,2.37874e+06,cold
19,100,MILP,2.22314e+06,warm
20,50,stdDP,671994,cold
20,100,stdDP,442177,warm
20,50,parDP,425340,cold
20,100,parDP,169135,warm
20,50,extDP,12654.9,cold
20,100,extDP,16078.6,warm
20,50,MILP,2.39448e+06,cold
20,100,MILP,3.51228e+06,warm
21,50,stdDP,708318,cold
21,100,stdDP,332629,warm
21,50,parDP,595525,cold
21,100,parDP,190290,warm
21,50,extDP,7814.4,cold
21,100,extDP,8098.52,warm
21,50,MILP,2.77131e+06,cold
21,100,MILP,3.34288e+06,warm
22,50,stdDP,1.14451e+06,cold
22,100,stdDP,930808,warm
22,50,parDP,935129,cold
22,100,parDP,290708,warm
22,50,extDP,10368.1,cold
22,100,extDP,10320.6,warm
22,50,MILP,3.08904e+06,cold
22,100,MILP,1.88909e+06,warm
23,50,stdDP,589560,cold
23,100,stdDP,319517,warm
23,50,parDP,569887,cold
23,100,parDP,157401,warm
23,50,extDP,7389.52,cold
23,100,extDP,4644.13,warm
23,50,MILP,2.25496e+06,cold
23,100,MILP,1.29617e+06,warm
24,50,stdDP,672606,cold
24,100,stdDP,502264,warm
24,50,parDP,418610,cold
24,100,parDP,173420,warm
24,50,extDP,10453.5,cold
24,100,extDP,11416.3,warm
24,50,MILP,2.02215e+06,cold
24,100,MILP,2.27546e+06,warm
25,50,stdDP,985160,cold
25,100,stdDP,908417,warm
25,50,parDP,499272,cold
25,100,parDP,291820,warm
25,50,extDP,50991.2,cold
25,100,extDP,40101.3,warm
25,50,MILP,3.01841e+06,cold
25,100,MILP,2.03242e+06,warm
26,50,stdDP,606212,cold
26,100,stdDP,607503,warm
26,50,parDP,424264,cold
26,100,parDP,205616,warm
26,50,extDP,12541.1,cold
26,100,extDP,14582.2,warm
26,50,MILP,1.56105e+06,cold
26,100,MILP,2.91054e+06,warm
27,50,stdDP,492534,cold
27,100,stdDP,265395,warm
27,50,parDP,371240,cold
27,100,parDP,136805,warm
27,50,extDP,5556.94,cold
27,100,extDP,5471.49,warm
27,50,MILP,2.23355e+06,cold
27,100,MILP,1.29368e+06,warm
28,50,stdDP,1.01974e+06,cold
28,100,stdDP,876351,warm
28,50,parDP,569323,cold
28,100,parDP,314691,warm
28,50,extDP,39467.2,cold
28,100,extDP,44454.4,warm
28,50,MILP,3.04453e+06,cold
28,100,MILP,2.12585e+06,warm
29,50,stdDP,605918,cold
29,100,stdDP,401831,warm
29,50,parDP,415789,cold
29,100,parDP,147779,warm
29,50,extDP,3246.4,cold
29,100,extDP,3121.34,warm
29,50,MILP,1.77349e+06,cold
29,100,MILP,1.45893e+06,warm
30,50,stdDP,712104,cold
30,100,stdDP,375499,warm
30,50,parDP,448125,cold
30,100,parDP,158799,warm
30,50,extDP,5273.47,cold
30,100,extDP,5674.77,warm
30,50,MILP,1.77333e+06,cold
30,100,MILP,1.48059e+06,warm
31,50,stdDP,1.05513e+06,cold
31,100,stdDP,820822,warm
31,50,parDP,598898,cold
31,100,parDP,381644,warm
31,50,extDP,54276.3,cold
31,100,extDP,48395.4,warm
31,50,MILP,3.66769e+06,cold
31,100,MILP,7.67087e+06,warm
32,50,stdDP,3.69951e+06,cold
32,100,stdDP,788526,warm
32,50,parDP,475545,cold
32,100,parDP,274498,warm
32,50,extDP,18862.2,cold
32,100,extDP,23260.1,warm
32,50,MILP,3.54381e+06,cold
32,100,MILP,3.37506e+06,warm
33,50,stdDP,884931,cold
33,100,stdDP,637411,warm
33,50,parDP,522487,cold
33,100,parDP,279935,warm
33,50,extDP,81889.5,cold
33,100,extDP,108270,warm
33,50,MILP,2.53499e+06,cold
33,100,MILP,1.93777e+06,warm
34,50,stdDP,1.26178e+06,cold
34,100,stdDP,898665,warm
34,50,parDP,727272,cold
34,100,parDP,568852,warm
34,50,extDP,90033.1,cold
34,100,extDP,92714.9,warm
34,50,MILP,3.04384e+06,cold
34,100,MILP,2.51129e+06,warm
35,50,stdDP,848408,cold
35,100,stdDP,845371,warm
35,50,parDP,525723,cold
