unit,iter,solver,time_us,phase
0,50,stdDP,70772.2,cold
0,100,stdDP,14292.2,warm
0,50,parDP,61226.7,cold
0,100,parDP,12559.7,warm
0,50,extDP,1705.34,cold
0,100,extDP,2171.47,warm
0,50,MILP,354781,cold
0,100,MILP,280287,warm
1,50,stdDP,23278.2,cold
1,100,stdDP,12249.9,warm
1,50,parDP,58243.3,cold
1,100,parDP,10298.8,warm
1,50,extDP,642.939,cold
1,100,extDP,652.166,warm
1,50,MILP,196028,cold
1,100,MILP,188253,warm
2,50,stdDP,38634.9,cold
2,100,stdDP,29501.3,warm
2,50,parDP,64505.6,cold
2,100,parDP,16335.1,warm
2,50,extDP,13731,cold
2,100,extDP,17165.5,warm
2,50,MILP,537975,cold
2,100,MILP,521412,warm
3,50,stdDP,35085.4,cold
3,100,stdDP,20269.3,warm
3,50,parDP,62991.5,cold
3,100,parDP,8516.92,warm
3,50,extDP,1368.4,cold
3,100,extDP,1357.02,warm
3,50,MILP,300252,cold
3,100,MILP,306063,warm
4,50,stdDP,72047.7,cold
4,100,stdDP,55245.5,warm
4,50,parDP,89142.2,cold
4,100,parDP,14610.2,warm
4,50,extDP,28251.1,cold
4,100,extDP,31295.9,warm
4,50,MILP,747634,cold
4,100,MILP,1.69165e+06,warm
5,50,stdDP,41851.7,cold
5,100,stdDP,53445.1,warm
5,50,parDP,75115.2,cold
5,100,parDP,13986.1,warm
5,50,extDP,14168,cold
5,100,extDP,16278.4,warm
5,50,MILP,452845,cold
5,100,MILP,549560,warm
6,50,stdDP,36869.4,cold
6,100,stdDP,25298.4,warm
6,50,parDP,84642.8,cold
6,100,parDP,9001.9,warm
6,50,extDP,1776.82,cold
6,100,extDP,2200.96,warm
6,50,MILP,318830,cold
6,100,MILP,371516,warm
7,50,stdDP,22728.9,cold
7,100,stdDP,11317.1,warm
7,50,parDP,58568,cold
7,100,parDP,4761.93,warm
7,50,extDP,1145.91,cold
7,100,extDP,671.213,warm
7,50,MILP,197733,cold
7,100,MILP,309255,warm
8,50,stdDP,22698.6,cold
8,100,stdDP,11433.1,warm
8,50,parDP,58167.6,cold
8,100,parDP,5141.54,warm
8,50,extDP,752.316,cold
8,100,extDP,707.378,warm
8,50,MILP,162829,cold
8,100,MILP,365859,warm
9,50,stdDP,46830.5,cold
9,100,stdDP,34761.1,warm
9,50,parDP,69125.3,cold
9,100,parDP,14946,warm
9,50,extDP,5874.05,cold
9,100,extDP,5558.29,warm
9,50,MILP,524048,cold
9,100,MILP,656853,warm
10,50,stdDP,39637.1,cold
10,100,stdDP,32666.3,warm
10,50,parDP,67166.8,cold
10,100,parDP,12907.6,warm
10,50,extDP,14020.5,cold
10,100,extDP,16594,warm
10,50,MILP,634220,cold
10,100,MILP,513401,warm
11,50,stdDP,35722.8,cold
11,100,stdDP,21680.7,warm
11,50,parDP,72680.5,cold
11,100,parDP,14074.2,warm
11,50,extDP,3821.28,cold
11,100,extDP,4510.33,warm
11,50,MILP,569691,cold
11,100,MILP,342368,warm
12,50,stdDP,35562,cold
12,100,stdDP,23869.1,warm
12,50,parDP,64439.5,cold
12,100,parDP,9040.24,warm
12,50,extDP,5900.36,cold
12,100,extDP,6749.87,warm
12,50,MILP,411589,cold
12,100,MILP,430661,warm
13,50,stdDP,35805.2,cold
13,100,stdDP,23485.4,warm
13,50,parDP,62929.6,cold
13,100,parDP,10856,warm
13,50,extDP,9728.89,cold
13,100,extDP,11206.6,warm
13,50,MILP,555752,cold
13,100,MILP,436046,warm
14,50,stdDP,29186.4,cold
14,100,stdDP,17262.4,warm
14,50,parDP,67506.7,cold
14,100,parDP,12431.4,warm
14,50,extDP,5351.43,cold
14,100,extDP,5956.25,warm
14,50,MILP,596094,cold
14,100,MILP,433651,warm
15,50,stdDP,24109.6,cold
15,100,stdDP,13173.6,warm
15,50,parDP,59626.3,cold
15,100,parDP,6355.66,warm
15,50,extDP,848.159,cold
15,100,extDP,835.209,warm
15,50,MILP,226406,cold
15,100,MILP,211630,warm
16,50,stdDP,42265.5,cold
16,100,stdDP,33235.4,warm
16,50,parDP,77138,cold
16,100,parDP,15031.6,warm
16,50,extDP,25131.5,cold
16,100,extDP,17376.8,warm
16,50,MILP,601246,cold
16,100,MILP,1.14198e+06,warm
17,50,stdDP,49534.4,cold
17,100,stdDP,38120.7,warm
17,50,parDP,77741.6,cold
17,100,parDP,16897.5,warm
17,50,extDP,28513.5,cold
17,100,extDP,32577.6,warm
17,50,MILP,534339,cold
17,100,MILP,1.77338e+06,warm
18,50,stdDP,38460.2,cold
18,100,stdDP,23308.9,warm
18,50,parDP,78342.1,cold
18,100,parDP,12201,warm
18,50,extDP,5171.45,cold
18,100,extDP,5723.69,warm
18,50,MILP,634826,cold
18,100,MILP,410790,warm
19,50,stdDP,27692.5,cold
19,100,stdDP,12621.8,warm
19,50,parDP,76333.4,cold
19,100,parDP,12036.6,warm
19,50,extDP,1570.55,cold
19,100,extDP,1374.02,warm
19,50,MILP,338374,cold
19,100,MILP,305930,warm
20,50,stdDP,36619.1,cold
20,100,stdDP,27042.6,warm
20,50,parDP,74125.9,cold
20,100,parDP,11626.2,warm
20,50,extDP,12024.8,cold
20,100,extDP,13570.2,warm
20,50,MILP,669382,cold
20,100,MILP,513800,warm
21,50,stdDP,36875.7,cold
21,100,stdDP,31415.7,warm
21,50,parDP,92255.5,cold
21,100,parDP,13377.1,warm
21,50,extDP,6303.03,cold
21,100,extDP,6407.02,warm
21,50,MILP,586409,cold
21,100,MILP,396232,warm
22,50,stdDP,22781.8,cold
22,100,stdDP,18977.2,warm
22,50,parDP,91637.4,cold
22,100,parDP,12019.7,warm
22,50,extDP,1817.73,cold
22,100,extDP,2153.13,warm
22,50,MILP,409221,cold
22,100,MILP,353023,warm
23,50,stdDP,38535,cold
23,100,stdDP,34067.5,warm
