unit,gen_type
0,CCGT_large
1,CCGT_efficient
2,CCGT_small
3,CCGT_medium
4,Coal_old
5,CCGT_small
6,OCGT_peaker
7,CCGT_medium
8,CCGT_medium
9,Coal_old
10,CCGT_small
11,CCGT_small
12,Oil_peaker
13,CCGT_medium
14,CCGT_medium
15,Coal_old
16,CCGT_efficient
17,CCGT_small
18,OCGT_peaker
19,Coal_old
20,CCGT_medium
21,CCGT_small
22,OCGT_peaker
23,OCGT_peaker
24,CCGT_small
25,CCGT_large
26,CCGT_medium
27,Oil_peaker
28,CCGT_large
29,Oil_peaker
30,OCGT_peaker
31,CCGT_efficient
32,CCGT_medium
33,Coal_old
34,CCGT_efficient
35,CCGT_large
36,OCGT_peaker
37,CCGT_large
38,CCGT_large
39,CCGT_large
40,Coal_old
41,CCGT_medium
42,CCGT_efficient
43,OCGT_peaker
44,Oil_peaker
45,CCGT_small
46,OCGT_peaker
47,CCGT_efficient
48,CCGT_large
49,CCGT_medium
