unit,iter,solver,time_us,phase
0,50,stdDP,8993.34,cold
0,100,stdDP,7143.21,warm
0,50,parDP,51282.7,cold
0,100,parDP,3529.74,warm
0,50,extDP,1218.06,cold
0,100,extDP,1322.43,warm
0,50,MILP,137990,cold
0,100,MILP,135694,warm
1,50,stdDP,10752.6,cold
1,100,stdDP,9171.85,warm
1,50,parDP,48388.4,cold
1,100,parDP,3548.4,warm
1,50,extDP,1879.21,cold
1,100,extDP,2150.85,warm
1,50,MILP,162444,cold
1,100,MILP,235630,warm
2,50,stdDP,9163.34,cold
2,100,stdDP,8552.63,warm
2,50,parDP,58312.1,cold
2,100,parDP,3264.81,warm
2,50,extDP,2604.12,cold
2,100,extDP,2772.36,warm
2,50,MILP,188916,cold
2,100,MILP,138740,warm
3,50,stdDP,15142.9,cold
3,100,stdDP,15837.5,warm
3,50,parDP,110481,cold
3,100,parDP,8648.83,warm
3,50,extDP,733.122,cold
3,100,extDP,702.829,warm
3,50,MILP,54114,cold
3,100,MILP,56119.5,warm
4,50,stdDP,11639.1,cold
4,100,stdDP,8622.37,warm
4,50,parDP,53817.4,cold
4,100,parDP,3196.5,warm
4,50,extDP,1178.55,cold
4,100,extDP,1147.75,warm
4,50,MILP,154422,cold
4,100,MILP,152588,warm
5,50,stdDP,16183.1,cold
5,100,stdDP,12559.3,warm
5,50,parDP,59256.8,cold
5,100,parDP,2872.6,warm
5,50,extDP,1057.78,cold
5,100,extDP,970.009,warm
5,50,MILP,127133,cold
5,100,MILP,146294,warm
6,50,stdDP,12430.6,cold
6,100,stdDP,11059,warm
6,50,parDP,63808,cold
6,100,parDP,4595.04,warm
6,50,extDP,2395.93,cold
6,100,extDP,2446.65,warm
6,50,MILP,187653,cold
6,100,MILP,156741,warm
7,50,stdDP,9159.89,cold
7,100,stdDP,9005.85,warm
7,50,parDP,47173.9,cold
7,100,parDP,3772.36,warm
7,50,extDP,4777.98,cold
7,100,extDP,5105.08,warm
7,50,MILP,96400.8,cold
7,100,MILP,97741.9,warm
8,50,stdDP,8790.88,cold
8,100,stdDP,8597,warm
8,50,parDP,79533.1,cold
8,100,parDP,7303.14,warm
8,50,extDP,3048.31,cold
8,100,extDP,3234.11,warm
8,50,MILP,155354,cold
8,100,MILP,142822,warm
9,50,stdDP,8922.53,cold
9,100,stdDP,8842.02,warm
9,50,parDP,61353.7,cold
9,100,parDP,6573.01,warm
9,50,extDP,2986.83,cold
9,100,extDP,2809.99,warm
9,50,MILP,118594,cold
9,100,MILP,121211,warm
10,50,stdDP,10415.1,cold
10,100,stdDP,9521.9,warm
10,50,parDP,47447.7,cold
10,100,parDP,7596.87,warm
10,50,extDP,4432.05,cold
10,100,extDP,4332.61,warm
10,50,MILP,87997,cold
10,100,MILP,91588.3,warm
11,50,stdDP,11967.4,cold
11,100,stdDP,11550.9,warm
11,50,parDP,59545.7,cold
11,100,parDP,2888.07,warm
11,50,extDP,647.726,cold
11,100,extDP,653.546,warm
11,50,MILP,65937.3,cold
11,100,MILP,75529.4,warm
12,50,stdDP,9776.78,cold
12,100,stdDP,9406.06,warm
12,50,parDP,60338.6,cold
12,100,parDP,5743.96,warm
12,50,extDP,5097.36,cold
12,100,extDP,5139.63,warm
12,50,MILP,85424.2,cold
12,100,MILP,88346.3,warm
13,50,stdDP,15470.6,cold
13,100,stdDP,14094.3,warm
13,50,parDP,53517.1,cold
13,100,parDP,3827.09,warm
13,50,extDP,679.801,cold
13,100,extDP,689.938,warm
13,50,MILP,53102,cold
13,100,MILP,65427.6,warm
14,50,stdDP,13261.4,cold
14,100,stdDP,13463.1,warm
14,50,parDP,57620.6,cold
14,100,parDP,5348.01,warm
14,50,extDP,5648.83,cold
14,100,extDP,5783.26,warm
14,50,MILP,66975.9,cold
14,100,MILP,69690.4,warm
15,50,stdDP,10681,cold
15,100,stdDP,9365.16,warm
15,50,parDP,63136.2,cold
15,100,parDP,7018.46,warm
15,50,extDP,2021.33,cold
15,100,extDP,1813.95,warm
15,50,MILP,133079,cold
15,100,MILP,154966,warm
16,50,stdDP,6849.81,cold
16,100,stdDP,6439.66,warm
16,50,parDP,51029.4,cold
16,100,parDP,6059.73,warm
16,50,extDP,1199.05,cold
16,100,extDP,1300.94,warm
16,50,MILP,174079,cold
16,100,MILP,173467,warm
17,50,stdDP,6376.04,cold
17,100,stdDP,5561.64,warm
17,50,parDP,52399.3,cold
17,100,parDP,3550.2,warm
17,50,extDP,1784.96,cold
17,100,extDP,1934.46,warm
17,50,MILP,113557,cold
17,100,MILP,109597,warm
18,50,stdDP,6752.24,cold
18,100,stdDP,8856.7,warm
18,50,parDP,50479.8,cold
18,100,parDP,2867.91,warm
18,50,extDP,1280.01,cold
18,100,extDP,1314.6,warm
18,50,MILP,158873,cold
18,100,MILP,160164,warm
19,50,stdDP,11727.2,cold
19,100,stdDP,9908.61,warm
19,50,parDP,71602.3,cold
19,100,parDP,3679.96,warm
19,50,extDP,2560.22,cold
19,100,extDP,2569.15,warm
19,50,MILP,263238,cold
19,100,MILP,154294,warm
20,50,stdDP,9323.79,cold
20,100,stdDP,7763.51,warm
20,50,parDP,50769.7,cold
20,100,parDP,3242.24,warm
20,50,extDP,2706.84,cold
20,100,extDP,2790.9,warm
20,50,MILP,159297,cold
20,100,MILP,149914,warm
21,50,stdDP,9306.79,cold
21,100,stdDP,8492.45,warm
21,50,parDP,52186.9,cold
21,100,parDP,6110.51,warm
21,50,extDP,505.59,cold
21,100,extDP,495.486,warm
21,50,MILP,36828.5,cold
21,100,MILP,47969.4,warm
22,50,stdDP,8077.72,cold
22,100,stdDP,7675.58,warm
22,50,parDP,47194,cold
22,100,parDP,6343.34,warm
22,50,extDP,688.337,cold
22,100,extDP,705.143,warm
22,50,MILP,47435.4,cold
22,100,MILP,29752.2,warm
23,50,stdDP,9039.58,cold
23,100,stdDP,9007.64,warm
23,50,parDP,44570.6,cold
23,100,parDP,3904.82,warm
23,50,extDP,742.115,cold
23,100,extDP,740.489,warm
23,50,MILP,56777.9,cold
23,100,MILP,57825.5,warm
24,50,stdDP,9628.93,cold
24,100,stdDP,9041.22,warm
24,50,parDP,44182.4,cold
24,100,parDP,3249.57,warm
24,50,extDP,3196.86,cold
24,100,extDP,3147.7,warm
24,50,MILP,205782,cold
24,100,MILP,191246,warm
25,50,stdDP,7547.44,cold
25,100,stdDP,6997.19,warm
25,50,parDP,44750.3,cold
25,100,parDP,4287.54,warm
25,50,extDP,680.344,cold
25,100,extDP,676.879,warm
25,50,MILP,46744.4,cold
25,100,MILP,62731.4,warm
26,50,stdDP,10377.3,cold
26,100,stdDP,10036.5,warm
26,50,parDP,49259.4,cold
26,100,parDP,5676.81,warm
26,50,extDP,2128.48,cold
26,100,extDP,2258.05,warm
26,50,MILP,105689,cold
26,100,MILP,69006.8,warm
27,50,stdDP,5959.73,cold
27,100,stdDP,5842.5,warm
27,50,parDP,46351.4,cold
27,100,parDP,4127.14,warm
27,50,extDP,2323.09,cold
27,100,extDP,3491.23,warm
27,50,MILP,111451,cold
27,100,MILP,101473,warm
28,50,stdDP,8963.17,cold
28,100,stdDP,7532.38,warm
28,50,parDP,47495.4,cold
28,100,parDP,3123.15,warm
28,50,extDP,708.853,cold
28,100,extDP,455.213,warm
28,50,MILP,45717.1,cold
28,100,MILP,40647.4,warm
29,50,stdDP,13873.7,cold
29,100,stdDP,13338.3,warm
29,50,parDP,62135.6,cold
29,100,parDP,4189.67,warm
29,50,extDP,424.779,cold
29,100,extDP,676.644,warm
29,50,MILP,56779.2,cold
29,100,MILP,59033.1,warm
30,50,stdDP,11668.6,cold
30,100,stdDP,9988.79,warm
30,50,parDP,47635.9,cold
30,100,parDP,7377.76,warm
30,50,extDP,3949.86,cold
30,100,extDP,5058.01,warm
30,50,MILP,47184.3,cold
30,100,MILP,44027.2,warm
31,50,stdDP,8720.22,cold
31,100,stdDP,7891.53,warm
31,50,parDP,73702,cold
31,100,parDP,6144.99,warm
31,50,extDP,1159.15,cold
31,100,extDP,1238.6,warm
31,50,MILP,93629,cold
31,100,MILP,140294,warm
32,50,stdDP,5792.84,cold
32,100,stdDP,5946.71,warm
32,50,parDP,52548.3,cold
32,100,parDP,6191.44,warm
32,50,extDP,3256.93,cold
32,100,extDP,5619.39,warm
32,50,MILP,169083,cold
32,100,MILP,106503,warm
33,50,stdDP,13232.2,cold
33,100,stdDP,13054,warm
33,50,parDP,58940.6,cold
33,100,parDP,4480.3,warm
33,50,extDP,702.795,cold
33,100,extDP,685.391,warm
33,50,MILP,85194.1,cold
33,100,MILP,85317.8,warm
34,50,stdDP,13956.8,cold
34,100,stdDP,14195.1,warm
34,50,parDP,69448.5,cold
34,100,parDP,7913.55,warm
34,50,extDP,7049.43,cold
34,100,extDP,7890.3,warm
34,50,MILP,101190,cold
34,100,MILP,104374,warm
35,50,stdDP,15077,cold
35,100,stdDP,13958.9,warm
35,50,parDP,65363.6,cold
35,100,parDP,10630.7,warm
35,50,extDP,1489.73,cold
35,100,extDP,2315.7,warm
35,50,MILP,194470,cold
35,100,MILP,289560,warm
36,50,stdDP,11706,cold
36,100,stdDP,11042.7,warm
36,50,parDP,81183,cold
36,100,parDP,3900.41,warm
36,50,extDP,1582.56,cold
36,100,extDP,2586.78,warm
36,50,MILP,196081,cold
36,100,MILP,259996,warm
37,50,stdDP,12797.1,cold
37,100,stdDP,8817.3,warm
37,50,parDP,159138,cold
37,100,parDP,8783.69,warm
37,50,extDP,13859.8,cold
37,100,extDP,25141.8,warm
37,50,MILP,214639,cold
37,100,MILP,99780.1,warm
38,50,stdDP,6692.1,cold
38,100,stdDP,6272.29,warm
38,50,parDP,60276.1,cold
38,100,parDP,3540.45,warm
38,50,extDP,3447.34,cold
38,100,extDP,3523.05,warm
38,50,MILP,220809,cold
38,100,MILP,252585,warm
39,50,stdDP,14242.1,cold
39,100,stdDP,15587,warm
39,50,parDP,86495.8,cold
39,100,parDP,10316.1,warm
39,50,extDP,2237.26,cold
39,100,extDP,1501.61,warm
39,50,MILP,168153,cold
39,100,MILP,170437,warm
40,50,stdDP,21160.5,cold
40,100,stdDP,20852.4,warm
40,50,parDP,94601.2,cold
40,100,parDP,6986.71,warm
40,50,extDP,2004.96,cold
40,100,extDP,957.003,warm
40,50,MILP,206570,cold
40,100,MILP,155482,warm
41,50,stdDP,9506.62,cold
41,100,stdDP,11914.8,warm
41,50,parDP,68924.4,cold
41,100,parDP,5077.42,warm
41,50,extDP,4876.28,cold
41,100,extDP,7733.78,warm
41,50,MILP,160790,cold
41,100,MILP,162689,warm
42,50,stdDP,9755.46,cold
42,100,stdDP,8712.27,warm
42,50,parDP,75713,cold
42,100,parDP,5674.77,warm
42,50,extDP,1593.03,cold
42,100,extDP,1423.32,warm
42,50,MILP,153327,cold
42,100,MILP,134718,warm
