unit,iter,solver,time_us,phase
0,50,stdDP,1.34847e+07,cold
0,100,stdDP,1.00969e+07,warm
0,50,parDP,4.04e+06,cold
0,100,parDP,3.65467e+06,warm
0,50,extDP,143073,cold
0,100,extDP,88663.6,warm
0,50,MILP,2.25457e+06,cold
0,100,MILP,2.32903e+06,warm
1,50,stdDP,1.61892e+07,cold
1,100,stdDP,1.42683e+07,warm
1,50,parDP,5.8023e+06,cold
1,100,parDP,4.3347e+06,warm
1,50,extDP,109269,cold
1,100,extDP,114946,warm
1,50,MILP,2.06516e+06,cold
1,100,MILP,2.28258e+06,warm
2,50,stdDP,8.89275e+06,cold
2,100,stdDP,8.22061e+06,warm
2,50,parDP,3.02822e+06,cold
2,100,parDP,2.73367e+06,warm
2,50,extDP,17227.8,cold
2,100,extDP,19546.6,warm
2,50,MILP,2.09015e+06,cold
2,100,MILP,1.34968e+06,warm
3,50,stdDP,1.02876e+07,cold
3,100,stdDP,9.31799e+06,warm
3,50,parDP,3.37936e+06,cold
3,100,parDP,2.82907e+06,warm
3,50,extDP,57240.2,cold
3,100,extDP,53635.9,warm
3,50,MILP,2.81654e+06,cold
3,100,MILP,2.08895e+06,warm
4,50,stdDP,2.15038e+07,cold
4,100,stdDP,2.44039e+07,warm
4,50,parDP,7.81212e+06,cold
4,100,parDP,7.77645e+06,warm
4,50,extDP,261376,cold
4,100,extDP,296067,warm
4,50,MILP,1.9545e+06,cold
4,100,MILP,1.79285e+06,warm
5,50,stdDP,9.37585e+06,cold
5,100,stdDP,7.92678e+06,warm
5,50,parDP,3.39782e+06,cold
5,100,parDP,2.41682e+06,warm
5,50,extDP,13856,cold
5,100,extDP,18236.8,warm
5,50,MILP,3.15777e+06,cold
5,100,MILP,1.96612e+06,warm
6,50,stdDP,7.99692e+06,cold
6,100,stdDP,7.12801e+06,warm
6,50,parDP,3.0056e+06,cold
6,100,parDP,2.21153e+06,warm
6,50,extDP,18903.3,cold
6,100,extDP,22176.3,warm
6,50,MILP,1.87834e+06,cold
6,100,MILP,1.59023e+06,warm
7,50,stdDP,9.47088e+06,cold
7,100,stdDP,8.65224e+06,warm
7,50,parDP,3.28412e+06,cold
7,100,parDP,2.804e+06,warm
7,50,extDP,36771,cold
7,100,extDP,38677.7,warm
7,50,MILP,1.78688e+06,cold
7,100,MILP,3.25226e+06,warm
8,50,stdDP,9.94233e+06,cold
8,100,stdDP,9.35579e+06,warm
8,50,parDP,3.87691e+06,cold
8,100,parDP,3.00303e+06,warm
8,50,extDP,40837.3,cold
8,100,extDP,42508.1,warm
8,50,MILP,2.47057e+06,cold
8,100,MILP,2.9026e+06,warm
9,50,stdDP,2.10644e+07,cold
9,100,stdDP,2.3098e+07,warm
9,50,parDP,7.24345e+06,cold
9,100,parDP,7.12892e+06,warm
9,50,extDP,245526,cold
9,100,extDP,278179,warm
9,50,MILP,1.73472e+06,cold
9,100,MILP,1.71543e+06,warm
10,50,stdDP,8.24136e+06,cold
10,100,stdDP,7.04494e+06,warm
10,50,parDP,2.75602e+06,cold
10,100,parDP,2.19046e+06,warm
10,50,extDP,18984.4,cold
10,100,extDP,18376.7,warm
10,50,MILP,1.84536e+06,cold
10,100,MILP,1.19743e+06,warm
11,50,stdDP,9.07977e+06,cold
11,100,stdDP,7.58628e+06,warm
11,50,parDP,3.24668e+06,cold
11,100,parDP,2.49571e+06,warm
11,50,extDP,20863,cold
11,100,extDP,21185.9,warm
11,50,MILP,2.06922e+06,cold
11,100,MILP,1.06057e+06,warm
12,50,stdDP,9.03733e+06,cold
12,100,stdDP,8.72501e+06,warm
12,50,parDP,3.15671e+06,cold
12,100,parDP,2.86989e+06,warm
12,50,extDP,11456.1,cold
12,100,extDP,13596.7,warm
12,50,MILP,2.00567e+06,cold
12,100,MILP,1.56068e+06,warm
13,50,stdDP,9.74984e+06,cold
13,100,stdDP,8.90836e+06,warm
13,50,parDP,3.39631e+06,cold
13,100,parDP,3.06389e+06,warm
13,50,extDP,45457.9,cold
13,100,extDP,40231.6,warm
13,50,MILP,2.24725e+06,cold
13,100,MILP,2.7078e+06,warm
14,50,stdDP,9.50025e+06,cold
14,100,stdDP,8.46909e+06,warm
14,50,parDP,3.74202e+06,cold
14,100,parDP,2.63357e+06,warm
14,50,extDP,48378.8,cold
14,100,extDP,50081.5,warm
14,50,MILP,2.43737e+06,cold
14,100,MILP,2.6249e+06,warm
15,50,stdDP,2.04998e+07,cold
15,100,stdDP,2.28075e+07,warm
15,50,parDP,7.08408e+06,cold
15,100,parDP,7.70211e+06,warm
15,50,extDP,214517,cold
15,100,extDP,204039,warm
15,50,MILP,1.78028e+06,cold
15,100,MILP,1.81969e+06,warm
16,50,stdDP,1.42212e+07,cold
16,100,stdDP,1.31206e+07,warm
16,50,parDP,4.73113e+06,cold
16,100,parDP,4.86631e+06,warm
16,50,extDP,135566,cold
16,100,extDP,142913,warm
16,50,MILP,2.07749e+06,cold
16,100,MILP,2.35993e+06,warm
17,50,stdDP,8.47791e+06,cold
17,100,stdDP,7.62953e+06,warm
17,50,parDP,3.59811e+06,cold
17,100,parDP,3.01919e+06,warm
17,50,extDP,28006.4,cold
17,100,extDP,19296,warm
17,50,MILP,1.93881e+06,cold
17,100,MILP,1.58613e+06,warm
18,50,stdDP,7.6867e+06,cold
18,100,stdDP,7.08162e+06,warm
18,50,parDP,2.95981e+06,cold
18,100,parDP,2.44424e+06,warm
18,50,extDP,10457.4,cold
18,100,extDP,10278.8,warm
18,50,MILP,1.77904e+06,cold
18,100,MILP,1.57404e+06,warm
19,50,stdDP,2.09504e+07,cold
19,100,stdDP,2.41863e+07,warm
19,50,parDP,7.5753e+06,cold
19,100,parDP,7.11246e+06,warm
19,50,extDP,220561,cold
19,100,extDP,252530,warm
19,50,MILP,2.19191e+06,cold
19,100,MILP,1.9885e+06,warm
20,50,stdDP,9.43453e+06,cold
20,100,stdDP,8.79877e+06,warm
20,50,parDP,3.5628e+06,cold
20,100,parDP,2.8334e+06,warm
20,50,extDP,42662.8,cold
20,100,extDP,41579.3,warm
20,50,MILP,1.8442e+06,cold
20,100,MILP,2.14216e+06,warm
21,50,stdDP,8.0316e+06,cold
21,100,stdDP,7.14126e+06,warm
21,50,parDP,2.99888e+06,cold
21,100,parDP,2.47438e+06,warm
21,50,extDP,17867.6,cold
21,100,extDP,18271.7,warm
21,50,MILP,2.01461e+06,cold
21,100,MILP,1.23236e+06,warm
22,50,stdDP,7.10299e+06,cold
22,100,stdDP,6.43289e+06,warm
22,50,parDP,2.86035e+06,cold
22,100,parDP,2.52837e+06,warm
22,50,extDP,12183.2,cold
22,100,extDP,10711.2,warm
22,50,MILP,1.65759e+06,cold
22,100,MILP,1.43788e+06,warm
23,50,stdDP,7.44179e+06,cold
23,100,stdDP,7.27641e+06,warm
23,50,parDP,4.22534e+06,cold
23,100,parDP,2.59516e+06,warm
23,50,extDP,10392,cold
23,100,extDP,10440.5,warm
23,50,MILP,1.69126e+06,cold
23,100,MILP,1.07106e+06,warm
24,50,stdDP,8.08151e+06,cold
24,100,stdDP,7.10155e+06,warm
24,50,parDP,2.91624e+06,cold
24,100,parDP,2.22722e+06,warm
24,50,extDP,17920.7,cold
24,100,extDP,19407.3,warm
24,50,MILP,1.91597e+06,cold
24,100,MILP,1.03773e+06,warm
25,50,stdDP,1.13695e+07,cold
25,100,stdDP,9.83534e+06,warm
25,50,parDP,4.45538e+06,cold
25,100,parDP,3.51585e+06,warm
25,50,extDP,91146.4,cold
25,100,extDP,105256,warm
25,50,MILP,2.21716e+06,cold
25,100,MILP,1.84697e+06,warm
26,50,stdDP,8.90359e+06,cold
26,100,stdDP,7.8013e+06,warm
26,50,parDP,3.2215e+06,cold
26,100,parDP,2.65286e+06,warm
26,50,extDP,38023.7,cold
26,100,extDP,47966.1,warm
26,50,MILP,2.22071e+06,cold
26,100,MILP,2.82096e+06,warm
27,50,stdDP,8.96678e+06,cold
27,100,stdDP,7.92815e+06,warm
27,50,parDP,3.21269e+06,cold
27,100,parDP,3.14261e+06,warm
27,50,extDP,20983.2,cold
27,100,extDP,21143.7,warm
27,50,MILP,2.67779e+06,cold
27,100,MILP,841886,warm
28,50,stdDP,1.23948e+07,cold
28,100,stdDP,1.10297e+07,warm
28,50,parDP,4.13753e+06,cold
28,100,parDP,3.09634e+06,warm
28,50,extDP,74438.1,cold
28,100,extDP,76443.7,warm
28,50,MILP,3.03339e+06,cold
28,100,MILP,1.83626e+06,warm
29,50,stdDP,8.85622e+06,cold
29,100,stdDP,8.34853e+06,warm
29,50,parDP,3.27192e+06,cold
29,100,parDP,3.4438e+06,warm
29,50,extDP,10106.3,cold
29,100,extDP,10867.4,warm
29,50,MILP,2.64719e+06,cold
29,100,MILP,1.06632e+06,warm
30,50,stdDP,8.24277e+06,cold
30,100,stdDP,6.68075e+06,warm
30,50,parDP,3.00532e+06,cold
30,100,parDP,2.31067e+06,warm
30,50,extDP,17562.6,cold
30,100,extDP,17940.5,warm
30,50,MILP,1.80332e+06,cold
30,100,MILP,1.81677e+06,warm
31,50,stdDP,1.43701e+07,cold
31,100,stdDP,1.28362e+07,warm
31,50,parDP,5.60607e+06,cold
31,100,parDP,4.43955e+06,warm
31,50,extDP,113853,cold
31,100,extDP,110988,warm
31,50,MILP,3.01088e+06,cold
31,100,MILP,2.27273e+06,warm
32,50,stdDP,9.72482e+06,cold
32,100,stdDP,8.32709e+06,warm
32,50,parDP,3.2948e+06,cold
32,100,parDP,2.6552e+06,warm
32,50,extDP,48043.2,cold
32,100,extDP,47608.7,warm
32,50,MILP,2.28865e+06,cold
32,100,MILP,2.81665e+06,warm
33,50,stdDP,1.97667e+07,cold
33,100,stdDP,2.17116e+07,warm
33,50,parDP,7.07944e+06,cold
33,100,parDP,7.97937e+06,warm
33,50,extDP,236449,cold
33,100,extDP,281235,warm
33,50,MILP,1.87679e+06,cold
33,100,MILP,1.80756e+06,warm
34,50,stdDP,1.39178e+07,cold
34,100,stdDP,1.22411e+07,warm
34,50,parDP,5.75808e+06,cold
34,100,parDP,5.12662e+06,warm
34,50,extDP,187933,cold
34,100,extDP,226980,warm
34,50,MILP,2.65664e+06,cold
34,100,MILP,2.22618e+06,warm
35,50,stdDP,1.0834e+07,cold
35,100,stdDP,9.70366e+06,warm
35,50,parDP,3.88696e+06,cold
35,100,parDP,2.94541e+06,warm
35,50,extDP,98950.1,cold
35,100,extDP,95498.1,warm
35,50,MILP,2.9435e+06,cold
35,100,MILP,1.76916e+06,warm
36,50,stdDP,7.20585e+06,cold
36,100,stdDP,6.74917e+06,warm
36,50,parDP,2.64541e+06,cold
36,100,parDP,2.17829e+06,warm
36,50,extDP,11506.2,cold
36,100,extDP,10164.8,warm
36,50,MILP,1.85354e+06,cold
36,100,MILP,1.17285e+06,warm
37,50,stdDP,1.09493e+07,cold
37,100,stdDP,9.44595e+06,warm
37,50,parDP,4.04727e+06,cold
37,100,parDP,3.11934e+06,warm
37,50,extDP,74231.4,cold
37,100,extDP,77480,warm
37,50,MILP,3.08987e+06,cold
37,100,MILP,1.93186e+06,warm
38,50,stdDP,1.0861e+07,cold
38,100,stdDP,9.60951e+06,warm
38,50,parDP,4.5768e+06,cold
38,100,parDP,3.14823e+06,warm
38,50,extDP,84057,cold
38,100,extDP,84584.6,warm
38,50,MILP,3.61055e+06,cold
38,100,MILP,1.83321e+06,warm
39,50,stdDP,1.03995e+07,cold
39,100,stdDP,9.72076e+06,warm
39,50,parDP,3.82983e+06,cold
39,100,parDP,3.17182e+06,warm
39,50,extDP,88181.3,cold
39,100,extDP,74165.2,warm
39,50,MILP,4.00321e+06,cold
39,100,MILP,2.17717e+06,warm
40,50,stdDP,2.19168e+07,cold
40,100,stdDP,2.2142e+07,warm
40,50,parDP,9.1648e+06,cold
40,100,parDP,9.34144e+06,warm
40,50,extDP,219295,cold
40,100,extDP,243627,warm
40,50,MILP,1.8469e+06,cold
40,100,MILP,1.78158e+06,warm
41,50,stdDP,9.62083e+06,cold
41,100,stdDP,8.62088e+06,warm
41,50,parDP,3.73433e+06,cold
41,100,parDP,2.78492e+06,warm
41,50,extDP,31915.8,cold
41,100,extDP,31869.8,warm
41,50,MILP,2.67784e+06,cold
41,100,MILP,2.42964e+06,warm
42,50,stdDP,1.51486e+07,cold
42,100,stdDP,1.3171e+07,warm
42,50,parDP,4.91484e+06,cold
42,100,parDP,4.62697e+06,warm
42,50,extDP,161893,cold
42,100,extDP,163817,warm
42,50,MILP,2.57912e+06,cold
42,100,MILP,2.10398e+06,warm
43,50,stdDP,7.28358e+06,cold
43,100,stdDP,6.50629e+06,warm
43,50,parDP,2.83047e+06,cold
43,100,parDP,2.86378e+06,warm
43,50,extDP,17908,cold
43,100,extDP,17679.7,warm
43,50,MILP,2.15888e+06,cold
43,100,MILP,907521,warm
44,50,stdDP,8.55265e+06,cold
44,100,stdDP,9.5743e+06,warm
44,50,parDP,3.33356e+06,cold
44,100,parDP,3.05092e+06,warm
44,50,extDP,11051,cold
44,100,extDP,11164.1,warm
44,50,MILP,3.16134e+06,cold
44,100,MILP,1.22398e+06,warm
45,50,stdDP,8.41687e+06,cold
45,100,stdDP,7.00921e+06,warm
45,50,parDP,3.15902e+06,cold
45,100,parDP,2.46979e+06,warm
45,50,extDP,15035.7,cold
45,100,extDP,18427.2,warm
45,50,MILP,2.69913e+06,cold
45,100,MILP,1.49224e+06,warm
46,50,stdDP,8.5158e+06,cold
46,100,stdDP,6.97882e+06,warm
46,50,parDP,2.94922e+06,cold
46,100,parDP,2.67693e+06,warm
46,50,extDP,11199.3,cold
46,100,extDP,15520.6,warm
46,50,MILP,3.44968e+06,cold
46,100,MILP,1.90194e+06,warm
47,50,stdDP,1.47661e+07,cold
47,100,stdDP,1.24708e+07,warm
47,50,parDP,4.76519e+06,cold
47,100,parDP,4.29793e+06,warm
47,50,extDP,130603,cold
47,100,extDP,121192,warm
47,50,MILP,2.3436e+06,cold
47,100,MILP,2.01613e+06,warm
48,50,stdDP,1.21011e+07,cold
48,100,stdDP,1.14155e+07,warm
48,50,parDP,4.4332e+06,cold
48,100,parDP,3.5623e+06,warm
48,50,extDP,88619.2,cold
48,100,extDP,91255.6,warm
48,50,MILP,3.2947e+06,cold
48,100,MILP,2.20509e+06,warm
49,50,stdDP,1.04195e+07,cold
49,100,stdDP,9.04017e+06,warm
49,50,parDP,3.43547e+06,cold
49,100,parDP,3.59604e+06,warm
49,50,extDP,49084.7,cold
49,100,extDP,52452,warm
49,50,MILP,2.20707e+06,cold
49,100,MILP,2.38765e+06,warm
