unit,iter,solver,time_us,phase
0,50,stdDP,578188,cold
0,100,stdDP,414120,warm
0,50,parDP,202173,cold
0,100,parDP,144899,warm
0,50,extDP,6047.35,cold
0,100,extDP,7666.49,warm
0,50,MILP,557818,cold
0,100,MILP,261429,warm
1,50,stdDP,525441,cold
1,100,stdDP,475615,warm
1,50,parDP,241540,cold
1,100,parDP,168855,warm
1,50,extDP,3479.18,cold
1,100,extDP,3140.15,warm
1,50,MILP,462265,cold
1,100,MILP,240685,warm
2,50,stdDP,773991,cold
2,100,stdDP,789340,warm
2,50,parDP,350844,cold
2,100,parDP,375618,warm
2,50,extDP,51111,cold
2,100,extDP,51878.5,warm
2,50,MILP,773035,cold
2,100,MILP,667190,warm
3,50,stdDP,411385,cold
3,100,stdDP,373584,warm
3,50,parDP,212994,cold
3,100,parDP,172307,warm
3,50,extDP,2713.67,cold
3,100,extDP,2692.75,warm
3,50,MILP,251484,cold
3,100,MILP,295917,warm
4,50,stdDP,1.03671e+06,cold
4,100,stdDP,1.12263e+06,warm
4,50,parDP,433272,cold
4,100,parDP,407234,warm
4,50,extDP,90447.7,cold
4,100,extDP,82723.3,warm
4,50,MILP,598591,cold
4,100,MILP,2.2693e+06,warm
5,50,stdDP,1.15806e+06,cold
5,100,stdDP,799368,warm
5,50,parDP,344397,cold
5,100,parDP,270437,warm
5,50,extDP,57888.6,cold
5,100,extDP,56159.4,warm
5,50,MILP,764591,cold
5,100,MILP,577599,warm
6,50,stdDP,522796,cold
6,100,stdDP,478112,warm
6,50,parDP,267437,cold
6,100,parDP,185399,warm
6,50,extDP,7183.4,cold
6,100,extDP,9235.13,warm
6,50,MILP,924471,cold
6,100,MILP,629619,warm
7,50,stdDP,847334,cold
7,100,stdDP,360181,warm
7,50,parDP,206134,cold
7,100,parDP,137684,warm
7,50,extDP,2803.46,cold
7,100,extDP,2573.36,warm
7,50,MILP,406858,cold
7,100,MILP,342377,warm
8,50,stdDP,482601,cold
8,100,stdDP,432937,warm
8,50,parDP,228561,cold
8,100,parDP,147090,warm
8,50,extDP,2767.63,cold
8,100,extDP,3887.97,warm
8,50,MILP,296898,cold
8,100,MILP,418388,warm
9,50,stdDP,630130,cold
9,100,stdDP,449421,warm
9,50,parDP,277647,cold
9,100,parDP,184577,warm
9,50,extDP,17580.9,cold
9,100,extDP,17693,warm
9,50,MILP,628212,cold
9,100,MILP,511725,warm
10,50,stdDP,726477,cold
10,100,stdDP,670134,warm
10,50,parDP,367037,cold
10,100,parDP,244401,warm
10,50,extDP,41563.8,cold
10,100,extDP,40527.1,warm
10,50,MILP,501176,cold
10,100,MILP,483163,warm
11,50,stdDP,507360,cold
11,100,stdDP,429178,warm
11,50,parDP,251583,cold
11,100,parDP,153895,warm
11,50,extDP,11914.1,cold
11,100,extDP,11903,warm
11,50,MILP,588220,cold
11,100,MILP,670396,warm
12,50,stdDP,513421,cold
12,100,stdDP,644126,warm
12,50,parDP,434561,cold
12,100,parDP,324826,warm
12,50,extDP,46619,cold
12,100,extDP,36022.5,warm
12,50,MILP,935809,cold
12,100,MILP,548690,warm
13,50,stdDP,598963,cold
13,100,stdDP,541936,warm
13,50,parDP,228315,cold
13,100,parDP,163522,warm
13,50,extDP,17073.2,cold
13,100,extDP,18532.1,warm
13,50,MILP,763770,cold
13,100,MILP,474217,warm
14,50,stdDP,461795,cold
14,100,stdDP,410808,warm
14,50,parDP,232958,cold
14,100,parDP,138189,warm
14,50,extDP,12880,cold
14,100,extDP,8806.11,warm
14,50,MILP,619969,cold
14,100,MILP,644829,warm
15,50,stdDP,500356,cold
15,100,stdDP,474656,warm
15,50,parDP,223310,cold
15,100,parDP,167955,warm
15,50,extDP,4496.46,cold
15,100,extDP,3129.46,warm
15,50,MILP,406781,cold
15,100,MILP,223560,warm
16,50,stdDP,1.0473e+06,cold
16,100,stdDP,1.04709e+06,warm
16,50,parDP,417401,cold
16,100,parDP,383101,warm
16,50,extDP,76820.3,cold
16,100,extDP,82025.6,warm
16,50,MILP,587042,cold
16,100,MILP,949397,warm
17,50,stdDP,1.03426e+06,cold
17,100,stdDP,1.11022e+06,warm
17,50,parDP,467441,cold
17,100,parDP,413698,warm
17,50,extDP,78902.1,cold
17,100,extDP,78954.6,warm
17,50,MILP,604172,cold
17,100,MILP,1.42212e+06,warm
18,50,stdDP,492588,cold
18,100,stdDP,431949,warm
18,50,parDP,261490,cold
18,100,parDP,182116,warm
18,50,extDP,11312.7,cold
18,100,extDP,11222.9,warm
18,50,MILP,599825,cold
18,100,MILP,628334,warm
19,50,stdDP,399121,cold
19,100,stdDP,385624,warm
19,50,parDP,238321,cold
19,100,parDP,172968,warm
19,50,extDP,4310.02,cold
19,100,extDP,4185.42,warm
19,50,MILP,352709,cold
19,100,MILP,340546,warm
20,50,stdDP,508166,cold
20,100,stdDP,533237,warm
20,50,parDP,301046,cold
20,100,parDP,183357,warm
20,50,extDP,30904.3,cold
20,100,extDP,21535,warm
20,50,MILP,448187,cold
20,100,MILP,916474,warm
21,50,stdDP,521803,cold
21,100,stdDP,579463,warm
21,50,parDP,320099,cold
21,100,parDP,241180,warm
21,50,extDP,16238.9,cold
21,100,extDP,16299.6,warm
21,50,MILP,619912,cold
21,100,MILP,506073,warm
22,50,stdDP,396393,cold
22,100,stdDP,358434,warm
22,50,parDP,211974,cold
22,100,parDP,151630,warm
22,50,extDP,2433.17,cold
22,100,extDP,3492.57,warm
22,50,MILP,304114,cold
22,100,MILP,294760,warm
23,50,stdDP,385809,cold
23,100,stdDP,348134,warm
23,50,parDP,226430,cold
23,100,parDP,138564,warm
23,50,extDP,4047.86,cold
23,100,extDP,2850.45,warm
23,50,MILP,323871,cold
23,100,MILP,268046,warm
24,50,stdDP,1.0919e+06,cold
24,100,stdDP,1.14221e+06,warm
24,50,parDP,405646,cold
24,100,parDP,403140,warm
24,50,extDP,60843.5,cold
24,100,extDP,49511.8,warm
24,50,MILP,425229,cold
24,100,MILP,1.49881e+06,warm
25,50,stdDP,450770,cold
25,100,stdDP,465204,warm
25,50,parDP,238625,cold
25,100,parDP,149171,warm
25,50,extDP,13189.1,cold
25,100,extDP,12461.3,warm
25,50,MILP,686219,cold
25,100,MILP,523211,warm
26,50,stdDP,388058,cold
26,100,stdDP,335878,warm
26,50,parDP,196789,cold
26,100,parDP,139886,warm
26,50,extDP,8086.62,cold
26,100,extDP,7672.97,warm
26,50,MILP,396474,cold
26,100,MILP,267836,warm
27,50,stdDP,592582,cold
27,100,stdDP,552927,warm
27,50,parDP,294309,cold
27,100,parDP,167351,warm
27,50,extDP,30425.5,cold
27,100,extDP,30255.2,warm
27,50,MILP,410440,cold
27,100,MILP,598099,warm
28,50,stdDP,453177,cold
28,100,stdDP,572940,warm
28,50,parDP,296504,cold
28,100,parDP,141422,warm
28,50,extDP,6799.33,cold
28,100,extDP,8925.33,warm
28,50,MILP,383110,cold
28,100,MILP,226704,warm
29,50,stdDP,1.18099e+06,cold
29,100,stdDP,1.27435e+06,warm
29,50,parDP,554886,cold
29,100,parDP,483129,warm
29,50,extDP,60851.2,cold
29,100,extDP,74703,warm
29,50,MILP,555250,cold
29,100,MILP,1.45833e+06,warm
30,50,stdDP,645216,cold
30,100,stdDP,487795,warm
30,50,parDP,240931,cold
30,100,parDP,169991,warm
30,50,extDP,15586.2,cold
30,100,extDP,18397.1,warm
30,50,MILP,648449,cold
30,100,MILP,562292,warm
31,50,stdDP,618002,cold
31,100,stdDP,486023,warm
31,50,parDP,220911,cold
31,100,parDP,166361,warm
31,50,extDP,8915.29,cold
31,100,extDP,8907.14,warm
31,50,MILP,296598,cold
31,100,MILP,269769,warm
32,50,stdDP,503207,cold
32,100,stdDP,462948,warm
32,50,parDP,241863,cold
32,100,parDP,153443,warm
32,50,extDP,5992.81,cold
32,100,extDP,5322.07,warm
32,50,MILP,465661,cold
32,100,MILP,322658,warm
33,50,stdDP,709997,cold
33,100,stdDP,549728,warm
33,50,parDP,262878,cold
33,100,parDP,186519,warm
33,50,extDP,26463.6,cold
33,100,extDP,26794.6,warm
33,50,MILP,378098,cold
33,100,MILP,615901,warm
34,50,stdDP,825099,cold
34,100,stdDP,687985,warm
34,50,parDP,350519,cold
34,100,parDP,243851,warm
34,50,extDP,54005.6,cold
34,100,extDP,50713.4,warm
34,50,MILP,499090,cold
34,100,MILP,513312,warm
35,50,stdDP,595007,cold
35,100,stdDP,510148,warm
35,50,parDP,240171,cold
35,100,parDP,173233,warm
35,50,extDP,22800.4,cold
35,100,extDP,21991,warm
35,50,MILP,722843,cold
35,100,MILP,682561,warm
36,50,stdDP,518498,cold
36,100,stdDP,493947,warm
36,50,parDP,258883,cold
36,100,parDP,173587,warm
36,50,extDP,5533.05,cold
36,100,extDP,3845.23,warm
36,50,MILP,348059,cold
36,100,MILP,344740,warm
37,50,stdDP,1.03194e+06,cold
37,100,stdDP,822040,warm
37,50,parDP,511452,cold
37,100,parDP,339557,warm
37,50,extDP,78319.6,cold
37,100,extDP,75307.5,warm
37,50,MILP,728064,cold
37,100,MILP,618664,warm
38,50,stdDP,711395,cold
38,100,stdDP,523543,warm
38,50,parDP,331364,cold
38,100,parDP,156213,warm
38,50,extDP,5569.74,cold
38,100,extDP,5485.86,warm
38,50,MILP,330914,cold
38,100,MILP,294054,warm
39,50,stdDP,500744,cold
39,100,stdDP,471859,warm
39,50,parDP,223714,cold
39,100,parDP,190611,warm
39,50,extDP,2926.96,cold
39,100,extDP,2788.93,warm
39,50,MILP,410414,cold
39,100,MILP,272100,warm
40,50,stdDP,536274,cold
40,100,stdDP,492889,warm
40,50,parDP,281990,cold
40,100,parDP,147423,warm
40,50,extDP,18801.1,cold
40,100,extDP,20365.8,warm
40,50,MILP,632158,cold
40,100,MILP,392231,warm
41,50,stdDP,883993,cold
41,100,stdDP,724579,warm
41,50,parDP,325197,cold
41,100,parDP,281534,warm
41,50,extDP,47191.7,cold
41,100,extDP,29818.9,warm
41,50,MILP,462645,cold
41,100,MILP,549963,warm
42,50,stdDP,695894,cold
42,100,stdDP,531001,warm
42,50,parDP,236686,cold
42,100,parDP,193810,warm
42,50,extDP,31553.9,cold
42,100,extDP,31218.4,warm
42,50,MILP,789698,cold
42,100,MILP,525293,warm
43,50,stdDP,536314,cold
43,100,stdDP,558152,warm
43,50,parDP,198329,cold
43,100,parDP,136254,warm
43,50,extDP,4965.53,cold
43,100,extDP,4744.68,warm
43,50,MILP,373316,cold
43,100,MILP,277705,warm
44,50,stdDP,510850,cold
44,100,stdDP,442033,warm
44,50,parDP,208705,cold
44,100,parDP,151194,warm
44,50,extDP,20995,cold
44,100,extDP,20665,warm
44,50,MILP,668964,cold
44,100,MILP,419529,warm
45,50,stdDP,539783,cold
45,100,stdDP,531855,warm
45,50,parDP,252975,cold
45,100,parDP,174005,warm
45,50,extDP,31572,cold
45,100,extDP,32802.7,warm
45,50,MILP,651079,cold
45,100,MILP,455003,warm
46,50,stdDP,581766,cold
46,100,stdDP,550219,warm
46,50,parDP,258850,cold
46,100,parDP,189420,warm
46,50,extDP,34978.8,cold
46,100,extDP,34694.2,warm
46,50,MILP,873425,cold
46,100,MILP,635093,warm
47,50,stdDP,521643,cold
47,100,stdDP,516383,warm
47,50,parDP,282709,cold
47,100,parDP,173153,warm
47,50,extDP,3202.6,cold
47,100,extDP,3166.75,warm
47,50,MILP,634792,cold
47,100,MILP,462213,warm
48,50,stdDP,1.34911e+06,cold
48,100,stdDP,1.83799e+06,warm
48,50,parDP,520463,cold
48,100,parDP,524478,warm
48,50,extDP,107260,cold
48,100,extDP,113457,warm
48,50,MILP,1.66651e+06,cold
48,100,MILP,1.22977e+06,warm
49,50,stdDP,480815,cold
49,100,stdDP,417210,warm
49,50,parDP,209501,cold
49,100,parDP,160728,warm
49,50,extDP,8596.03,cold
49,100,extDP,8457.37,warm
49,50,MILP,648322,cold
49,100,MILP,334139,warm
