unit,iter,solver,time_us,phase
0,50,stdDP,4749.85,cold
0,100,stdDP,4599.41,warm
0,50,parDP,43035.4,cold
0,100,parDP,1846.34,warm
0,50,extDP,1610.8,cold
0,100,extDP,1247.7,warm
0,50,MILP,178025,cold
0,100,MILP,178561,warm
1,50,stdDP,6749.2,cold
1,100,stdDP,4308.05,warm
1,50,parDP,45264.9,cold
1,100,parDP,2530.55,warm
1,50,extDP,1380.97,cold
1,100,extDP,1485.27,warm
1,50,MILP,98850.6,cold
1,100,MILP,79878.6,warm
2,50,stdDP,7354.49,cold
2,100,stdDP,7347.02,warm
2,50,parDP,56796.8,cold
2,100,parDP,4321.36,warm
2,50,extDP,509.261,cold
2,100,extDP,554.884,warm
2,50,MILP,54439.7,cold
2,100,MILP,75720.3,warm
3,50,stdDP,6028.87,cold
3,100,stdDP,5647.87,warm
3,50,parDP,45412.5,cold
3,100,parDP,2465.11,warm
3,50,extDP,1195.46,cold
3,100,extDP,1047.32,warm
3,50,MILP,101201,cold
3,100,MILP,375124,warm
4,50,stdDP,16049.4,cold
4,100,stdDP,13025.4,warm
4,50,parDP,57933.1,cold
4,100,parDP,5033.65,warm
4,50,extDP,5511.69,cold
4,100,extDP,5683.51,warm
4,50,MILP,59104.5,cold
4,100,MILP,60229,warm
5,50,stdDP,11093.2,cold
5,100,stdDP,10433.1,warm
5,50,parDP,57904.1,cold
5,100,parDP,2504.14,warm
5,50,extDP,494.85,cold
5,100,extDP,648.942,warm
5,50,MILP,106387,cold
5,100,MILP,85741.6,warm
6,50,stdDP,8524.45,cold
6,100,stdDP,8049.36,warm
6,50,parDP,58761.6,cold
6,100,parDP,4845.57,warm
6,50,extDP,715.448,cold
6,100,extDP,636.084,warm
6,50,MILP,48177,cold
6,100,MILP,46088.1,warm
7,50,stdDP,6496.58,cold
7,100,stdDP,5176.61,warm
7,50,parDP,49204.4,cold
7,100,parDP,4214.8,warm
7,50,extDP,882.372,cold
7,100,extDP,1259.33,warm
7,50,MILP,109962,cold
7,100,MILP,138128,warm
8,50,stdDP,9028.24,cold
8,100,stdDP,6313.64,warm
8,50,parDP,43560.9,cold
8,100,parDP,2541.98,warm
8,50,extDP,1012.7,cold
8,100,extDP,1013.59,warm
8,50,MILP,100981,cold
8,100,MILP,168162,warm
9,50,stdDP,11368.9,cold
9,100,stdDP,15144.2,warm
9,50,parDP,85878.2,cold
9,100,parDP,6518.99,warm
9,50,extDP,5857.43,cold
9,100,extDP,11390.2,warm
9,50,MILP,68740.2,cold
9,100,MILP,69486.8,warm
10,50,stdDP,8301.7,cold
10,100,stdDP,11792.1,warm
10,50,parDP,69769.9,cold
10,100,parDP,2921.62,warm
10,50,extDP,866.475,cold
10,100,extDP,1721.72,warm
10,50,MILP,80863.9,cold
10,100,MILP,139412,warm
11,50,stdDP,8253.46,cold
11,100,stdDP,7446.35,warm
11,50,parDP,82569.9,cold
11,100,parDP,3255.68,warm
11,50,extDP,1087.11,cold
11,100,extDP,1080.89,warm
11,50,MILP,144966,cold
11,100,MILP,113389,warm
12,50,stdDP,13667.9,cold
12,100,stdDP,9812.75,warm
12,50,parDP,50371.9,cold
12,100,parDP,3201.41,warm
12,50,extDP,709.329,cold
12,100,extDP,648.774,warm
12,50,MILP,65115.4,cold
12,100,MILP,57771.8,warm
13,50,stdDP,9519.61,cold
13,100,stdDP,6287.3,warm
13,50,parDP,50531.9,cold
13,100,parDP,2428.84,warm
13,50,extDP,1713.61,cold
13,100,extDP,1037.58,warm
13,50,MILP,117905,cold
13,100,MILP,198998,warm
14,50,stdDP,5516.73,cold
14,100,stdDP,5438.92,warm
14,50,parDP,46123.5,cold
14,100,parDP,2859.84,warm
14,50,extDP,1302.45,cold
14,100,extDP,1869.87,warm
14,50,MILP,98284.8,cold
14,100,MILP,162998,warm
15,50,stdDP,6744.22,cold
15,100,stdDP,6104.7,warm
