unit,iter,solver,time_us,phase
0,25,stdDP,1.50418e+07,cold
0,50,stdDP,1.10539e+07,warm
0,25,parDP,3.99595e+06,cold
0,50,parDP,3.15961e+06,warm
0,25,extDP,96216.2,cold
0,50,extDP,93514.2,warm
0,25,MILP,2.16622e+06,cold
0,50,MILP,2.40809e+06,warm
1,25,stdDP,1.83356e+07,cold
1,50,stdDP,1.44666e+07,warm
1,25,parDP,4.99103e+06,cold
1,50,parDP,3.99439e+06,warm
1,25,extDP,139259,cold
1,50,extDP,131590,warm
1,25,MILP,3.04976e+06,cold
1,50,MILP,2.19711e+06,warm
2,25,stdDP,1.09399e+07,cold
2,50,stdDP,8.6901e+06,warm
2,25,parDP,3.36226e+06,cold
2,50,parDP,2.79373e+06,warm
2,25,extDP,16594.1,cold
2,50,extDP,22949.8,warm
2,25,MILP,1.97525e+06,cold
2,50,MILP,1.51646e+06,warm
3,25,stdDP,1.19522e+07,cold
3,50,stdDP,1.00007e+07,warm
3,25,parDP,3.7328e+06,cold
3,50,parDP,2.93259e+06,warm
3,25,extDP,60058.6,cold
3,50,extDP,61589.3,warm
3,25,MILP,2.95697e+06,cold
3,50,MILP,1.9753e+06,warm
4,25,stdDP,2.48366e+07,cold
4,50,stdDP,2.63459e+07,warm
4,25,parDP,6.96134e+06,cold
4,50,parDP,7.82029e+06,warm
4,25,extDP,285185,cold
4,50,extDP,315897,warm
4,25,MILP,3.01529e+06,cold
4,50,MILP,1.87491e+06,warm
5,25,stdDP,1.10069e+07,cold
5,50,stdDP,8.64189e+06,warm
5,25,parDP,3.33597e+06,cold
5,50,parDP,2.54071e+06,warm
5,25,extDP,16857.7,cold
5,50,extDP,19690.8,warm
5,25,MILP,2.35805e+06,cold
5,50,MILP,2.1952e+06,warm
6,25,stdDP,1.04322e+07,cold
6,50,stdDP,7.73038e+06,warm
6,25,parDP,3.62308e+06,cold
6,50,parDP,2.42385e+06,warm
6,25,extDP,12936.4,cold
6,50,extDP,14296.8,warm
6,25,MILP,2.65916e+06,cold
6,50,MILP,1.57064e+06,warm
7,25,stdDP,1.20396e+07,cold
7,50,stdDP,9.97072e+06,warm
7,25,parDP,3.81129e+06,cold
7,50,parDP,2.89761e+06,warm
7,25,extDP,48525.4,cold
7,50,extDP,46774.6,warm
7,25,MILP,3.25331e+06,cold
7,50,MILP,2.70896e+06,warm
8,25,stdDP,1.33653e+07,cold
8,50,stdDP,1.12026e+07,warm
8,25,parDP,4.62629e+06,cold
8,50,parDP,3.12531e+06,warm
8,25,extDP,54951.1,cold
8,50,extDP,57045.3,warm
8,25,MILP,2.09965e+06,cold
8,50,MILP,2.03121e+06,warm
9,25,stdDP,2.40208e+07,cold
9,50,stdDP,2.70506e+07,warm
9,25,parDP,7.29845e+06,cold
9,50,parDP,8.01548e+06,warm
9,25,extDP,276091,cold
9,50,extDP,342085,warm
9,25,MILP,2.46541e+06,cold
9,50,MILP,1.88731e+06,warm
10,25,stdDP,1.00669e+07,cold
10,50,stdDP,8.17673e+06,warm
10,25,parDP,3.19721e+06,cold
10,50,parDP,2.50225e+06,warm
10,25,extDP,22751.7,cold
10,50,extDP,23574.1,warm
10,25,MILP,2.00229e+06,cold
10,50,MILP,1.66513e+06,warm
11,25,stdDP,1.12767e+07,cold
11,50,stdDP,8.88725e+06,warm
11,25,parDP,3.33613e+06,cold
11,50,parDP,2.49007e+06,warm
11,25,extDP,24715.3,cold
11,50,extDP,23277.5,warm
11,25,MILP,2.36253e+06,cold
11,50,MILP,1.576e+06,warm
12,25,stdDP,1.13872e+07,cold
12,50,stdDP,9.89166e+06,warm
12,25,parDP,3.57166e+06,cold
12,50,parDP,2.93939e+06,warm
12,25,extDP,13164.3,cold
12,50,extDP,13356.1,warm
12,25,MILP,3.44401e+06,cold
12,50,MILP,1.48652e+06,warm
13,25,stdDP,1.24325e+07,cold
13,50,stdDP,1.10795e+07,warm
13,25,parDP,3.61825e+06,cold
13,50,parDP,2.78638e+06,warm
13,25,extDP,51129.5,cold
13,50,extDP,53070.4,warm
13,25,MILP,2.41296e+06,cold
13,50,MILP,2.87666e+06,warm
14,25,stdDP,9.12784e+06,cold
14,50,stdDP,7.86719e+06,warm
14,25,parDP,2.95482e+06,cold
14,50,parDP,2.43399e+06,warm
14,25,extDP,54764.6,cold
14,50,extDP,55336.9,warm
14,25,MILP,2.38645e+06,cold
14,50,MILP,2.25259e+06,warm
15,25,stdDP,2.03453e+07,cold
15,50,stdDP,1.859e+07,warm
15,25,parDP,5.53981e+06,cold
15,50,parDP,5.16122e+06,warm
15,25,extDP,182727,cold
15,50,extDP,208957,warm
15,25,MILP,2.65464e+06,cold
15,50,MILP,1.82577e+06,warm
16,25,stdDP,1.42589e+07,cold
16,50,stdDP,1.15566e+07,warm
16,25,parDP,4.1018e+06,cold
16,50,parDP,3.89173e+06,warm
16,25,extDP,135712,cold
16,50,extDP,129831,warm
16,25,MILP,2.45311e+06,cold
16,50,MILP,2.03327e+06,warm
17,25,stdDP,8.27094e+06,cold
17,50,stdDP,6.72535e+06,warm
17,25,parDP,2.66925e+06,cold
17,50,parDP,2.16219e+06,warm
17,25,extDP,19393.9,cold
17,50,extDP,20089.6,warm
17,25,MILP,2.06239e+06,cold
17,50,MILP,1.73032e+06,warm
18,25,stdDP,8.57784e+06,cold
18,50,stdDP,6.28234e+06,warm
18,25,parDP,2.81225e+06,cold
18,50,parDP,1.78763e+06,warm
18,25,extDP,11341.7,cold
18,50,extDP,10659.5,warm
18,25,MILP,2.48887e+06,cold
18,50,MILP,1.13082e+06,warm
19,25,stdDP,1.99272e+07,cold
19,50,stdDP,1.77698e+07,warm
19,25,parDP,5.73077e+06,cold
19,50,parDP,5.09422e+06,warm
19,25,extDP,211076,cold
19,50,extDP,223489,warm
19,25,MILP,4.58333e+06,cold
19,50,MILP,1.95129e+06,warm
20,25,stdDP,9.05912e+06,cold
20,50,stdDP,7.82248e+06,warm
20,25,parDP,4.19534e+06,cold
20,50,parDP,2.59351e+06,warm
20,25,extDP,44066.6,cold
20,50,extDP,42223.7,warm
20,25,MILP,2.64835e+06,cold
20,50,MILP,3.15929e+06,warm
21,25,stdDP,8.31854e+06,cold
21,50,stdDP,6.89642e+06,warm
21,25,parDP,2.77242e+06,cold
21,50,parDP,2.03972e+06,warm
21,25,extDP,20664.6,cold
21,50,extDP,20403.8,warm
21,25,MILP,2.18235e+06,cold
21,50,MILP,1.69357e+06,warm
22,25,stdDP,8.12842e+06,cold
22,50,stdDP,6.22038e+06,warm
22,25,parDP,2.67954e+06,cold
22,50,parDP,1.97064e+06,warm
22,25,extDP,11560.4,cold
22,50,extDP,11843.1,warm
22,25,MILP,2.65221e+06,cold
22,50,MILP,1.18431e+06,warm
23,25,stdDP,8.76929e+06,cold
23,50,stdDP,6.36916e+06,warm
23,25,parDP,4.27042e+06,cold
23,50,parDP,2.43173e+06,warm
23,25,extDP,19974.3,cold
23,50,extDP,10484.7,warm
23,25,MILP,2.38539e+06,cold
23,50,MILP,1.12551e+06,warm
24,25,stdDP,8.45686e+06,cold
24,50,stdDP,7.11529e+06,warm
24,25,parDP,2.6483e+06,cold
24,50,parDP,1.96237e+06,warm
24,25,extDP,18303.3,cold
24,50,extDP,18128.1,warm
24,25,MILP,1.68417e+06,cold
24,50,MILP,1.55666e+06,warm
25,25,stdDP,9.5833e+06,cold
25,50,stdDP,9.49396e+06,warm
25,25,parDP,3.48104e+06,cold
25,50,parDP,2.49632e+06,warm
25,25,extDP,85231.9,cold
25,50,extDP,97165.5,warm
25,25,MILP,2.03537e+06,cold
25,50,MILP,2.02169e+06,warm
26,25,stdDP,1.07315e+07,cold
26,50,stdDP,8.98075e+06,warm
26,25,parDP,3.36934e+06,cold
26,50,parDP,2.54257e+06,warm
26,25,extDP,48414.9,cold
26,50,extDP,46189.7,warm
26,25,MILP,1.66755e+06,cold
26,50,MILP,2.45057e+06,warm
27,25,stdDP,1.06664e+07,cold
27,50,stdDP,9.0239e+06,warm
27,25,parDP,3.34985e+06,cold
27,50,parDP,3.12423e+06,warm
27,25,extDP,13285.3,cold
27,50,extDP,13483.4,warm
27,25,MILP,2.54629e+06,cold
27,50,MILP,1.61601e+06,warm
28,25,stdDP,1.29537e+07,cold
28,50,stdDP,1.12413e+07,warm
28,25,parDP,3.81701e+06,cold
28,50,parDP,3.12059e+06,warm
28,25,extDP,93277.8,cold
28,50,extDP,89894.9,warm
28,25,MILP,2.62748e+06,cold
28,50,MILP,2.09179e+06,warm
29,25,stdDP,1.04934e+07,cold
29,50,stdDP,9.18842e+06,warm
29,25,parDP,3.39855e+06,cold
29,50,parDP,3.36848e+06,warm
29,25,extDP,13509.9,cold
29,50,extDP,12635.8,warm
29,25,MILP,3.73165e+06,cold
29,50,MILP,1.6866e+06,warm
30,25,stdDP,9.97344e+06,cold
30,50,stdDP,7.52832e+06,warm
30,25,parDP,3.13523e+06,cold
30,50,parDP,2.23778e+06,warm
30,25,extDP,12455.5,cold
30,50,extDP,15080.5,warm
30,25,MILP,3.08136e+06,cold
30,50,MILP,1.17681e+06,warm
31,25,stdDP,1.56929e+07,cold
31,50,stdDP,1.32478e+07,warm
31,25,parDP,5.42951e+06,cold
31,50,parDP,4.15395e+06,warm
31,25,extDP,130216,cold
31,50,extDP,128289,warm
31,25,MILP,2.31286e+06,cold
31,50,MILP,2.16251e+06,warm
32,25,stdDP,1.0731e+07,cold
32,50,stdDP,8.97621e+06,warm
