unit,iter,solver,time_us,phase
0,50,stdDP,1.04021e+06,cold
0,100,stdDP,940461,warm
0,50,parDP,575563,cold
0,100,parDP,350672,warm
0,50,extDP,9571.42,cold
0,100,extDP,10785.8,warm
0,50,MILP,558741,cold
0,100,MILP,814145,warm
1,50,stdDP,1.85599e+06,cold
1,100,stdDP,1.06802e+06,warm
1,50,parDP,514736,cold
1,100,parDP,558174,warm
1,50,extDP,8018.75,cold
1,100,extDP,6109.04,warm
1,50,MILP,435520,cold
1,100,MILP,669418,warm
2,50,stdDP,1.68043e+06,cold
2,100,stdDP,2.92152e+06,warm
2,50,parDP,992604,cold
2,100,parDP,1.01621e+06,warm
2,50,extDP,156117,cold
2,100,extDP,128929,warm
2,50,MILP,1.46871e+06,cold
2,100,MILP,1.40744e+06,warm
3,50,stdDP,1.64072e+06,cold
3,100,stdDP,1.56743e+06,warm
3,50,parDP,873910,cold
3,100,parDP,809616,warm
3,50,extDP,11151,cold
3,100,extDP,30898.4,warm
3,50,MILP,802229,cold
3,100,MILP,1.17157e+06,warm
4,50,stdDP,5.25393e+06,cold
4,100,stdDP,9.65864e+06,warm
4,50,parDP,1.97717e+06,cold
4,100,parDP,2.00316e+06,warm
4,50,extDP,499164,cold
4,100,extDP,703829,warm
4,50,MILP,4.99677e+06,cold
4,100,MILP,5.30798e+06,warm
5,50,stdDP,4.64146e+06,cold
5,100,stdDP,2.4258e+06,warm
5,50,parDP,1.48627e+06,cold
5,100,parDP,1.92948e+06,warm
5,50,extDP,206264,cold
5,100,extDP,165656,warm
5,50,MILP,2.03958e+06,cold
5,100,MILP,2.13763e+06,warm
6,50,stdDP,2.00239e+06,cold
6,100,stdDP,2.66702e+06,warm
6,50,parDP,1.132e+06,cold
6,100,parDP,749457,warm
6,50,extDP,30327.3,cold
6,100,extDP,55438.2,warm
6,50,MILP,1.27749e+06,cold
6,100,MILP,1.07438e+06,warm
7,50,stdDP,2.39047e+06,cold
7,100,stdDP,2.43188e+06,warm
7,50,parDP,815158,cold
7,100,parDP,586625,warm
7,50,extDP,13990.8,cold
7,100,extDP,11610.8,warm
7,50,MILP,1.25452e+06,cold
7,100,MILP,1.11298e+06,warm
8,50,stdDP,4.66724e+06,cold
8,100,stdDP,3.69624e+06,warm
8,50,parDP,1.46305e+06,cold
8,100,parDP,1.41521e+06,warm
8,50,extDP,42368.2,cold
8,100,extDP,31218.6,warm
8,50,MILP,1.59906e+06,cold
8,100,MILP,2.28232e+06,warm
9,50,stdDP,2.20944e+06,cold
9,100,stdDP,1.15254e+06,warm
9,50,parDP,500412,cold
9,100,parDP,241502,warm
9,50,extDP,18391.3,cold
9,100,extDP,18669.4,warm
9,50,MILP,801973,cold
9,100,MILP,743029,warm
10,50,stdDP,1.31707e+06,cold
10,100,stdDP,1.34754e+06,warm
10,50,parDP,714252,cold
10,100,parDP,612467,warm
