unit,gen_type
0,CCGT_small
1,CCGT_large
2,CCGT_large
3,CCGT_medium
4,CCGT_large
5,CCGT_efficient
6,CCGT_efficient
7,CCGT_medium
8,Coal_old
9,CCGT_efficient
10,CCGT_medium
11,OCGT_peaker
12,CCGT_efficient
13,Coal_old
14,Coal_old
15,OCGT_peaker
16,OCGT_peaker
17,Coal_old
18,CCGT_small
19,OCGT_peaker
20,OCGT_peaker
21,OCGT_peaker
22,Oil_peaker
23,CCGT_medium
24,Oil_peaker
25,CCGT_small
26,CCGT_medium
27,CCGT_medium
28,Oil_peaker
29,CCGT_large
30,CCGT_medium
31,OCGT_peaker
32,CCGT_efficient
33,Coal_old
34,Coal_old
35,OCGT_peaker
36,Oil_peaker
37,CCGT_efficient
38,CCGT_large
39,CCGT_small
40,CCGT_large
41,CCGT_large
42,CCGT_small
43,CCGT_medium
44,CCGT_small
45,CCGT_medium
46,CCGT_small
47,CCGT_large
48,CCGT_small
49,CCGT_medium
