unit,iter,solver,time_us,phase
0,25,stdDP,373.667,cold
0,50,stdDP,106.992,warm
0,75,stdDP,104.972,warm
0,100,stdDP,105.541,warm
0,125,stdDP,105.711,warm
0,150,stdDP,105.262,warm
0,25,parDP,1.06254e+06,cold
0,50,parDP,1352.28,warm
0,75,parDP,1179.61,warm
0,100,parDP,917.285,warm
0,125,parDP,929.416,warm
0,150,parDP,884.465,warm
0,25,extDP,343.305,cold
0,50,extDP,202.403,warm
0,75,extDP,199.694,warm
0,100,extDP,198.993,warm
0,125,extDP,199.283,warm
0,150,extDP,194.033,warm
0,25,MILP,58032.5,cold
0,50,MILP,36858,warm
0,75,MILP,36473.5,warm
0,100,MILP,36406.3,warm
0,125,MILP,36330.4,warm
0,150,MILP,36269.4,warm
1,25,stdDP,277.685,cold
1,50,stdDP,98.282,warm
1,75,stdDP,97.771,warm
1,100,stdDP,98.032,warm
1,125,stdDP,97.842,warm
1,150,stdDP,97.912,warm
1,25,parDP,1.09067e+06,cold
1,50,parDP,1012.28,warm
1,75,parDP,948.026,warm
1,100,parDP,948.866,warm
1,125,parDP,944.716,warm
1,150,parDP,944.546,warm
1,25,extDP,411.227,cold
1,50,extDP,208.464,warm
1,75,extDP,206.374,warm
1,100,extDP,206.953,warm
1,125,extDP,205.893,warm
1,150,extDP,206.434,warm
1,25,MILP,52628,cold
1,50,MILP,26633.2,warm
1,75,MILP,26717.2,warm
1,100,MILP,26944.3,warm
1,125,MILP,26643.2,warm
1,150,MILP,26732.4,warm
2,25,stdDP,285.565,cold
2,50,stdDP,117.602,warm
2,75,stdDP,120.452,warm
2,100,stdDP,119.812,warm
2,125,stdDP,120.132,warm
2,150,stdDP,119.852,warm
2,25,parDP,1.04726e+06,cold
2,50,parDP,2725.64,warm
2,75,parDP,1232.52,warm
2,100,parDP,1220.85,warm
2,125,parDP,1071.32,warm
2,150,parDP,912.555,warm
2,25,extDP,231.444,cold
2,50,extDP,134.342,warm
2,75,extDP,128.552,warm
2,100,extDP,128.082,warm
2,125,extDP,65.871,warm
2,150,extDP,65.461,warm
2,25,MILP,32332.1,cold
2,50,MILP,32672.8,warm
2,75,MILP,31406.4,warm
2,100,MILP,31375,warm
2,125,MILP,31397.8,warm
2,150,MILP,31369.4,warm
3,25,stdDP,408.677,cold
3,50,stdDP,112.412,warm
3,75,stdDP,111.072,warm
3,100,stdDP,111.252,warm
3,125,stdDP,111.001,warm
3,150,stdDP,111.132,warm
3,25,parDP,1.05528e+06,cold
3,50,parDP,882.345,warm
3,75,parDP,1190.01,warm
3,100,parDP,899.715,warm
3,125,parDP,883.584,warm
3,150,parDP,903.975,warm
3,25,extDP,387.486,cold
3,50,extDP,186.743,warm
3,75,extDP,177.723,warm
3,100,extDP,174.933,warm
3,125,extDP,173.853,warm
3,150,extDP,171.003,warm
3,25,MILP,63460.5,cold
3,50,MILP,73266.4,warm
3,75,MILP,63376.4,warm
3,100,MILP,63518.3,warm
3,125,MILP,63264.4,warm
3,150,MILP,63412.2,warm
4,25,stdDP,219.404,cold
