unit,iter,solver,time_us,phase
0,100,stdDP,23074.5,cold
0,200,stdDP,22428.8,warm
0,300,stdDP,22849.9,warm
0,400,stdDP,23013.5,warm
0,500,stdDP,23189.1,warm
0,600,stdDP,22920.2,warm
0,700,stdDP,28114.2,warm
0,100,parDP,1.06437e+06,cold
0,200,parDP,4483.64,warm
0,300,parDP,4065.16,warm
0,400,parDP,4013.08,warm
0,500,parDP,3961.45,warm
0,600,parDP,4142.66,warm
0,700,parDP,4689.74,warm
0,100,extDP,9756.29,cold
0,200,extDP,9205.24,warm
0,300,extDP,9276.35,warm
0,400,extDP,9335.54,warm
0,500,extDP,9291.41,warm
0,600,extDP,9324.96,warm
0,700,extDP,9485.61,warm
0,100,MILP,356513,cold
0,200,MILP,149572,warm
0,300,MILP,146393,warm
0,400,MILP,145850,warm
0,500,MILP,145920,warm
0,600,MILP,159402,warm
0,700,MILP,158281,warm
1,100,stdDP,19188.6,cold
1,200,stdDP,18939.3,warm
1,300,stdDP,18634.8,warm
1,400,stdDP,18563.7,warm
1,500,stdDP,18675.6,warm
1,600,stdDP,18588.9,warm
1,700,stdDP,18520.5,warm
1,100,parDP,1.08661e+06,cold
1,200,parDP,4922.13,warm
1,300,parDP,4682.15,warm
1,400,parDP,4433.19,warm
1,500,parDP,4455.57,warm
1,600,parDP,4496.48,warm
1,700,parDP,4569.52,warm
1,100,extDP,9897.9,cold
1,200,extDP,9359.09,warm
1,300,extDP,9133.25,warm
1,400,extDP,9154.93,warm
1,500,extDP,9153.76,warm
1,600,extDP,9169.85,warm
1,700,extDP,9171.63,warm
1,100,MILP,84779.6,cold
1,200,MILP,89829.9,warm
1,300,MILP,90969.3,warm
1,400,MILP,90970.3,warm
1,500,MILP,90563.6,warm
1,600,MILP,91014.3,warm
1,700,MILP,91143.6,warm
2,100,stdDP,32159.8,cold
2,200,stdDP,32196.2,warm
2,300,stdDP,34996.7,warm
2,400,stdDP,35120.6,warm
2,500,stdDP,35008.3,warm
2,600,stdDP,34903.4,warm
2,700,stdDP,34755.2,warm
2,100,parDP,1.0639e+06,cold
2,200,parDP,6299.38,warm
2,300,parDP,6484.48,warm
2,400,parDP,6517.09,warm
2,500,parDP,6619.08,warm
2,600,parDP,6479.7,warm
2,700,parDP,6554.75,warm
2,100,extDP,8746.76,cold
2,200,extDP,2740.21,warm
2,300,extDP,2860.74,warm
2,400,extDP,2854.38,warm
2,500,extDP,2851.84,warm
2,600,extDP,2848.39,warm
2,700,extDP,2849.93,warm
2,100,MILP,305867,cold
2,200,MILP,342350,warm
2,300,MILP,353866,warm
2,400,MILP,346718,warm
2,500,MILP,406320,warm
2,600,MILP,334136,warm
2,700,MILP,415539,warm
3,100,stdDP,30100.1,cold
3,200,stdDP,29865.6,warm
3,300,stdDP,30255.6,warm
3,400,stdDP,29896,warm
3,500,stdDP,30092.7,warm
3,600,stdDP,29738,warm
3,700,stdDP,30086.1,warm
3,100,parDP,1.08604e+06,cold
3,200,parDP,7907.08,warm
3,300,parDP,7899.95,warm
3,400,parDP,7779.51,warm
3,500,parDP,7742.52,warm
3,600,parDP,7769.61,warm
3,700,parDP,7840.18,warm
3,100,extDP,20740.2,cold
3,200,extDP,8143.34,warm
3,300,extDP,8058.03,warm
3,400,extDP,8052.45,warm
3,500,extDP,8076.43,warm
3,600,extDP,8039.93,warm
3,700,extDP,8052.28,warm
3,100,MILP,552292,cold
3,200,MILP,503308,warm
3,300,MILP,565428,warm
3,400,MILP,423061,warm
3,500,MILP,523486,warm
3,600,MILP,423313,warm
3,700,MILP,547968,warm
4,100,stdDP,24231.3,cold
4,200,stdDP,23680.1,warm
4,300,stdDP,23437.1,warm
4,400,stdDP,23337.6,warm
4,500,stdDP,23487.6,warm
4,600,stdDP,23345.2,warm
4,700,stdDP,23434.7,warm
4,100,parDP,1.03584e+06,cold
4,200,parDP,4022.03,warm
4,300,parDP,4662.97,warm
4,400,parDP,4212.3,warm
4,500,parDP,3540.39,warm
4,600,parDP,3568.34,warm
4,700,parDP,3563.91,warm
4,100,extDP,16148.8,cold
4,200,extDP,14475.3,warm
4,300,extDP,14225.5,warm
4,400,extDP,14195.9,warm
4,500,extDP,14207,warm
4,600,extDP,14219.3,warm
4,700,extDP,14207.8,warm
4,100,MILP,20682.2,cold
4,200,MILP,21012.2,warm
4,300,MILP,21176.5,warm
4,400,MILP,21198,warm
4,500,MILP,21209.2,warm
4,600,MILP,21224.4,warm
4,700,MILP,21251.5,warm
5,100,stdDP,30968.5,cold
5,200,stdDP,30538.2,warm
5,300,stdDP,32846.9,warm
5,400,stdDP,32783,warm
5,500,stdDP,32806.3,warm
5,600,stdDP,32807.5,warm
5,700,stdDP,32749.2,warm
5,100,parDP,1.05606e+06,cold
5,200,parDP,3274.66,warm
5,300,parDP,3371.96,warm
5,400,parDP,3087.91,warm
5,500,parDP,3179.76,warm
5,600,parDP,3294.63,warm
5,700,parDP,3092.2,warm
5,100,extDP,2888.22,cold
5,200,extDP,2547.11,warm
5,300,extDP,2592.19,warm
5,400,extDP,2586.41,warm
5,500,extDP,2587.55,warm
5,600,extDP,2589.41,warm
5,700,extDP,2590.87,warm
5,100,MILP,71612.6,cold
5,200,MILP,67701.5,warm
5,300,MILP,68258,warm
5,400,MILP,67638.9,warm
5,500,MILP,68450.2,warm
5,600,MILP,68389.8,warm
5,700,MILP,68020.9,warm
6,100,stdDP,41359.9,cold
6,200,stdDP,42325,warm
6,300,stdDP,41732.6,warm
6,400,stdDP,41661.3,warm
6,500,stdDP,41643.6,warm
6,600,stdDP,41641.9,warm
6,700,stdDP,41574.1,warm
6,100,parDP,1.06984e+06,cold
6,200,parDP,6488.06,warm
6,300,parDP,6246.26,warm
6,400,parDP,5845.04,warm
6,500,parDP,5818.07,warm
6,600,parDP,5854.07,warm
6,700,parDP,5819.98,warm
6,100,extDP,7040.78,cold
6,200,extDP,2589.9,warm
6,300,extDP,2614.54,warm
6,400,extDP,2595.88,warm
6,500,extDP,2602.42,warm
6,600,extDP,2594.94,warm
6,700,extDP,2597.57,warm
6,100,MILP,212952,cold
6,200,MILP,202448,warm
6,300,MILP,332551,warm
6,400,MILP,327913,warm
6,500,MILP,368685,warm
6,600,MILP,329178,warm
6,700,MILP,240554,warm
7,100,stdDP,35173.4,cold
7,200,stdDP,30292.4,warm
7,300,stdDP,32090.8,warm
7,400,stdDP,35754.8,warm
7,500,stdDP,39317.3,warm
7,600,stdDP,31897.3,warm
7,700,stdDP,36925,warm
7,100,parDP,1.07092e+06,cold
7,200,parDP,7462.94,warm
7,300,parDP,7785.38,warm
7,400,parDP,8813.92,warm
7,500,parDP,9607.42,warm
7,600,parDP,7782.56,warm
7,700,parDP,8749.16,warm
7,100,extDP,18596,cold
7,200,extDP,6904.57,warm
7,300,extDP,7004.35,warm
7,400,extDP,7027.43,warm
7,500,extDP,7060.33,warm
7,600,extDP,7004.69,warm
7,700,extDP,7167.85,warm
7,100,MILP,557465,cold
7,200,MILP,530496,warm
7,300,MILP,366893,warm
7,400,MILP,540691,warm
7,500,MILP,367577,warm
7,600,MILP,544838,warm
7,700,MILP,528735,warm
8,100,stdDP,37740.8,cold
8,200,stdDP,37043.8,warm
8,300,stdDP,44569.8,warm
8,400,stdDP,37194.5,warm
8,500,stdDP,36854.6,warm
8,600,stdDP,37238.2,warm
8,700,stdDP,44320.7,warm
8,100,parDP,1.08947e+06,cold
8,200,parDP,5096.69,warm
8,300,parDP,5722.06,warm
8,400,parDP,8311.15,warm
8,500,parDP,8215.79,warm
8,600,parDP,8300.82,warm
8,700,parDP,9041.6,warm
8,100,extDP,19564,cold
8,200,extDP,7597.78,warm
8,300,extDP,7460.2,warm
8,400,extDP,7469.16,warm
8,500,extDP,7460.47,warm
8,600,extDP,7502.59,warm
8,700,extDP,7471.97,warm
8,100,MILP,496045,cold
8,200,MILP,403674,warm
8,300,MILP,464427,warm
8,400,MILP,483815,warm
8,500,MILP,434050,warm
8,600,MILP,481683,warm
8,700,MILP,465324,warm
9,100,stdDP,25701.1,cold
9,200,stdDP,24904.6,warm
9,300,stdDP,24779.6,warm
9,400,stdDP,24645.6,warm
9,500,stdDP,24703.9,warm
9,600,stdDP,24626.6,warm
9,700,stdDP,24752.9,warm
9,100,parDP,1.05689e+06,cold
9,200,parDP,5021.89,warm
9,300,parDP,3742.25,warm
9,400,parDP,5182.11,warm
9,500,parDP,5387.68,warm
9,600,parDP,4026.28,warm
9,700,parDP,3925.04,warm
9,100,extDP,16142.7,cold
9,200,extDP,15066.1,warm
9,300,extDP,14926.4,warm
9,400,extDP,14943.8,warm
9,500,extDP,14961.1,warm
9,600,extDP,14955.6,warm
9,700,extDP,14919.1,warm
9,100,MILP,20289.6,cold
9,200,MILP,20853.2,warm
9,300,MILP,20850.2,warm
9,400,MILP,20837.2,warm
9,500,MILP,20858.6,warm
9,600,MILP,20828.2,warm
9,700,MILP,20799.8,warm
10,100,stdDP,29354.9,cold
10,200,stdDP,28643.6,warm
10,300,stdDP,32125.4,warm
10,400,stdDP,32129.9,warm
10,500,stdDP,32039.3,warm
10,600,stdDP,32067.2,warm
10,700,stdDP,32231.1,warm
10,100,parDP,1.0607e+06,cold
10,200,parDP,4672.06,warm
10,300,parDP,4718.31,warm
10,400,parDP,4578.09,warm
10,500,parDP,4615.86,warm
10,600,parDP,4820.55,warm
10,700,parDP,4872.69,warm
10,100,extDP,11031.6,cold
10,200,extDP,3802.72,warm
10,300,extDP,4000.39,warm
10,400,extDP,4001.64,warm
10,500,extDP,3980.91,warm
10,600,extDP,3984.37,warm
10,700,extDP,3983.3,warm
10,100,MILP,160481,cold
10,200,MILP,159179,warm
10,300,MILP,193886,warm
10,400,MILP,183077,warm
10,500,MILP,197544,warm
10,600,MILP,246210,warm
10,700,MILP,187393,warm
11,100,stdDP,32740.3,cold
11,200,stdDP,31205.2,warm
11,300,stdDP,34971.5,warm
11,400,stdDP,34943.2,warm
11,500,stdDP,34974.9,warm
11,600,stdDP,35243.9,warm
11,700,stdDP,34923.3,warm
11,100,parDP,1.09239e+06,cold
11,200,parDP,4933.01,warm
11,300,parDP,5225.21,warm
11,400,parDP,5316.1,warm
11,500,parDP,5515.93,warm
11,600,parDP,5432.32,warm
11,700,parDP,5384.89,warm
11,100,extDP,10530.3,cold
11,200,extDP,3816.82,warm
11,300,extDP,3955.5,warm
11,400,extDP,3957.9,warm
11,500,extDP,3955,warm
11,600,extDP,3977.43,warm
11,700,extDP,3954.27,warm
11,100,MILP,85130.4,cold
11,200,MILP,85218.5,warm
11,300,MILP,84442.1,warm
11,400,MILP,84472.4,warm
11,500,MILP,84760.4,warm
11,600,MILP,84298.4,warm
11,700,MILP,83600.5,warm
12,100,stdDP,45309,cold
12,200,stdDP,46791,warm
12,300,stdDP,44787.7,warm
12,400,stdDP,44597.1,warm
12,500,stdDP,44452.4,warm
12,600,stdDP,44507.5,warm
12,700,stdDP,46345.2,warm
12,100,parDP,884677,cold
12,200,parDP,7766.74,warm
12,300,parDP,6572.05,warm
12,400,parDP,6302.44,warm
12,500,parDP,6361.71,warm
12,600,parDP,5935.35,warm
12,700,parDP,6659.61,warm
12,100,extDP,7357.81,cold
12,200,extDP,2603.06,warm
12,300,extDP,2585.16,warm
12,400,extDP,2570.05,warm
12,500,extDP,2566.19,warm
12,600,extDP,2563.14,warm
12,700,extDP,2566.27,warm
12,100,MILP,398626,cold
12,200,MILP,208308,warm
12,300,MILP,171438,warm
12,400,MILP,222402,warm
12,500,MILP,223175,warm
12,600,MILP,211720,warm
12,700,MILP,215949,warm
13,100,stdDP,31682.7,cold
13,200,stdDP,30578.5,warm
13,300,stdDP,31980.6,warm
13,400,stdDP,31702,warm
13,500,stdDP,31643.2,warm
13,600,stdDP,32990,warm
13,700,stdDP,34845.3,warm
13,100,parDP,1.0833e+06,cold
13,200,parDP,6427.79,warm
13,300,parDP,7363.47,warm
13,400,parDP,7672.44,warm
13,500,parDP,7731.74,warm
13,600,parDP,8328.52,warm
13,700,parDP,8523.41,warm
13,100,extDP,14771.1,cold
13,200,extDP,7243.48,warm
13,300,extDP,7471.66,warm
13,400,extDP,7489.56,warm
13,500,extDP,7466.7,warm
13,600,extDP,7599.59,warm
13,700,extDP,7377.1,warm
13,100,MILP,623035,cold
13,200,MILP,589870,warm
13,300,MILP,561523,warm
13,400,MILP,607200,warm
13,500,MILP,674014,warm
13,600,MILP,647630,warm
13,700,MILP,546716,warm
14,100,stdDP,29832.7,cold
14,200,stdDP,27158.5,warm
14,300,stdDP,28356.8,warm
14,400,stdDP,28039.7,warm
14,500,stdDP,27920.1,warm
14,600,stdDP,28292.7,warm
14,700,stdDP,27965.2,warm
14,100,parDP,1.06479e+06,cold
14,200,parDP,7962.73,warm
14,300,parDP,8041.17,warm
14,400,parDP,7490.15,warm
14,500,parDP,7462.93,warm
14,600,parDP,7531.25,warm
14,700,parDP,7889.99,warm
14,100,extDP,22136,cold
14,200,extDP,7516.03,warm
14,300,extDP,7692.58,warm
14,400,extDP,7658.43,warm
14,500,extDP,7646.86,warm
14,600,extDP,7647.97,warm
14,700,extDP,7641.34,warm
14,100,MILP,500741,cold
14,200,MILP,551400,warm
14,300,MILP,396660,warm
14,400,MILP,428615,warm
14,500,MILP,446169,warm
14,600,MILP,513558,warm
14,700,MILP,345715,warm
15,100,stdDP,21630.9,cold
15,200,stdDP,20842.2,warm
15,300,stdDP,20049.9,warm
15,400,stdDP,20030.1,warm
15,500,stdDP,20019,warm
15,600,stdDP,20017.3,warm
15,700,stdDP,19955,warm
15,100,parDP,1.07801e+06,cold
15,200,parDP,6653.7,warm
15,300,parDP,6620.39,warm
15,400,parDP,6512.57,warm
15,500,parDP,6529.6,warm
15,600,parDP,6575.83,warm
15,700,parDP,6591.98,warm
15,100,extDP,31019.5,cold
15,200,extDP,11966.3,warm
15,300,extDP,11642,warm
15,400,extDP,11635.5,warm
15,500,extDP,11641.9,warm
15,600,extDP,11629.1,warm
15,700,extDP,11625,warm
15,100,MILP,30104.2,cold
15,200,MILP,30665.4,warm
15,300,MILP,30727.6,warm
15,400,MILP,30685.9,warm
15,500,MILP,30744.8,warm
15,600,MILP,30695.9,warm
15,700,MILP,30699.2,warm
16,100,stdDP,16874.4,cold
16,200,stdDP,16468.8,warm
16,300,stdDP,16698.6,warm
16,400,stdDP,16825.5,warm
16,500,stdDP,16818.5,warm
16,600,stdDP,16845.3,warm
16,700,stdDP,16853.8,warm
16,100,parDP,1.05563e+06,cold
16,200,parDP,4289.6,warm
16,300,parDP,4155.07,warm
16,400,parDP,4339.44,warm
16,500,parDP,4363.48,warm
16,600,parDP,4388.85,warm
16,700,parDP,4317.98,warm
16,100,extDP,9558.29,cold
16,200,extDP,8965.46,warm
16,300,extDP,9020.3,warm
16,400,extDP,9076.14,warm
16,500,extDP,9081.47,warm
16,600,extDP,9103.05,warm
16,700,extDP,9122.23,warm
16,100,MILP,99557.8,cold
16,200,MILP,95474.4,warm
16,300,MILP,107561,warm
16,400,MILP,107694,warm
16,500,MILP,108129,warm
16,600,MILP,108002,warm
16,700,MILP,108015,warm
17,100,stdDP,28654.2,cold
17,200,stdDP,29275.2,warm
17,300,stdDP,31525.2,warm
17,400,stdDP,31673.7,warm
17,500,stdDP,31602.3,warm
17,600,stdDP,31538.4,warm
17,700,stdDP,31523.2,warm
17,100,parDP,1.07533e+06,cold
17,200,parDP,4164.78,warm
17,300,parDP,4416.2,warm
17,400,parDP,4244.36,warm
17,500,parDP,4890.25,warm
17,600,parDP,5008.54,warm
17,700,parDP,4912.33,warm
17,100,extDP,9996.96,cold
17,200,extDP,3804.96,warm
17,300,extDP,3938.28,warm
17,400,extDP,3937.2,warm
17,500,extDP,3931.54,warm
17,600,extDP,3938.07,warm
17,700,extDP,3935.56,warm
17,100,MILP,522077,cold
17,200,MILP,528519,warm
17,300,MILP,521100,warm
17,400,MILP,532797,warm
17,500,MILP,528836,warm
17,600,MILP,544541,warm
17,700,MILP,548555,warm
18,100,stdDP,43658.9,cold
18,200,stdDP,45222.5,warm
18,300,stdDP,45351.6,warm
18,400,stdDP,45405.1,warm
18,500,stdDP,45492.9,warm
18,600,stdDP,45508.1,warm
18,700,stdDP,45517.3,warm
18,100,parDP,1.10906e+06,cold
18,200,parDP,7015.8,warm
18,300,parDP,7143.46,warm
18,400,parDP,6925.57,warm
18,500,parDP,7194.48,warm
18,600,parDP,6901.95,warm
18,700,parDP,5860.58,warm
18,100,extDP,6389.52,cold
18,200,extDP,3046.43,warm
18,300,extDP,2970.2,warm
18,400,extDP,2968.27,warm
18,500,extDP,2970.94,warm
18,600,extDP,2985.33,warm
18,700,extDP,2971.03,warm
18,100,MILP,229024,cold
18,200,MILP,428157,warm
18,300,MILP,391538,warm
18,400,MILP,360182,warm
18,500,MILP,402102,warm
18,600,MILP,422509,warm
18,700,MILP,396076,warm
19,100,stdDP,22308.6,cold
19,200,stdDP,21412.7,warm
19,300,stdDP,20922.5,warm
19,400,stdDP,20949,warm
19,500,stdDP,20961.9,warm
19,600,stdDP,20935.3,warm
19,700,stdDP,20942.6,warm
19,100,parDP,1.10675e+06,cold
19,200,parDP,3783.29,warm
19,300,parDP,3644.52,warm
19,400,parDP,3612.57,warm
19,500,parDP,3654.37,warm
19,600,parDP,3692.53,warm
19,700,parDP,5635.7,warm
19,100,extDP,32352.7,cold
19,200,extDP,12307.7,warm
19,300,extDP,12135,warm
19,400,extDP,12131.6,warm
19,500,extDP,12126.9,warm
19,600,extDP,12135.4,warm
19,700,extDP,12137.8,warm
19,100,MILP,30454.3,cold
19,200,MILP,31037,warm
19,300,MILP,31096.2,warm
19,400,MILP,31084.3,warm
19,500,MILP,31172.9,warm
19,600,MILP,31069.6,warm
19,700,MILP,31079.7,warm
20,100,stdDP,35842.1,cold
