unit,iter,solver,time_us,phase
0,100,stdDP,18662.9,cold
0,200,stdDP,20326.2,warm
0,300,stdDP,18052.5,warm
0,400,stdDP,18673.1,warm
0,500,stdDP,18979.9,warm
0,600,stdDP,18909,warm
0,700,stdDP,18968.3,warm
0,800,stdDP,18887.4,warm
0,900,stdDP,19144.6,warm
0,1000,stdDP,19233.3,warm
0,100,parDP,1.11371e+06,cold
0,200,parDP,4993.04,warm
0,300,parDP,3214.08,warm
0,400,parDP,3230.31,warm
0,500,parDP,3148.92,warm
0,600,parDP,3033.05,warm
0,700,parDP,2951.17,warm
0,800,parDP,3012.07,warm
0,900,parDP,3150,warm
0,1000,parDP,3001.74,warm
0,100,extDP,8482.36,cold
0,200,extDP,8307.99,warm
0,300,extDP,7737.4,warm
0,400,extDP,8132.35,warm
0,500,extDP,8479.39,warm
0,600,extDP,8231.68,warm
0,700,extDP,8214.33,warm
0,800,extDP,8195.55,warm
0,900,extDP,8251.4,warm
0,1000,extDP,8295.47,warm
0,100,MILP,145999,cold
0,200,MILP,148473,warm
0,300,MILP,149380,warm
0,400,MILP,160956,warm
0,500,MILP,160726,warm
0,600,MILP,160801,warm
0,700,MILP,160803,warm
0,800,MILP,159553,warm
0,900,MILP,146602,warm
0,1000,MILP,146825,warm
1,100,stdDP,17526.8,cold
1,200,stdDP,17309.1,warm
1,300,stdDP,16891.3,warm
1,400,stdDP,17014.5,warm
1,500,stdDP,16919.9,warm
1,600,stdDP,16982.4,warm
1,700,stdDP,16934.1,warm
1,800,stdDP,16965.2,warm
1,900,stdDP,16622.2,warm
1,1000,stdDP,16516,warm
1,100,parDP,1.04237e+06,cold
1,200,parDP,4396.26,warm
1,300,parDP,4044.21,warm
1,400,parDP,4064.83,warm
1,500,parDP,3814.64,warm
1,600,parDP,3840.18,warm
1,700,parDP,3761.97,warm
1,800,parDP,3839.43,warm
1,900,parDP,3898.68,warm
1,1000,parDP,3689.93,warm
1,100,extDP,9470.52,cold
1,200,extDP,8743.7,warm
1,300,extDP,8539.91,warm
1,400,extDP,8395.65,warm
1,500,extDP,8382.23,warm
1,600,extDP,8404.91,warm
1,700,extDP,8382.63,warm
1,800,extDP,8376.26,warm
1,900,extDP,8245.28,warm
1,1000,extDP,8239.51,warm
1,100,MILP,82895.6,cold
1,200,MILP,66976.5,warm
1,300,MILP,80354.8,warm
1,400,MILP,90414,warm
1,500,MILP,89969.6,warm
1,600,MILP,91148.9,warm
1,700,MILP,89705.7,warm
1,800,MILP,90836.1,warm
1,900,MILP,90446,warm
1,1000,MILP,90524.4,warm
2,100,stdDP,31383.5,cold
2,200,stdDP,31267,warm
2,300,stdDP,32540.2,warm
2,400,stdDP,30967.5,warm
2,500,stdDP,30881.6,warm
2,600,stdDP,30928.4,warm
2,700,stdDP,30841.3,warm
2,800,stdDP,30870.9,warm
2,900,stdDP,30648.2,warm
2,1000,stdDP,30690.6,warm
2,100,parDP,1.04583e+06,cold
2,200,parDP,5168.12,warm
2,300,parDP,4948.9,warm
2,400,parDP,4894.18,warm
2,500,parDP,4653.67,warm
2,600,parDP,4574.1,warm
2,700,parDP,4599.55,warm
2,800,parDP,4941.27,warm
2,900,parDP,4746.18,warm
2,1000,parDP,4610.4,warm
2,100,extDP,8841.37,cold
2,200,extDP,2996.02,warm
2,300,extDP,2828.72,warm
2,400,extDP,2803.9,warm
2,500,extDP,2789.19,warm
2,600,extDP,2789.51,warm
2,700,extDP,2782.82,warm
2,800,extDP,2796.87,warm
2,900,extDP,2782.33,warm
2,1000,extDP,2780.08,warm
2,100,MILP,41910.8,cold
2,200,MILP,112239,warm
2,300,MILP,152426,warm
2,400,MILP,381007,warm
2,500,MILP,326502,warm
2,600,MILP,366933,warm
2,700,MILP,376216,warm
2,800,MILP,399517,warm
2,900,MILP,348620,warm
2,1000,MILP,359233,warm
3,100,stdDP,30848.8,cold
3,200,stdDP,26132.2,warm
3,300,stdDP,27264.3,warm
3,400,stdDP,26852.4,warm
3,500,stdDP,26735.7,warm
3,600,stdDP,26619.4,warm
3,700,stdDP,26642.8,warm
3,800,stdDP,26666,warm
3,900,stdDP,28041.5,warm
3,1000,stdDP,34270,warm
3,100,parDP,1.06305e+06,cold
3,200,parDP,5833.03,warm
3,300,parDP,3778.86,warm
3,400,parDP,3828.65,warm
3,500,parDP,3626.48,warm
3,600,parDP,3619.13,warm
3,700,parDP,3508.05,warm
3,800,parDP,3546.13,warm
3,900,parDP,3802.41,warm
3,1000,parDP,4880.78,warm
3,100,extDP,20684.3,cold
3,200,extDP,7320.3,warm
3,300,extDP,7502.36,warm
3,400,extDP,7531.89,warm
3,500,extDP,7519.52,warm
3,600,extDP,7508.81,warm
3,700,extDP,7509.34,warm
3,800,extDP,7507.44,warm
3,900,extDP,7588.16,warm
3,1000,extDP,7529.63,warm
3,100,MILP,182682,cold
3,200,MILP,358649,warm
3,300,MILP,373573,warm
3,400,MILP,482892,warm
3,500,MILP,373885,warm
3,600,MILP,597768,warm
3,700,MILP,605664,warm
3,800,MILP,535286,warm
3,900,MILP,592277,warm
3,1000,MILP,389782,warm
4,100,stdDP,20888.6,cold
4,200,stdDP,21235.4,warm
4,300,stdDP,21377.4,warm
4,400,stdDP,21371.1,warm
4,500,stdDP,21481.5,warm
4,600,stdDP,21359.5,warm
4,700,stdDP,21433.4,warm
4,800,stdDP,21342.9,warm
4,900,stdDP,21415.5,warm
4,1000,stdDP,21338.4,warm
4,100,parDP,1.06894e+06,cold
4,200,parDP,5844.68,warm
4,300,parDP,5873.13,warm
4,400,parDP,5778.41,warm
4,500,parDP,5682.81,warm
4,600,parDP,5771.62,warm
4,700,parDP,4841.8,warm
4,800,parDP,5614.02,warm
4,900,parDP,5639.97,warm
4,1000,parDP,5655.57,warm
4,100,extDP,34425.7,cold
4,200,extDP,13080.7,warm
4,300,extDP,13193.1,warm
4,400,extDP,13232.9,warm
4,500,extDP,13239.5,warm
4,600,extDP,13235.8,warm
4,700,extDP,13229.4,warm
4,800,extDP,13221.9,warm
4,900,extDP,13217.7,warm
4,1000,extDP,13223.4,warm
4,100,MILP,19136.3,cold
4,200,MILP,20474.5,warm
4,300,MILP,20894.2,warm
4,400,MILP,20961.2,warm
4,500,MILP,21007.6,warm
4,600,MILP,21022.6,warm
4,700,MILP,21001.2,warm
4,800,MILP,21064.2,warm
4,900,MILP,21291.9,warm
4,1000,MILP,21280.4,warm
5,100,stdDP,32580,cold
5,200,stdDP,33337,warm
5,300,stdDP,32568.1,warm
5,400,stdDP,32633.5,warm
5,500,stdDP,32703.6,warm
5,600,stdDP,32791.1,warm
5,700,stdDP,32724.2,warm
5,800,stdDP,32900.2,warm
