unit,iter,solver,time_us,phase
0,500,stdDP,896330,cold
0,1000,stdDP,257313,warm
0,1500,stdDP,263511,warm
0,2000,stdDP,245658,warm
0,500,parDP,1.33716e+06,cold
0,1000,parDP,26741.2,warm
0,1500,parDP,26478,warm
0,2000,parDP,26220.8,warm
0,500,extDP,17892.7,cold
0,1000,extDP,19085.6,warm
0,1500,extDP,18058.7,warm
0,2000,extDP,19261.1,warm
0,500,MILP,816233,cold
0,1000,MILP,820127,warm
0,1500,MILP,798486,warm
0,2000,MILP,813854,warm
1,500,stdDP,825620,cold
1,1000,stdDP,381686,warm
1,1500,stdDP,398313,warm
1,2000,stdDP,394112,warm
1,500,parDP,1.36469e+06,cold
1,1000,parDP,29795.5,warm
1,1500,parDP,26323.8,warm
1,2000,parDP,26479.9,warm
1,500,extDP,18177.7,cold
1,1000,extDP,26794.6,warm
1,1500,extDP,24559.1,warm
1,2000,extDP,25554.1,warm
1,500,MILP,753142,cold
1,1000,MILP,782097,warm
1,1500,MILP,781253,warm
1,2000,MILP,768957,warm
2,500,stdDP,559018,cold
2,1000,stdDP,148127,warm
2,1500,stdDP,148279,warm
2,2000,stdDP,148131,warm
2,500,parDP,1.25686e+06,cold
2,1000,parDP,26404.3,warm
2,1500,parDP,27514.5,warm
2,2000,parDP,26781.1,warm
2,500,extDP,3895.78,cold
2,1000,extDP,3730.24,warm
2,1500,extDP,2819.94,warm
2,2000,extDP,2900.64,warm
2,500,MILP,485188,cold
2,1000,MILP,480461,warm
2,1500,MILP,487339,warm
2,2000,MILP,497359,warm
3,500,stdDP,308561,cold
3,1000,stdDP,211680,warm
3,1500,stdDP,186799,warm
3,2000,stdDP,186609,warm
3,500,parDP,1.20608e+06,cold
3,1000,parDP,27043.4,warm
3,1500,parDP,26005.3,warm
3,2000,parDP,25901.6,warm
3,500,extDP,9752.07,cold
3,1000,extDP,12947.5,warm
3,1500,extDP,11724.7,warm
3,2000,extDP,11916.9,warm
3,500,MILP,1.81102e+06,cold
3,1000,MILP,1.39132e+06,warm
3,1500,MILP,1.3601e+06,warm
3,2000,MILP,1.35688e+06,warm
4,500,stdDP,792247,cold
4,1000,stdDP,325578,warm
4,1500,stdDP,319507,warm
4,2000,stdDP,319417,warm
4,500,parDP,1.20982e+06,cold
4,1000,parDP,35795.2,warm
4,1500,parDP,29386.7,warm
4,2000,parDP,29317.8,warm
4,500,extDP,43811,cold
4,1000,extDP,63807.5,warm
4,1500,extDP,56732.3,warm
4,2000,extDP,58677.1,warm
4,500,MILP,837310,cold
4,1000,MILP,859817,warm
4,1500,MILP,863352,warm
4,2000,MILP,865044,warm
5,500,stdDP,377096,cold
5,1000,stdDP,141826,warm
5,1500,stdDP,155869,warm
5,2000,stdDP,141817,warm
5,500,parDP,1.2076e+06,cold
5,1000,parDP,24938.3,warm
5,1500,parDP,25235.4,warm
5,2000,parDP,25391,warm
5,500,extDP,3046.07,cold
5,1000,extDP,3310.16,warm
5,1500,extDP,2973.34,warm
5,2000,extDP,3089.12,warm
5,500,MILP,466038,cold
5,1000,MILP,470259,warm
5,1500,MILP,471515,warm
5,2000,MILP,469844,warm
6,500,stdDP,273062,cold
6,1000,stdDP,116064,warm
6,1500,stdDP,116123,warm
6,2000,stdDP,115857,warm
6,500,parDP,1.17019e+06,cold
6,1000,parDP,26440.8,warm
6,1500,parDP,25781.3,warm
6,2000,parDP,25551.2,warm
6,500,extDP,1692.6,cold
6,1000,extDP,1767.32,warm
6,1500,extDP,1513.01,warm
6,2000,extDP,1517.03,warm
6,500,MILP,745912,cold
6,1000,MILP,740179,warm
6,1500,MILP,731053,warm
6,2000,MILP,735681,warm
7,500,stdDP,449536,cold
7,1000,stdDP,171099,warm
