unit,iter,solver,time_us,phase
0,600,stdDP,5.73404e+07,cold
0,1200,stdDP,5.49849e+07,warm
0,600,parDP,2.39635e+06,cold
0,1200,parDP,538645,warm
0,600,extDP,529293,cold
0,1200,extDP,513199,warm
0,600,MILP,5.94093e+07,cold
0,1200,MILP,5.77603e+07,warm
1,600,stdDP,8.19512e+07,cold
1,1200,stdDP,7.66501e+07,warm
1,600,parDP,2.96869e+06,cold
1,1200,parDP,987596,warm
1,600,extDP,793486,cold
1,1200,extDP,795373,warm
1,600,MILP,6.28409e+07,cold
1,1200,MILP,6.7745e+07,warm
2,600,stdDP,4.20362e+07,cold
2,1200,stdDP,4.11795e+07,warm
2,600,parDP,2.21293e+06,cold
2,1200,parDP,394505,warm
2,600,extDP,84695.7,cold
2,1200,extDP,82934.6,warm
2,600,MILP,6.20411e+07,cold
2,1200,MILP,7.61228e+07,warm
3,600,stdDP,6.78761e+07,cold
3,1200,stdDP,6.48207e+07,warm
3,600,parDP,2.56411e+06,cold
3,1200,parDP,609028,warm
3,600,extDP,429039,cold
3,1200,extDP,408602,warm
3,600,MILP,3.00018e+08,cold
3,1200,MILP,3.00053e+08,warm
4,600,stdDP,5.11947e+07,cold
4,1200,stdDP,5.07808e+07,warm
4,600,parDP,2.34357e+06,cold
4,1200,parDP,541053,warm
4,600,extDP,943816,cold
4,1200,extDP,910250,warm
4,600,MILP,1.32064e+06,cold
4,1200,MILP,1.34065e+06,warm
5,600,stdDP,3.85833e+07,cold
5,1200,stdDP,3.77318e+07,warm
5,600,parDP,2.28105e+06,cold
5,1200,parDP,497230,warm
5,600,extDP,79406.5,cold
5,1200,extDP,77881.3,warm
5,600,MILP,6.28166e+06,cold
5,1200,MILP,6.4195e+06,warm
6,600,stdDP,5.21548e+07,cold
6,1200,stdDP,5.84173e+07,warm
6,600,parDP,2.35634e+06,cold
6,1200,parDP,587676,warm
6,600,extDP,111804,cold
6,1200,extDP,83838,warm
6,600,MILP,3.00007e+08,cold
6,1200,MILP,3.00026e+08,warm
7,600,stdDP,6.53809e+07,cold
7,1200,stdDP,5.76927e+07,warm
7,600,parDP,2.53013e+06,cold
7,1200,parDP,536595,warm
7,600,extDP,318341,cold
7,1200,extDP,309339,warm
7,600,MILP,3.00007e+08,cold
7,1200,MILP,3.00047e+08,warm
8,600,stdDP,7.68422e+07,cold
8,1200,stdDP,7.85277e+07,warm
8,600,parDP,2.61722e+06,cold
8,1200,parDP,758275,warm
8,600,extDP,371904,cold
8,1200,extDP,404708,warm
8,600,MILP,3.00027e+08,cold
8,1200,MILP,3.00043e+08,warm
9,600,stdDP,6.71316e+07,cold
9,1200,stdDP,6.39291e+07,warm
9,600,parDP,2.68157e+06,cold
9,1200,parDP,868502,warm
9,600,extDP,1.13083e+06,cold
9,1200,extDP,1.10519e+06,warm
9,600,MILP,1.33737e+06,cold
9,1200,MILP,1.3632e+06,warm
10,600,stdDP,3.77873e+07,cold
10,1200,stdDP,4.12551e+07,warm
10,600,parDP,2.22659e+06,cold
10,1200,parDP,424240,warm
10,600,extDP,140245,cold
10,1200,extDP,124677,warm
10,600,MILP,9.92344e+06,cold
10,1200,MILP,1.19526e+07,warm
11,600,stdDP,4.67974e+07,cold
11,1200,stdDP,4.58351e+07,warm
11,600,parDP,2.33596e+06,cold
11,1200,parDP,427353,warm
11,600,extDP,122915,cold
11,1200,extDP,122173,warm
11,600,MILP,6.30598e+06,cold
11,1200,MILP,6.4759e+06,warm
12,600,stdDP,6.3243e+07,cold
12,1200,stdDP,7.03214e+07,warm
12,600,parDP,2.54509e+06,cold
12,1200,parDP,659477,warm
12,600,extDP,87080,cold
12,1200,extDP,83369.2,warm
12,600,MILP,2.40125e+08,cold
12,1200,MILP,2.34428e+08,warm
13,600,stdDP,6.73905e+07,cold
13,1200,stdDP,5.99008e+07,warm
13,600,parDP,2.64301e+06,cold
13,1200,parDP,772084,warm
13,600,extDP,346521,cold
13,1200,extDP,322799,warm
13,600,MILP,3.00021e+08,cold
13,1200,MILP,3.00122e+08,warm
14,600,stdDP,6.73901e+07,cold
14,1200,stdDP,5.87522e+07,warm
14,600,parDP,2.52854e+06,cold
14,1200,parDP,620608,warm
14,600,extDP,405494,cold
14,1200,extDP,393559,warm
14,600,MILP,3.00025e+08,cold
14,1200,MILP,3.00058e+08,warm
15,600,stdDP,6.58095e+07,cold
15,1200,stdDP,6.44976e+07,warm
15,600,parDP,2.5426e+06,cold
15,1200,parDP,613854,warm
15,600,extDP,916493,cold
15,1200,extDP,912970,warm
15,600,MILP,1.21715e+06,cold
15,1200,MILP,1.23415e+06,warm
16,600,stdDP,9.09496e+07,cold
16,1200,stdDP,8.31356e+07,warm
16,600,parDP,2.70464e+06,cold
16,1200,parDP,767034,warm
16,600,extDP,1.04275e+06,cold
16,1200,extDP,995138,warm
16,600,MILP,6.39845e+07,cold
16,1200,MILP,7.20407e+07,warm
17,600,stdDP,3.7289e+07,cold
17,1200,stdDP,3.94775e+07,warm
17,600,parDP,2.27763e+06,cold
17,1200,parDP,522820,warm
17,600,extDP,134696,cold
17,1200,extDP,117138,warm
17,600,MILP,3.0003e+08,cold
17,1200,MILP,3.00041e+08,warm
18,600,stdDP,6.51636e+07,cold
18,1200,stdDP,6.33701e+07,warm
18,600,parDP,2.6524e+06,cold
18,1200,parDP,686360,warm
18,600,extDP,130904,cold
18,1200,extDP,104822,warm
18,600,MILP,3.00006e+08,cold
18,1200,MILP,3.0002e+08,warm
19,600,stdDP,5.60978e+07,cold
19,1200,stdDP,5.49861e+07,warm
19,600,parDP,2.62234e+06,cold
19,1200,parDP,551388,warm
19,600,extDP,836584,cold
19,1200,extDP,828316,warm
19,600,MILP,1.30068e+06,cold
19,1200,MILP,1.31647e+06,warm
20,600,stdDP,6.78747e+07,cold
20,1200,stdDP,6.03217e+07,warm
20,600,parDP,2.47394e+06,cold
20,1200,parDP,578088,warm
20,600,extDP,348560,cold
20,1200,extDP,313148,warm
20,600,MILP,3.00015e+08,cold
20,1200,MILP,3.00067e+08,warm
21,600,stdDP,4.30984e+07,cold
21,1200,stdDP,4.08623e+07,warm
21,600,parDP,2.31084e+06,cold
21,1200,parDP,543672,warm
21,600,extDP,123833,cold
21,1200,extDP,120967,warm
21,600,MILP,4.91253e+07,cold
21,1200,MILP,5.33785e+07,warm
22,600,stdDP,5.88289e+07,cold
22,1200,stdDP,5.74982e+07,warm
22,600,parDP,2.41023e+06,cold
22,1200,parDP,568531,warm
22,600,extDP,128382,cold
22,1200,extDP,103449,warm
22,600,MILP,3.00005e+08,cold
22,1200,MILP,3.00017e+08,warm
23,600,stdDP,5.61468e+07,cold
23,1200,stdDP,5.31352e+07,warm
23,600,parDP,2.31546e+06,cold
23,1200,parDP,492766,warm
23,600,extDP,79517,cold
23,1200,extDP,78004.2,warm
23,600,MILP,2.90177e+08,cold
23,1200,MILP,2.70557e+08,warm
24,600,stdDP,3.78032e+07,cold
24,1200,stdDP,3.6557e+07,warm
24,600,parDP,2.19577e+06,cold
24,1200,parDP,356818,warm
24,600,extDP,133153,cold
24,1200,extDP,117206,warm
24,600,MILP,4.05844e+06,cold
24,1200,MILP,3.51122e+06,warm
25,600,stdDP,6.60508e+07,cold
25,1200,stdDP,5.50496e+07,warm
25,600,parDP,2.66616e+06,cold
25,1200,parDP,693192,warm
25,600,extDP,648509,cold
25,1200,extDP,565448,warm
25,600,MILP,5.88111e+07,cold
25,1200,MILP,5.874e+07,warm
26,600,stdDP,5.52209e+07,cold
26,1200,stdDP,5.00277e+07,warm
26,600,parDP,2.42257e+06,cold
26,1200,parDP,519591,warm
26,600,extDP,308508,cold
26,1200,extDP,293227,warm
26,600,MILP,3.0003e+08,cold
26,1200,MILP,3.00031e+08,warm
27,600,stdDP,6.20016e+07,cold
27,1200,stdDP,7.12402e+07,warm
27,600,parDP,2.37096e+06,cold
27,1200,parDP,688332,warm
27,600,extDP,78876.2,cold
27,1200,extDP,75613.6,warm
27,600,MILP,2.20011e+08,cold
27,1200,MILP,2.01084e+08,warm
28,600,stdDP,6.71775e+07,cold
28,1200,stdDP,5.62298e+07,warm
28,600,parDP,2.55706e+06,cold
28,1200,parDP,546662,warm
28,600,extDP,562906,cold
28,1200,extDP,518009,warm
28,600,MILP,5.64466e+07,cold
28,1200,MILP,5.82688e+07,warm
29,600,stdDP,7.03357e+07,cold
29,1200,stdDP,6.4818e+07,warm
29,600,parDP,2.65457e+06,cold
29,1200,parDP,844574,warm
29,600,extDP,74982.2,cold
29,1200,extDP,75345.9,warm
29,600,MILP,3.51856e+07,cold
29,1200,MILP,3.56826e+07,warm
30,600,stdDP,4.98513e+07,cold
30,1200,stdDP,5.06608e+07,warm
30,600,parDP,2.3359e+06,cold
30,1200,parDP,508209,warm
30,600,extDP,103327,cold
30,1200,extDP,79333.7,warm
30,600,MILP,3.00006e+08,cold
30,1200,MILP,3.00022e+08,warm
31,600,stdDP,8.6619e+07,cold
31,1200,stdDP,7.37793e+07,warm
31,600,parDP,2.57383e+06,cold
31,1200,parDP,693461,warm
31,600,extDP,856207,cold
31,1200,extDP,839446,warm
31,600,MILP,7.12001e+07,cold
31,1200,MILP,7.02512e+07,warm
32,600,stdDP,4.68447e+07,cold
32,1200,stdDP,4.47194e+07,warm
32,600,parDP,2.31773e+06,cold
32,1200,parDP,428536,warm
32,600,extDP,341987,cold
32,1200,extDP,317641,warm
32,600,MILP,3.0005e+08,cold
32,1200,MILP,3.0028e+08,warm
33,600,stdDP,6.58459e+07,cold
33,1200,stdDP,7.02407e+07,warm
33,600,parDP,2.58439e+06,cold
33,1200,parDP,869181,warm
33,600,extDP,1.06042e+06,cold
33,1200,extDP,1.06348e+06,warm
33,600,MILP,1.2725e+06,cold
33,1200,MILP,1.28841e+06,warm
34,600,stdDP,7.40826e+07,cold
34,1200,stdDP,6.58745e+07,warm
34,600,parDP,2.57616e+06,cold
34,1200,parDP,681918,warm
34,600,extDP,787796,cold
34,1200,extDP,724296,warm
34,600,MILP,6.73191e+07,cold
34,1200,MILP,6.46766e+07,warm
35,600,stdDP,5.60674e+07,cold
35,1200,stdDP,5.36221e+07,warm
35,600,parDP,2.37454e+06,cold
35,1200,parDP,511052,warm
35,600,extDP,553226,cold
35,1200,extDP,551609,warm
35,600,MILP,7.07987e+07,cold
35,1200,MILP,7.7481e+07,warm
36,600,stdDP,5.35176e+07,cold
36,1200,stdDP,5.48402e+07,warm
36,600,parDP,2.42766e+06,cold
36,1200,parDP,501685,warm
36,600,extDP,81137.4,cold
36,1200,extDP,78167.7,warm
36,600,MILP,3.00007e+08,cold
36,1200,MILP,3.00026e+08,warm
37,600,stdDP,7.42741e+07,cold
37,1200,stdDP,6.15009e+07,warm
37,600,parDP,2.71061e+06,cold
37,1200,parDP,768438,warm
37,600,extDP,613708,cold
37,1200,extDP,553197,warm
37,600,MILP,9.10555e+07,cold
37,1200,MILP,9.75237e+07,warm
38,600,stdDP,5.08079e+07,cold
38,1200,stdDP,4.52516e+07,warm
38,600,parDP,2.31107e+06,cold
38,1200,parDP,465391,warm
38,600,extDP,534197,cold
38,1200,extDP,506257,warm
38,600,MILP,5.89057e+07,cold
38,1200,MILP,6.04528e+07,warm
39,600,stdDP,6.17043e+07,cold
39,1200,stdDP,5.66824e+07,warm
39,600,parDP,2.41878e+06,cold
39,1200,parDP,557181,warm
39,600,extDP,559528,cold
39,1200,extDP,545172,warm
39,600,MILP,3.0031e+08,cold
39,1200,MILP,3.00052e+08,warm
40,600,stdDP,5.57823e+07,cold
40,1200,stdDP,5.46789e+07,warm
40,600,parDP,2.32858e+06,cold
40,1200,parDP,509523,warm
40,600,extDP,775407,cold
40,1200,extDP,743551,warm
40,600,MILP,1.20233e+06,cold
40,1200,MILP,1.22657e+06,warm
41,600,stdDP,5.37865e+07,cold
41,1200,stdDP,4.98923e+07,warm
41,600,parDP,2.56216e+06,cold
41,1200,parDP,667569,warm
41,600,extDP,225025,cold
41,1200,extDP,215878,warm
41,600,MILP,3.0001e+08,cold
41,1200,MILP,3.00043e+08,warm
42,600,stdDP,7.15963e+07,cold
42,1200,stdDP,6.7898e+07,warm
42,600,parDP,2.57972e+06,cold
42,1200,parDP,685645,warm
42,600,extDP,952692,cold
42,1200,extDP,897441,warm
42,600,MILP,6.55973e+07,cold
42,1200,MILP,6.94355e+07,warm
43,600,stdDP,5.53014e+07,cold
43,1200,stdDP,5.08816e+07,warm
43,600,parDP,2.3107e+06,cold
43,1200,parDP,512184,warm
43,600,extDP,83219.7,cold
43,1200,extDP,79224,warm
43,600,MILP,2.31711e+08,cold
43,1200,MILP,2.30847e+08,warm
44,600,stdDP,5.35852e+07,cold
44,1200,stdDP,5.63715e+07,warm
44,600,parDP,2.3566e+06,cold
44,1200,parDP,525995,warm
44,600,extDP,78192.7,cold
44,1200,extDP,74346,warm
44,600,MILP,1.99411e+08,cold
44,1200,MILP,1.95192e+08,warm
45,600,stdDP,3.38325e+07,cold
45,1200,stdDP,3.27907e+07,warm
45,600,parDP,2.23394e+06,cold
45,1200,parDP,421131,warm
45,600,extDP,80135.2,cold
45,1200,extDP,77291.3,warm
45,600,MILP,5.49335e+06,cold
45,1200,MILP,5.58148e+06,warm
46,600,stdDP,6.1059e+07,cold
46,1200,stdDP,6.55165e+07,warm
46,600,parDP,2.45024e+06,cold
46,1200,parDP,642465,warm
46,600,extDP,113777,cold
46,1200,extDP,108811,warm
46,600,MILP,1.74953e+08,cold
46,1200,MILP,2.86379e+08,warm
47,600,stdDP,8.15311e+07,cold
47,1200,stdDP,7.98062e+07,warm
47,600,parDP,2.60935e+06,cold
47,1200,parDP,791091,warm
47,600,extDP,892946,cold
47,1200,extDP,795091,warm
47,600,MILP,6.39401e+07,cold
47,1200,MILP,6.16416e+07,warm
48,600,stdDP,5.69784e+07,cold
48,1200,stdDP,5.25978e+07,warm
48,600,parDP,2.39149e+06,cold
48,1200,parDP,624496,warm
48,600,extDP,538106,cold
48,1200,extDP,471473,warm
48,600,MILP,6.46635e+07,cold
48,1200,MILP,6.44836e+07,warm
49,600,stdDP,4.45407e+07,cold
49,1200,stdDP,4.53499e+07,warm
49,600,parDP,2.36981e+06,cold
49,1200,parDP,570550,warm
49,600,extDP,319978,cold
49,1200,extDP,311904,warm
49,600,MILP,3.00049e+08,cold
49,1200,MILP,3.00057e+08,warm
