unit,iter,solver,time_us,phase
0,600,stdDP,6.05113e+07,cold
0,1200,stdDP,5.19977e+07,warm
0,1800,stdDP,5.18526e+07,warm
0,600,parDP,2.39872e+06,cold
0,1200,parDP,523193,warm
0,1800,parDP,511779,warm
0,600,extDP,544524,cold
0,1200,extDP,502810,warm
0,1800,extDP,491037,warm
0,600,MILP,9.27442e+06,cold
0,1200,MILP,1.04218e+07,warm
0,1800,MILP,9.88962e+06,warm
1,600,stdDP,7.10507e+07,cold
1,1200,stdDP,6.98086e+07,warm
1,1800,stdDP,7.32254e+07,warm
1,600,parDP,2.90017e+06,cold
1,1200,parDP,902558,warm
1,1800,parDP,925622,warm
1,600,extDP,759467,cold
1,1200,extDP,732243,warm
1,1800,extDP,724953,warm
1,600,MILP,4.75659e+06,cold
1,1200,MILP,4.89919e+06,warm
1,1800,MILP,5.483e+06,warm
2,600,stdDP,4.93425e+07,cold
2,1200,stdDP,4.73217e+07,warm
2,1800,stdDP,4.91108e+07,warm
2,600,parDP,2.31138e+06,cold
2,1200,parDP,444315,warm
2,1800,parDP,455295,warm
2,600,extDP,119867,cold
2,1200,extDP,117110,warm
2,1800,extDP,115182,warm
2,600,MILP,898092,cold
2,1200,MILP,946954,warm
2,1800,MILP,996319,warm
3,600,stdDP,6.48713e+07,cold
3,1200,stdDP,6.0921e+07,warm
3,1800,stdDP,5.99272e+07,warm
3,600,parDP,2.75722e+06,cold
3,1200,parDP,571960,warm
3,1800,parDP,558018,warm
3,600,extDP,478737,cold
3,1200,extDP,411148,warm
3,1800,extDP,406906,warm
3,600,MILP,3.00009e+08,cold
3,1200,MILP,3.00026e+08,warm
3,1800,MILP,3.00026e+08,warm
4,600,stdDP,6.12626e+07,cold
4,1200,stdDP,7.101e+07,warm
4,1800,stdDP,6.16153e+07,warm
4,600,parDP,2.37388e+06,cold
4,1200,parDP,674406,warm
4,1800,parDP,612227,warm
4,600,extDP,1.06724e+06,cold
4,1200,extDP,1.16868e+06,warm
4,1800,extDP,1.06468e+06,warm
4,600,MILP,1.32846e+06,cold
4,1200,MILP,1.34404e+06,warm
4,1800,MILP,1.34708e+06,warm
5,600,stdDP,4.5694e+07,cold
5,1200,stdDP,4.59364e+07,warm
5,1800,stdDP,4.66219e+07,warm
5,600,parDP,2.35475e+06,cold
5,1200,parDP,576933,warm
5,1800,parDP,598843,warm
5,600,extDP,120507,cold
5,1200,extDP,116592,warm
5,1800,extDP,116415,warm
5,600,MILP,825657,cold
5,1200,MILP,861784,warm
5,1800,MILP,887053,warm
6,600,stdDP,6.08373e+07,cold
6,1200,stdDP,6.11945e+07,warm
6,1800,stdDP,5.25684e+07,warm
6,600,parDP,2.39666e+06,cold
6,1200,parDP,588307,warm
6,1800,parDP,496751,warm
6,600,extDP,80584.1,cold
6,1200,extDP,77325,warm
6,1800,extDP,77523.1,warm
6,600,MILP,8.19155e+06,cold
6,1200,MILP,1.72331e+07,warm
6,1800,MILP,2.85026e+07,warm
7,600,stdDP,6.59395e+07,cold
7,1200,stdDP,6.21872e+07,warm
7,1800,stdDP,6.21124e+07,warm
7,600,parDP,2.48328e+06,cold
7,1200,parDP,583766,warm
7,1800,parDP,577143,warm
7,600,extDP,336631,cold
7,1200,extDP,321868,warm
7,1800,extDP,333649,warm
7,600,MILP,3.00027e+08,cold
7,1200,MILP,3.0005e+08,warm
7,1800,MILP,3.00101e+08,warm
8,600,stdDP,6.85336e+07,cold
8,1200,stdDP,6.64949e+07,warm
8,1800,stdDP,6.52084e+07,warm
8,600,parDP,2.45984e+06,cold
8,1200,parDP,657928,warm
8,1800,parDP,633824,warm
8,600,extDP,362518,cold
8,1200,extDP,346851,warm
8,1800,extDP,346905,warm
8,600,MILP,1.9007e+08,cold
8,1200,MILP,3.00031e+08,warm
8,1800,MILP,3.00029e+08,warm
9,600,stdDP,6.26445e+07,cold
9,1200,stdDP,6.19881e+07,warm
9,1800,stdDP,6.36036e+07,warm
9,600,parDP,2.60735e+06,cold
9,1200,parDP,778466,warm
9,1800,parDP,805429,warm
9,600,extDP,1.08521e+06,cold
9,1200,extDP,1.07669e+06,warm
9,1800,extDP,1.10353e+06,warm
9,600,MILP,1.3202e+06,cold
9,1200,MILP,1.33971e+06,warm
9,1800,MILP,1.3438e+06,warm
10,600,stdDP,4.71476e+07,cold
10,1200,stdDP,4.57874e+07,warm
10,1800,stdDP,4.67052e+07,warm
10,600,parDP,2.3368e+06,cold
10,1200,parDP,443521,warm
10,1800,parDP,445070,warm
10,600,extDP,141581,cold
10,1200,extDP,139690,warm
10,1800,extDP,139402,warm
10,600,MILP,932941,cold
10,1200,MILP,957765,warm
10,1800,MILP,988894,warm
11,600,stdDP,4.84682e+07,cold
11,1200,stdDP,5.39762e+07,warm
11,1800,stdDP,5.12851e+07,warm
11,600,parDP,2.31437e+06,cold
11,1200,parDP,524654,warm
11,1800,parDP,464822,warm
11,600,extDP,143403,cold
11,1200,extDP,141066,warm
11,1800,extDP,142159,warm
11,600,MILP,856272,cold
11,1200,MILP,882691,warm
11,1800,MILP,919383,warm
12,600,stdDP,5.96459e+07,cold
12,1200,stdDP,6.51706e+07,warm
12,1800,stdDP,6.2436e+07,warm
