unit,iter,solver,time_us,phase
0,200,stdDP,43807.3,cold
0,400,stdDP,10624.8,warm
0,600,stdDP,10588.9,warm
0,800,stdDP,10603.7,warm
0,1000,stdDP,10612.4,warm
0,1200,stdDP,10597,warm
0,1400,stdDP,10594,warm
0,1600,stdDP,10590.3,warm
0,1800,stdDP,10599.6,warm
0,2000,stdDP,10596.2,warm
0,200,parDP,1.04902e+06,cold
0,400,parDP,9190.34,warm
0,600,parDP,7388.63,warm
0,800,parDP,6056.31,warm
0,1000,parDP,5312.05,warm
0,1200,parDP,5903.41,warm
0,1400,parDP,2871.27,warm
0,1600,parDP,5017.57,warm
0,1800,parDP,4323.23,warm
0,2000,parDP,6026.86,warm
0,200,extDP,10315.2,cold
0,400,extDP,5901.11,warm
0,600,extDP,2757.02,warm
0,800,extDP,2779.86,warm
0,1000,extDP,2741.02,warm
0,1200,extDP,2777.82,warm
0,1400,extDP,2811.77,warm
0,1600,extDP,2748.2,warm
0,1800,extDP,2775.73,warm
0,2000,extDP,2763.91,warm
0,200,MILP,192677,cold
0,400,MILP,200543,warm
0,600,MILP,202308,warm
0,800,MILP,202260,warm
0,1000,MILP,203114,warm
0,1200,MILP,199662,warm
0,1400,MILP,201771,warm
0,1600,MILP,202738,warm
0,1800,MILP,201117,warm
0,2000,MILP,202284,warm
1,200,stdDP,26596,cold
1,400,stdDP,16647.8,warm
1,600,stdDP,16648,warm
1,800,stdDP,16612.2,warm
1,1000,stdDP,16621.6,warm
1,1200,stdDP,16755.8,warm
1,1400,stdDP,16641.8,warm
1,1600,stdDP,16677.3,warm
1,1800,stdDP,16624.3,warm
1,2000,stdDP,16617.2,warm
1,200,parDP,1.11266e+06,cold
1,400,parDP,2636.55,warm
1,600,parDP,1985.56,warm
1,800,parDP,1910.82,warm
1,1000,parDP,1929.02,warm
1,1200,parDP,1913.7,warm
1,1400,parDP,1965.27,warm
1,1600,parDP,1945.57,warm
1,1800,parDP,1975.22,warm
1,2000,parDP,1901.34,warm
1,200,extDP,5088.39,cold
1,400,extDP,3878.49,warm
1,600,extDP,3625.07,warm
1,800,extDP,3503.36,warm
1,1000,extDP,3474.91,warm
1,1200,extDP,3481.21,warm
1,1400,extDP,3486.71,warm
1,1600,extDP,3486.75,warm
1,1800,extDP,3536.93,warm
1,2000,extDP,3513.87,warm
1,200,MILP,185781,cold
1,400,MILP,194785,warm
1,600,MILP,192976,warm
1,800,MILP,194607,warm
1,1000,MILP,201339,warm
1,1200,MILP,193314,warm
1,1400,MILP,192771,warm
1,1600,MILP,193012,warm
1,1800,MILP,195250,warm
1,2000,MILP,194004,warm
2,200,stdDP,24710.7,cold
2,400,stdDP,7057.12,warm
2,600,stdDP,7057.35,warm
2,800,stdDP,7052.55,warm
2,1000,stdDP,7060.48,warm
2,1200,stdDP,7054.27,warm
2,1400,stdDP,7067.43,warm
2,1600,stdDP,7059.25,warm
2,1800,stdDP,7110.75,warm
2,2000,stdDP,7053.15,warm
2,200,parDP,1.09635e+06,cold
2,400,parDP,7014.72,warm
2,600,parDP,7258.53,warm
2,800,parDP,6136.53,warm
2,1000,parDP,4910.68,warm
2,1200,parDP,3982.63,warm
2,1400,parDP,2978.63,warm
2,1600,parDP,4130.3,warm
2,1800,parDP,4041.74,warm
2,2000,parDP,3004.7,warm
2,200,extDP,1894.2,cold
2,400,extDP,1692.3,warm
2,600,extDP,1603.24,warm
2,800,extDP,1605.02,warm
2,1000,extDP,1160.45,warm
2,1200,extDP,1170.42,warm
2,1400,extDP,1136.54,warm
2,1600,extDP,579.688,warm
2,1800,extDP,581.708,warm
2,2000,extDP,589.079,warm
2,200,MILP,133956,cold
2,400,MILP,131506,warm
2,600,MILP,127577,warm
2,800,MILP,127949,warm
2,1000,MILP,128011,warm
2,1200,MILP,128076,warm
2,1400,MILP,127906,warm
2,1600,MILP,127038,warm
2,1800,MILP,128173,warm
2,2000,MILP,126232,warm
3,200,stdDP,25567.4,cold
3,400,stdDP,8473.87,warm
3,600,stdDP,8327.58,warm
3,800,stdDP,8340.02,warm
3,1000,stdDP,8363.06,warm
3,1200,stdDP,8329.51,warm
3,1400,stdDP,8322.4,warm
3,1600,stdDP,8324.01,warm
3,1800,stdDP,8361.56,warm
3,2000,stdDP,8319.75,warm
3,200,parDP,1.08018e+06,cold
3,400,parDP,6026.13,warm
3,600,parDP,6053.16,warm
3,800,parDP,3254.82,warm
3,1000,parDP,3653.01,warm
3,1200,parDP,2868.43,warm
3,1400,parDP,2636.33,warm
3,1600,parDP,2974.46,warm
3,1800,parDP,2358.9,warm
3,2000,parDP,2470.36,warm
3,200,extDP,4403.6,cold
3,400,extDP,3748.25,warm
3,600,extDP,1881.4,warm
3,800,extDP,1819.5,warm
3,1000,extDP,1820.29,warm
3,1200,extDP,1846.68,warm
3,1400,extDP,1861.07,warm
3,1600,extDP,1874.45,warm
3,1800,extDP,1834.25,warm
