unit,iter,solver,time_us,phase
0,200,stdDP,3.36021e+06,cold
0,400,stdDP,3.16132e+06,warm
0,600,stdDP,3.19459e+06,warm
0,800,stdDP,2.9695e+06,warm
0,1000,stdDP,3.21595e+06,warm
0,1200,stdDP,3.16482e+06,warm
0,1400,stdDP,3.26268e+06,warm
0,1600,stdDP,3.18151e+06,warm
0,200,parDP,1.27775e+06,cold
0,400,parDP,107449,warm
0,600,parDP,110287,warm
0,800,parDP,97957,warm
0,1000,parDP,107459,warm
0,1200,parDP,103784,warm
0,1400,parDP,103764,warm
0,1600,parDP,104069,warm
0,200,extDP,172610,cold
0,400,extDP,131380,warm
0,600,extDP,132393,warm
0,800,extDP,125284,warm
0,1000,extDP,136686,warm
0,1200,extDP,128710,warm
0,1400,extDP,132126,warm
0,1600,extDP,127300,warm
0,200,MILP,1.80823e+07,cold
0,400,MILP,1.43581e+07,warm
0,600,MILP,1.51856e+07,warm
0,800,MILP,1.4386e+07,warm
0,1000,MILP,1.38562e+07,warm
0,1200,MILP,1.38341e+07,warm
0,1400,MILP,1.42258e+07,warm
0,1600,MILP,1.35453e+07,warm
1,200,stdDP,3.52512e+06,cold
1,400,stdDP,3.76157e+06,warm
1,600,stdDP,3.78747e+06,warm
1,800,stdDP,3.64446e+06,warm
1,1000,stdDP,3.57972e+06,warm
1,1200,stdDP,3.61688e+06,warm
1,1400,stdDP,3.35547e+06,warm
1,1600,stdDP,3.46771e+06,warm
1,200,parDP,1.23435e+06,cold
1,400,parDP,125355,warm
1,600,parDP,123874,warm
1,800,parDP,118928,warm
1,1000,parDP,74981.7,warm
1,1200,parDP,78201.7,warm
1,1400,parDP,78174.2,warm
1,1600,parDP,77527.1,warm
1,200,extDP,206504,cold
1,400,extDP,164328,warm
1,600,extDP,184031,warm
1,800,extDP,161974,warm
1,1000,extDP,156200,warm
1,1200,extDP,159197,warm
1,1400,extDP,159144,warm
1,1600,extDP,158918,warm
1,200,MILP,4.75576e+06,cold
1,400,MILP,3.63477e+06,warm
1,600,MILP,3.67311e+06,warm
1,800,MILP,3.84089e+06,warm
1,1000,MILP,3.83156e+06,warm
1,1200,MILP,4.5712e+06,warm
1,1400,MILP,4.46507e+06,warm
1,1600,MILP,3.8041e+06,warm
2,200,stdDP,2.31295e+06,cold
2,400,stdDP,2.28936e+06,warm
2,600,stdDP,2.31769e+06,warm
2,800,stdDP,2.32606e+06,warm
2,1000,stdDP,2.30043e+06,warm
2,1200,stdDP,2.30752e+06,warm
2,1400,stdDP,2.31726e+06,warm
2,1600,stdDP,2.30217e+06,warm
2,200,parDP,1.18327e+06,cold
2,400,parDP,60385.4,warm
2,600,parDP,60662.3,warm
2,800,parDP,62191.1,warm
2,1000,parDP,69623.9,warm
2,1200,parDP,66791.2,warm
2,1400,parDP,66421.1,warm
2,1600,parDP,66637.7,warm
2,200,extDP,50651.3,cold
2,400,extDP,20356.4,warm
2,600,extDP,20356.7,warm
2,800,extDP,20488.4,warm
2,1000,extDP,20503.7,warm
2,1200,extDP,20564.3,warm
2,1400,extDP,20519.8,warm
2,1600,extDP,20520.4,warm
2,200,MILP,5.42766e+06,cold
2,400,MILP,4.64027e+06,warm
2,600,MILP,6.40416e+06,warm
2,800,MILP,6.78167e+06,warm
2,1000,MILP,5.95571e+06,warm
2,1200,MILP,6.79048e+06,warm
2,1400,MILP,6.47555e+06,warm
2,1600,MILP,5.34606e+06,warm
3,200,stdDP,2.79206e+06,cold
3,400,stdDP,2.83978e+06,warm
3,600,stdDP,2.89423e+06,warm
3,800,stdDP,2.94628e+06,warm
3,1000,stdDP,2.91508e+06,warm
3,1200,stdDP,2.93744e+06,warm
3,1400,stdDP,2.82062e+06,warm
3,1600,stdDP,3.19914e+06,warm
3,200,parDP,1.20326e+06,cold
3,400,parDP,89618,warm
3,600,parDP,93351.8,warm
3,800,parDP,101686,warm
3,1000,parDP,95785.2,warm
3,1200,parDP,97952.3,warm
3,1400,parDP,93954.9,warm
3,1600,parDP,105527,warm
3,200,extDP,118379,cold
3,400,extDP,84900.7,warm
3,600,extDP,81208.1,warm
3,800,extDP,83281.3,warm
3,1000,extDP,80680.9,warm
3,1200,extDP,80704.8,warm
3,1400,extDP,78359.6,warm
3,1600,extDP,85712.4,warm
3,200,MILP,1.65507e+08,cold
3,400,MILP,3.00011e+08,warm
3,600,MILP,2.85635e+08,warm
3,800,MILP,3.00012e+08,warm
3,1000,MILP,3.00014e+08,warm
3,1200,MILP,1.64879e+08,warm
3,1400,MILP,3.00012e+08,warm
3,1600,MILP,1.96015e+08,warm
4,200,stdDP,2.6917e+06,cold
4,400,stdDP,2.67016e+06,warm
4,600,stdDP,2.6658e+06,warm
4,800,stdDP,2.66276e+06,warm
4,1000,stdDP,2.65859e+06,warm
4,1200,stdDP,2.65923e+06,warm
4,1400,stdDP,2.68085e+06,warm
4,1600,stdDP,2.66659e+06,warm
4,200,parDP,1.17304e+06,cold
4,400,parDP,80420.6,warm
4,600,parDP,80870.7,warm
4,800,parDP,79328.4,warm
4,1000,parDP,80480.4,warm
4,1200,parDP,80512.9,warm
4,1400,parDP,79806.6,warm
4,1600,parDP,80170.5,warm
4,200,extDP,254607,cold
4,400,extDP,209879,warm
4,600,extDP,209602,warm
4,800,extDP,210529,warm
4,1000,extDP,210786,warm
4,1200,extDP,210520,warm
4,1400,extDP,211419,warm
4,1600,extDP,211286,warm
4,200,MILP,366394,cold
4,400,MILP,374518,warm
4,600,MILP,373752,warm
4,800,MILP,371790,warm
4,1000,MILP,374436,warm
4,1200,MILP,375029,warm
4,1400,MILP,372289,warm
4,1600,MILP,378015,warm
5,200,stdDP,1.89423e+06,cold
5,400,stdDP,1.92174e+06,warm
5,600,stdDP,1.92694e+06,warm
5,800,stdDP,1.92725e+06,warm
5,1000,stdDP,1.94045e+06,warm
5,1200,stdDP,1.94039e+06,warm
5,1400,stdDP,1.93902e+06,warm
5,1600,stdDP,1.96015e+06,warm
5,200,parDP,1.16648e+06,cold
5,400,parDP,34038.3,warm
5,600,parDP,32612,warm
5,800,parDP,34190.2,warm
5,1000,parDP,33018.1,warm
5,1200,parDP,32985.8,warm
5,1400,parDP,32871.4,warm
5,1600,parDP,34091.6,warm
5,200,extDP,19906,cold
5,400,extDP,18907.2,warm
5,600,extDP,19121.3,warm
5,800,extDP,18899.1,warm
5,1000,extDP,18859.5,warm
5,1200,extDP,18930.9,warm
5,1400,extDP,18828.1,warm
5,1600,extDP,18787.9,warm
5,200,MILP,783657,cold
5,400,MILP,787514,warm
5,600,MILP,884365,warm
5,800,MILP,765442,warm
5,1000,MILP,795764,warm
5,1200,MILP,780283,warm
5,1400,MILP,683015,warm
5,1600,MILP,666496,warm
6,200,stdDP,3.00138e+06,cold
6,400,stdDP,2.90692e+06,warm
6,600,stdDP,3.33262e+06,warm
6,800,stdDP,2.63995e+06,warm
6,1000,stdDP,2.41232e+06,warm
6,1200,stdDP,2.54524e+06,warm
6,1400,stdDP,2.5865e+06,warm
6,1600,stdDP,2.43623e+06,warm
6,200,parDP,1.19648e+06,cold
6,400,parDP,68339.1,warm
6,600,parDP,68360.8,warm
6,800,parDP,55589.7,warm
6,1000,parDP,51178.8,warm
6,1200,parDP,56370.1,warm
6,1400,parDP,61783.4,warm
6,1600,parDP,57339,warm
6,200,extDP,51668.2,cold
6,400,extDP,19914.8,warm
6,600,extDP,19634,warm
6,800,extDP,18766.3,warm
6,1000,extDP,19475.5,warm
6,1200,extDP,18603.9,warm
6,1400,extDP,18558.1,warm
6,1600,extDP,19200.1,warm
6,200,MILP,3.428e+06,cold
6,400,MILP,6.00244e+06,warm
6,600,MILP,6.13156e+06,warm
6,800,MILP,6.40537e+06,warm
6,1000,MILP,6.41792e+06,warm
6,1200,MILP,6.95688e+06,warm
6,1400,MILP,6.62945e+06,warm
6,1600,MILP,6.53845e+06,warm
7,200,stdDP,2.61538e+06,cold
7,400,stdDP,2.6339e+06,warm
7,600,stdDP,2.82542e+06,warm
7,800,stdDP,2.54323e+06,warm
7,1000,stdDP,2.55455e+06,warm
7,1200,stdDP,2.64289e+06,warm
7,1400,stdDP,2.54205e+06,warm
7,1600,stdDP,2.66873e+06,warm
7,200,parDP,1.21897e+06,cold
7,400,parDP,80579.3,warm
7,600,parDP,85868.9,warm
7,800,parDP,79213.8,warm
7,1000,parDP,83232.7,warm
7,1200,parDP,89178.3,warm
7,1400,parDP,87680,warm
7,1600,parDP,85672.8,warm
7,200,extDP,97611,cold
7,400,extDP,61839.1,warm
7,600,extDP,61309.8,warm
7,800,extDP,62235.3,warm
7,1000,extDP,62418.8,warm
7,1200,extDP,63194.6,warm
7,1400,extDP,60738.7,warm
7,1600,extDP,65233.1,warm
7,200,MILP,3.00005e+08,cold
7,400,MILP,3.00059e+08,warm
7,600,MILP,3.00066e+08,warm
7,800,MILP,3.00088e+08,warm
7,1000,MILP,3.00091e+08,warm
7,1200,MILP,3.00077e+08,warm
7,1400,MILP,3.00074e+08,warm
7,1600,MILP,3.00084e+08,warm
8,200,stdDP,3.36823e+06,cold
8,400,stdDP,2.95767e+06,warm
8,600,stdDP,2.91904e+06,warm
8,800,stdDP,3.27517e+06,warm
8,1000,stdDP,3.36674e+06,warm
8,1200,stdDP,2.9471e+06,warm
8,1400,stdDP,2.92812e+06,warm
8,1600,stdDP,3.19723e+06,warm
8,200,parDP,1.19932e+06,cold
8,400,parDP,99228.6,warm
8,600,parDP,87232.6,warm
8,800,parDP,93823,warm
8,1000,parDP,106474,warm
8,1200,parDP,94708.4,warm
8,1400,parDP,92214.4,warm
8,1600,parDP,105074,warm
8,200,extDP,112945,cold
8,400,extDP,68649.4,warm
8,600,extDP,66167.7,warm
8,800,extDP,70675.5,warm
8,1000,extDP,77454.5,warm
8,1200,extDP,66336.3,warm
8,1400,extDP,67125.4,warm
8,1600,extDP,69953.4,warm
8,200,MILP,1.72569e+08,cold
8,400,MILP,3.00009e+08,warm
8,600,MILP,3.00045e+08,warm
8,800,MILP,3.00064e+08,warm
8,1000,MILP,3.0008e+08,warm
8,1200,MILP,3.00061e+08,warm
8,1400,MILP,3.00068e+08,warm
8,1600,MILP,3.0005e+08,warm
9,200,stdDP,3.36464e+06,cold
9,400,stdDP,3.34676e+06,warm
9,600,stdDP,3.34794e+06,warm
9,800,stdDP,3.3449e+06,warm
9,1000,stdDP,3.34188e+06,warm
9,1200,stdDP,3.37021e+06,warm
9,1400,stdDP,3.3712e+06,warm
9,1600,stdDP,3.35595e+06,warm
9,200,parDP,1.21192e+06,cold
9,400,parDP,60992.1,warm
9,600,parDP,61143.5,warm
9,800,parDP,61144.7,warm
9,1000,parDP,61096.5,warm
9,1200,parDP,56065.1,warm
9,1400,parDP,54868.3,warm
9,1600,parDP,54756.1,warm
9,200,extDP,261940,cold
9,400,extDP,255228,warm
9,600,extDP,255683,warm
9,800,extDP,255580,warm
9,1000,extDP,256220,warm
9,1200,extDP,258077,warm
9,1400,extDP,258335,warm
9,1600,extDP,258264,warm
9,200,MILP,381236,cold
9,400,MILP,382746,warm
9,600,MILP,381833,warm
9,800,MILP,379274,warm
9,1000,MILP,381624,warm
9,1200,MILP,380102,warm
9,1400,MILP,382155,warm
9,1600,MILP,380446,warm
10,200,stdDP,1.82775e+06,cold
10,400,stdDP,1.88253e+06,warm
10,600,stdDP,1.87458e+06,warm
10,800,stdDP,1.91328e+06,warm
10,1000,stdDP,1.8954e+06,warm
10,1200,stdDP,1.86506e+06,warm
10,1400,stdDP,1.87806e+06,warm
10,1600,stdDP,1.86737e+06,warm
10,200,parDP,1.17501e+06,cold
10,400,parDP,52092.5,warm
10,600,parDP,53537.1,warm
10,800,parDP,54658.3,warm
10,1000,parDP,55488.2,warm
10,1200,parDP,53145.6,warm
10,1400,parDP,53148.7,warm
10,1600,parDP,53757,warm
10,200,extDP,67953,cold
10,400,extDP,27169.3,warm
10,600,extDP,27252,warm
10,800,extDP,27222.6,warm
10,1000,extDP,27256,warm
10,1200,extDP,27007.5,warm
10,1400,extDP,27073.2,warm
10,1600,extDP,27066.6,warm
10,200,MILP,2.28796e+06,cold
10,400,MILP,1.68894e+06,warm
10,600,MILP,1.66624e+06,warm
10,800,MILP,1.92818e+06,warm
10,1000,MILP,1.72575e+06,warm
10,1200,MILP,1.62735e+06,warm
10,1400,MILP,1.66351e+06,warm
10,1600,MILP,2.36344e+06,warm
11,200,stdDP,2.24216e+06,cold
11,400,stdDP,2.3547e+06,warm
11,600,stdDP,2.29217e+06,warm
11,800,stdDP,2.37854e+06,warm
11,1000,stdDP,2.32412e+06,warm
11,1200,stdDP,2.2615e+06,warm
11,1400,stdDP,2.24981e+06,warm
11,1600,stdDP,2.25706e+06,warm
11,200,parDP,1.20173e+06,cold
11,400,parDP,66165,warm
11,600,parDP,65531.6,warm
11,800,parDP,70529.8,warm
11,1000,parDP,64461.1,warm
11,1200,parDP,63267.5,warm
11,1400,parDP,62971.2,warm
11,1600,parDP,63482.2,warm
11,200,extDP,65073,cold
11,400,extDP,28624,warm
11,600,extDP,28689.2,warm
11,800,extDP,28665.4,warm
11,1000,extDP,28761.8,warm
11,1200,extDP,28592.6,warm
11,1400,extDP,28546,warm
11,1600,extDP,28644.2,warm
11,200,MILP,841026,cold
11,400,MILP,863588,warm
11,600,MILP,840573,warm
11,800,MILP,879523,warm
11,1000,MILP,890941,warm
11,1200,MILP,888363,warm
11,1400,MILP,882718,warm
11,1600,MILP,887431,warm
12,200,stdDP,3.02766e+06,cold
12,400,stdDP,3.50257e+06,warm
12,600,stdDP,3.27045e+06,warm
12,800,stdDP,4.03477e+06,warm
