unit,iter,solver,time_us,phase
0,200,stdDP,2.72407e+06,cold
0,400,stdDP,2.44505e+06,warm
0,600,stdDP,2.35539e+06,warm
0,800,stdDP,2.47234e+06,warm
0,1000,stdDP,2.32305e+06,warm
0,1200,stdDP,2.40886e+06,warm
0,1400,stdDP,2.26596e+06,warm
0,1600,stdDP,2.51132e+06,warm
0,1800,stdDP,2.36855e+06,warm
0,200,parDP,1.19999e+06,cold
0,400,parDP,79111.2,warm
0,600,parDP,77087.7,warm
0,800,parDP,79192.5,warm
0,1000,parDP,77037.1,warm
0,1200,parDP,81750.4,warm
0,1400,parDP,72864.9,warm
0,1600,parDP,81644.3,warm
0,1800,parDP,77436.8,warm
0,200,extDP,151373,cold
0,400,extDP,102239,warm
0,600,extDP,100465,warm
0,800,extDP,102477,warm
0,1000,extDP,101353,warm
0,1200,extDP,98948.4,warm
0,1400,extDP,96837,warm
0,1600,extDP,105256,warm
0,1800,extDP,100167,warm
0,200,MILP,1.23154e+06,cold
0,400,MILP,1.4572e+06,warm
0,600,MILP,1.67876e+06,warm
0,800,MILP,1.96918e+06,warm
0,1000,MILP,2.03825e+06,warm
0,1200,MILP,2.19105e+06,warm
0,1400,MILP,2.27159e+06,warm
0,1600,MILP,2.23076e+06,warm
0,1800,MILP,2.29861e+06,warm
1,200,stdDP,2.73605e+06,cold
1,400,stdDP,2.87097e+06,warm
1,600,stdDP,2.85168e+06,warm
1,800,stdDP,2.76694e+06,warm
1,1000,stdDP,3.08526e+06,warm
1,1200,stdDP,3.00299e+06,warm
1,1400,stdDP,3.08183e+06,warm
1,1600,stdDP,3.00566e+06,warm
1,1800,stdDP,3.01878e+06,warm
1,200,parDP,1.28713e+06,cold
1,400,parDP,61085.8,warm
1,600,parDP,57670.2,warm
1,800,parDP,56914.8,warm
1,1000,parDP,62402.6,warm
1,1200,parDP,59543.7,warm
1,1400,parDP,59793.6,warm
1,1600,parDP,58525.1,warm
1,1800,parDP,61235.3,warm
1,200,extDP,184652,cold
1,400,extDP,153353,warm
1,600,extDP,145314,warm
1,800,extDP,142751,warm
1,1000,extDP,149910,warm
1,1200,extDP,140898,warm
1,1400,extDP,148173,warm
1,1600,extDP,155031,warm
1,1800,extDP,146268,warm
1,200,MILP,768644,cold
1,400,MILP,777921,warm
1,600,MILP,790522,warm
1,800,MILP,805242,warm
1,1000,MILP,913324,warm
1,1200,MILP,1.05561e+06,warm
1,1400,MILP,1.22461e+06,warm
1,1600,MILP,1.23514e+06,warm
1,1800,MILP,1.32546e+06,warm
2,200,stdDP,2.36222e+06,cold
2,400,stdDP,2.26465e+06,warm
2,600,stdDP,2.25767e+06,warm
2,800,stdDP,2.31371e+06,warm
2,1000,stdDP,2.46289e+06,warm
2,1200,stdDP,2.37721e+06,warm
2,1400,stdDP,2.25478e+06,warm
2,1600,stdDP,2.2344e+06,warm
2,1800,stdDP,2.26613e+06,warm
2,200,parDP,1.1889e+06,cold
2,400,parDP,51071.1,warm
2,600,parDP,52084.2,warm
2,800,parDP,53123,warm
2,1000,parDP,56691.6,warm
2,1200,parDP,51313.7,warm
2,1400,parDP,50726.7,warm
2,1600,parDP,52327.2,warm
2,1800,parDP,53462,warm
2,200,extDP,66484.2,cold
2,400,extDP,26455.3,warm
2,600,extDP,26271,warm
2,800,extDP,26374.7,warm
2,1000,extDP,26297.7,warm
2,1200,extDP,26107.7,warm
