unit,iter,solver,time_us
0,50,stdDP,2.74765e+06
0,50,parDP,712885
0,50,extDP,32277
0,50,MILP,3.64054e+06
1,50,stdDP,1.53849e+06
1,50,parDP,796058
1,50,extDP,54122.8
1,50,MILP,2.50105e+06
2,50,stdDP,827102
2,50,parDP,545189
2,50,extDP,5221.85
2,50,MILP,1.97704e+06
3,50,stdDP,763736
3,50,parDP,511757
3,50,extDP,27849.9
3,50,MILP,2.11503e+06
4,50,stdDP,964534
4,50,parDP,568678
4,50,extDP,101998
4,50,MILP,1.94329e+06
5,50,stdDP,659629
5,50,parDP,730659
5,50,extDP,7028.96
5,50,MILP,2.1098e+06
6,50,stdDP,650398
6,50,parDP,496286
6,50,extDP,3738.48
6,50,MILP,1.34307e+06
7,50,stdDP,884111
7,50,parDP,550458
7,50,extDP,16861.8
7,50,MILP,2.22837e+06
