unit,iter,solver,time_us,phase
0,50,stdDP,1549.07,cold
0,100,stdDP,470.62,warm
0,150,stdDP,464.594,warm
0,200,stdDP,475.601,warm
0,250,stdDP,448.925,warm
0,50,parDP,89663.2,cold
0,100,parDP,1750.59,warm
0,150,parDP,1002.03,warm
0,200,parDP,1106.95,warm
0,250,parDP,1159.11,warm
0,50,extDP,474.582,cold
0,100,extDP,454.715,warm
0,150,extDP,404.644,warm
0,200,extDP,468.155,warm
0,250,extDP,709.359,warm
0,50,MILP,145740,cold
0,100,MILP,74810.6,warm
0,150,MILP,88580.3,warm
0,200,MILP,85477.9,warm
0,250,MILP,85221.4,warm
1,50,stdDP,649.934,cold
1,100,stdDP,194.305,warm
1,150,stdDP,196.791,warm
1,200,stdDP,171.828,warm
1,250,stdDP,181.364,warm
1,50,parDP,45886.7,cold
1,100,parDP,2937.98,warm
1,150,parDP,992.281,warm
1,200,parDP,1003.97,warm
1,250,parDP,1034.89,warm
1,50,extDP,495.34,cold
1,100,extDP,662.338,warm
1,150,extDP,523.102,warm
1,200,extDP,628.304,warm
1,250,extDP,408.039,warm
1,50,MILP,133421,cold
1,100,MILP,51275.6,warm
1,150,MILP,57365.7,warm
1,200,MILP,54221.8,warm
1,250,MILP,52170.3,warm
2,50,stdDP,671.757,cold
2,100,stdDP,303.837,warm
2,150,stdDP,304.733,warm
2,200,stdDP,265.511,warm
2,250,stdDP,419.147,warm
2,50,parDP,46176.7,cold
2,100,parDP,987.16,warm
2,150,parDP,965.306,warm
2,200,parDP,1060.21,warm
2,250,parDP,1231.23,warm
2,50,extDP,195.958,cold
2,100,extDP,149.259,warm
2,150,extDP,139.741,warm
2,200,extDP,134.835,warm
2,250,extDP,140.49,warm
2,50,MILP,70980.8,cold
2,100,MILP,103465,warm
2,150,MILP,108036,warm
2,200,MILP,116283,warm
2,250,MILP,117815,warm
3,50,stdDP,945.203,cold
3,100,stdDP,505.395,warm
3,150,stdDP,471.044,warm
3,200,stdDP,418.151,warm
3,250,stdDP,466.584,warm
3,50,parDP,114685,cold
3,100,parDP,2873.99,warm
3,150,parDP,1389.63,warm
3,200,parDP,1981.03,warm
3,250,parDP,1413.27,warm
3,50,extDP,530.287,cold
3,100,extDP,397.802,warm
3,150,extDP,375.275,warm
3,200,extDP,359.359,warm
3,250,extDP,375.513,warm
3,50,MILP,185218,cold
3,100,MILP,166160,warm
3,150,MILP,210940,warm
3,200,MILP,176894,warm
3,250,MILP,174394,warm
4,50,stdDP,778.876,cold
4,100,stdDP,406.175,warm
4,150,stdDP,266.129,warm
4,200,stdDP,423.875,warm
4,250,stdDP,329.539,warm
4,50,parDP,65559.5,cold
4,100,parDP,1005.25,warm
4,150,parDP,1895.3,warm
4,200,parDP,995.433,warm
4,250,parDP,992.631,warm
4,50,extDP,1177.29,cold
4,100,extDP,1353.18,warm
4,150,extDP,1088.45,warm
4,200,extDP,1257.12,warm
4,250,extDP,1323.06,warm
4,50,MILP,55391.3,cold
4,100,MILP,45848.4,warm
4,150,MILP,50285.8,warm
4,200,MILP,68124.7,warm
4,250,MILP,60099.7,warm
5,50,stdDP,711.559,cold
5,100,stdDP,331.986,warm
5,150,stdDP,424.497,warm
5,200,stdDP,416.328,warm
5,250,stdDP,251.902,warm
5,50,parDP,60110.4,cold
5,100,parDP,1698.04,warm
5,150,parDP,995.499,warm
5,200,parDP,1003.31,warm
5,250,parDP,1056.44,warm
5,50,extDP,208.417,cold
5,100,extDP,216.451,warm
5,150,extDP,207.983,warm
5,200,extDP,137.947,warm
5,250,extDP,154.506,warm
5,50,MILP,115036,cold
5,100,MILP,28290.9,warm
5,150,MILP,26301.6,warm
5,200,MILP,28563.7,warm
