unit,iter,solver,time_us,phase
0,50,stdDP,3.02175e+06,cold
0,100,stdDP,1.0872e+06,warm
0,150,stdDP,798209,warm
0,50,parDP,725542,cold
0,100,parDP,241511,warm
0,150,parDP,264244,warm
0,50,extDP,30114.7,cold
0,100,extDP,44680.2,warm
0,150,extDP,45818.6,warm
0,50,MILP,3.78914e+06,cold
0,100,MILP,2.79171e+06,warm
0,150,MILP,2.30595e+06,warm
1,50,stdDP,1.13113e+06,cold
1,100,stdDP,745555,warm
1,150,stdDP,748316,warm
1,50,parDP,654516,cold
1,100,parDP,266993,warm
1,150,parDP,240667,warm
1,50,extDP,29343.9,cold
1,100,extDP,44780,warm
1,150,extDP,48515.9,warm
1,50,MILP,2.89271e+06,cold
1,100,MILP,2.09367e+06,warm
1,150,MILP,1.94503e+06,warm
2,50,stdDP,726285,cold
2,100,stdDP,577232,warm
2,150,stdDP,586626,warm
2,50,parDP,1.1005e+06,cold
2,100,parDP,366929,warm
2,150,parDP,161870,warm
2,50,extDP,7384.38,cold
2,100,extDP,9580.32,warm
2,150,extDP,11012.3,warm
2,50,MILP,2.75652e+06,cold
2,100,MILP,2.32413e+06,warm
2,150,MILP,1.68231e+06,warm
3,50,stdDP,1.01758e+06,cold
3,100,stdDP,503044,warm
3,150,stdDP,488301,warm
3,50,parDP,752472,cold
3,100,parDP,206242,warm
3,150,parDP,194042,warm
3,50,extDP,20754.5,cold
3,100,extDP,20970.2,warm
3,150,extDP,21129.1,warm
3,50,MILP,3.33469e+06,cold
3,100,MILP,3.62415e+06,warm
3,150,MILP,3.02083e+06,warm
4,50,stdDP,1.09963e+06,cold
4,100,stdDP,730866,warm
4,150,stdDP,650221,warm
4,50,parDP,562549,cold
4,100,parDP,221570,warm
4,150,parDP,216392,warm
4,50,extDP,106742,cold
4,100,extDP,96497.5,warm
4,150,extDP,94208,warm
4,50,MILP,1.8681e+06,cold
4,100,MILP,1.93626e+06,warm
4,150,MILP,2.67087e+06,warm
5,50,stdDP,864760,cold
5,100,stdDP,440172,warm
5,150,stdDP,430908,warm
5,50,parDP,538072,cold
5,100,parDP,140109,warm
5,150,parDP,126581,warm
5,50,extDP,8987.64,cold
5,100,extDP,9414.15,warm
5,150,extDP,10172.4,warm
5,50,MILP,3.34903e+06,cold
5,100,MILP,2.66563e+06,warm
5,150,MILP,1.67594e+06,warm
6,50,stdDP,645821,cold
6,100,stdDP,294073,warm
6,150,stdDP,275020,warm
6,50,parDP,512089,cold
6,100,parDP,100966,warm
6,150,parDP,100783,warm
6,50,extDP,6065.69,cold
6,100,extDP,7126.31,warm
6,150,extDP,6149.6,warm
6,50,MILP,1.67028e+06,cold
6,100,MILP,2.29696e+06,warm
6,150,MILP,2.88171e+06,warm
7,50,stdDP,1.17991e+06,cold
7,100,stdDP,690900,warm
7,150,stdDP,667296,warm
7,50,parDP,1.13283e+06,cold
7,100,parDP,325216,warm
7,150,parDP,325913,warm
7,50,extDP,41088.9,cold
7,100,extDP,29682.8,warm
7,150,extDP,26686.3,warm
7,50,MILP,3.86444e+06,cold
7,100,MILP,4.55945e+06,warm
7,150,MILP,8.42312e+06,warm
8,50,stdDP,1.91224e+06,cold
8,100,stdDP,1.51327e+06,warm
8,150,stdDP,1.79766e+06,warm
8,50,parDP,1.29729e+06,cold
8,100,parDP,610651,warm
8,150,parDP,500431,warm
8,50,extDP,23310.1,cold
8,100,extDP,28068.2,warm
8,150,extDP,39175.1,warm
8,50,MILP,4.36807e+06,cold
8,100,MILP,3.67067e+06,warm
8,150,MILP,2.51835e+06,warm
9,50,stdDP,1.76654e+06,cold
9,100,stdDP,786832,warm
9,150,stdDP,843980,warm
9,50,parDP,701137,cold
9,100,parDP,273040,warm
9,150,parDP,298521,warm
9,50,extDP,101895,cold
9,100,extDP,124622,warm
9,150,extDP,120728,warm
9,50,MILP,3.23391e+06,cold
9,100,MILP,2.92175e+06,warm
9,150,MILP,2.58209e+06,warm
10,50,stdDP,844591,cold
10,100,stdDP,378129,warm
10,150,stdDP,342393,warm
10,50,parDP,530142,cold
10,100,parDP,120982,warm
10,150,parDP,116389,warm
10,50,extDP,6507.91,cold
10,100,extDP,8662.79,warm
10,150,extDP,9573.47,warm
10,50,MILP,1.94412e+06,cold
10,100,MILP,2.23428e+06,warm
10,150,MILP,1.41723e+06,warm
11,50,stdDP,859942,cold
11,100,stdDP,435235,warm
11,150,stdDP,374181,warm
11,50,parDP,587382,cold
11,100,parDP,141513,warm
11,150,parDP,130223,warm
11,50,extDP,10964.1,cold
11,100,extDP,7736.61,warm
11,150,extDP,9229.3,warm
11,50,MILP,2.02979e+06,cold
11,100,MILP,1.70613e+06,warm
11,150,MILP,2.06981e+06,warm
12,50,stdDP,604991,cold
12,100,stdDP,262948,warm
12,150,stdDP,254634,warm
12,50,parDP,472734,cold
12,100,parDP,114944,warm
12,150,parDP,104170,warm
12,50,extDP,3255.89,cold
12,100,extDP,4326.3,warm
12,150,extDP,4045.78,warm
12,50,MILP,1.64389e+06,cold
12,100,MILP,1.82915e+06,warm
12,150,MILP,1.9125e+06,warm
13,50,stdDP,1.07636e+06,cold
13,100,stdDP,525494,warm
13,150,stdDP,423321,warm
13,50,parDP,501912,cold
13,100,parDP,163058,warm
13,150,parDP,151156,warm
13,50,extDP,14865,cold
13,100,extDP,17292.3,warm
13,150,extDP,18278.5,warm
13,50,MILP,2.51783e+06,cold
13,100,MILP,2.63764e+06,warm
13,150,MILP,2.38157e+06,warm
14,50,stdDP,818332,cold
14,100,stdDP,451735,warm
14,150,stdDP,409969,warm
14,50,parDP,595373,cold
14,100,parDP,161217,warm
14,150,parDP,159027,warm
14,50,extDP,16735.9,cold
14,100,extDP,29683.4,warm
14,150,extDP,20669.2,warm
14,50,MILP,2.42833e+06,cold
14,100,MILP,2.30637e+06,warm
14,150,MILP,2.00607e+06,warm
15,50,stdDP,877292,cold
15,100,stdDP,598501,warm
15,150,stdDP,653346,warm
15,50,parDP,557287,cold
15,100,parDP,199896,warm
15,150,parDP,201314,warm
15,50,extDP,84191.3,cold
15,100,extDP,80876.8,warm
15,150,extDP,73425.7,warm
15,50,MILP,2.02464e+06,cold
15,100,MILP,1.96808e+06,warm
15,150,MILP,2.02076e+06,warm
16,50,stdDP,1.00952e+06,cold
16,100,stdDP,745386,warm
16,150,stdDP,733412,warm
16,50,parDP,603833,cold
16,100,parDP,243726,warm
16,150,parDP,220722,warm
16,50,extDP,39264.1,cold
16,100,extDP,45776.5,warm
16,150,extDP,49641.8,warm
16,50,MILP,2.87109e+06,cold
16,100,MILP,1.80163e+06,warm
16,150,MILP,1.70991e+06,warm
17,50,stdDP,616666,cold
17,100,stdDP,281869,warm
17,150,stdDP,283822,warm
17,50,parDP,481643,cold
17,100,parDP,121085,warm
17,150,parDP,115303,warm
17,50,extDP,6229.88,cold
17,100,extDP,11088.7,warm
17,150,extDP,8972.79,warm
17,50,MILP,1.5114e+06,cold
17,100,MILP,1.08581e+06,warm
17,150,MILP,1.12235e+06,warm
18,50,stdDP,537501,cold
18,100,stdDP,227110,warm
18,150,stdDP,204054,warm
18,50,parDP,447680,cold
18,100,parDP,82750.2,warm
18,150,parDP,87727.5,warm
18,50,extDP,5217.33,cold
18,100,extDP,4132.11,warm
18,150,extDP,3696.02,warm
18,50,MILP,1.21926e+06,cold
18,100,MILP,1.60422e+06,warm
18,150,MILP,2.07063e+06,warm
19,50,stdDP,955901,cold
19,100,stdDP,639007,warm
19,150,stdDP,597480,warm
19,50,parDP,577392,cold
19,100,parDP,217044,warm
19,150,parDP,209040,warm
19,50,extDP,74848.6,cold
19,100,extDP,81109.3,warm
19,150,extDP,103903,warm
19,50,MILP,1.84142e+06,cold
19,100,MILP,2.14865e+06,warm
19,150,MILP,2.00767e+06,warm
20,50,stdDP,786485,cold
20,100,stdDP,477663,warm
20,150,stdDP,441950,warm
20,50,parDP,525859,cold
20,100,parDP,155486,warm
20,150,parDP,149255,warm
20,50,extDP,12318.6,cold
20,100,extDP,14436.1,warm
20,150,extDP,16917,warm
20,50,MILP,1.87966e+06,cold
20,100,MILP,2.49275e+06,warm
20,150,MILP,2.37536e+06,warm
21,50,stdDP,593562,cold
21,100,stdDP,286329,warm
21,150,stdDP,259342,warm
21,50,parDP,438026,cold
21,100,parDP,109179,warm
21,150,parDP,101792,warm
21,50,extDP,6029.39,cold
21,100,extDP,7190.9,warm
21,150,extDP,7010.49,warm
21,50,MILP,1.53707e+06,cold
21,100,MILP,1.15946e+06,warm
21,150,MILP,1.23187e+06,warm
22,50,stdDP,517438,cold
22,100,stdDP,223189,warm
