unit,iter,solver,time_us,phase
0,50,stdDP,109193,cold
0,100,stdDP,19743.8,warm
0,150,stdDP,21597.1,warm
0,50,parDP,66884.6,cold
0,100,parDP,7774.78,warm
0,150,parDP,7139.31,warm
0,50,extDP,4686.85,cold
0,100,extDP,5568.4,warm
0,150,extDP,6038.81,warm
0,50,MILP,415263,cold
0,100,MILP,472659,warm
0,150,MILP,426226,warm
1,50,stdDP,44196.4,cold
1,100,stdDP,29182.4,warm
1,150,stdDP,27061.1,warm
1,50,parDP,67221.3,cold
1,100,parDP,9469.65,warm
1,150,parDP,8929.48,warm
1,50,extDP,6757.16,cold
1,100,extDP,7049.72,warm
1,150,extDP,9262.19,warm
1,50,MILP,387891,cold
1,100,MILP,400737,warm
1,150,MILP,390462,warm
2,50,stdDP,34679.4,cold
2,100,stdDP,15142.4,warm
2,150,stdDP,15027.7,warm
2,50,parDP,62638.4,cold
2,100,parDP,5488.93,warm
2,150,parDP,4881.74,warm
2,50,extDP,888.57,cold
2,100,extDP,1168.13,warm
2,150,extDP,1272.96,warm
2,50,MILP,458664,cold
2,100,MILP,255495,warm
2,150,MILP,248095,warm
3,50,stdDP,36886.6,cold
3,100,stdDP,18406.1,warm
3,150,stdDP,19380.7,warm
3,50,parDP,65296.8,cold
3,100,parDP,6124.25,warm
3,150,parDP,6180.55,warm
3,50,extDP,3463.49,cold
3,100,extDP,4284.69,warm
3,150,extDP,5100.74,warm
3,50,MILP,422283,cold
3,100,MILP,742198,warm
3,150,MILP,518686,warm
4,50,stdDP,54540.1,cold
4,100,stdDP,31802.1,warm
4,150,stdDP,28955.7,warm
4,50,parDP,65461.1,cold
4,100,parDP,11705.9,warm
4,150,parDP,11352.1,warm
4,50,extDP,20647,cold
4,100,extDP,23999.6,warm
4,150,extDP,18990.6,warm
4,50,MILP,1.32853e+06,cold
4,100,MILP,324254,warm
4,150,MILP,846899,warm
5,50,stdDP,37189.3,cold
5,100,stdDP,17163.2,warm
5,150,stdDP,14682.1,warm
5,50,parDP,77898.7,cold
5,100,parDP,6212.19,warm
5,150,parDP,5435.47,warm
5,50,extDP,1057.88,cold
5,100,extDP,1660.01,warm
5,150,extDP,1439.68,warm
5,50,MILP,356177,cold
5,100,MILP,352654,warm
5,150,MILP,307562,warm
6,50,stdDP,31587.1,cold
6,100,stdDP,12272.4,warm
6,150,stdDP,13251.2,warm
6,50,parDP,73390.1,cold
6,100,parDP,6313.91,warm
6,150,parDP,7450.97,warm
6,50,extDP,1257.03,cold
6,100,extDP,649.896,warm
6,150,extDP,560.872,warm
6,50,MILP,259165,cold
6,100,MILP,269302,warm
6,150,MILP,321819,warm
7,50,stdDP,36045.1,cold
