unit,gen_type
0,CCGT_small
1,CCGT_medium
2,CCGT_large
3,Oil_peaker
4,CCGT_small
5,CCGT_small
6,CCGT_medium
7,Coal_old
8,CCGT_efficient
9,CCGT_large
10,Coal_old
11,OCGT_peaker
12,Coal_old
13,Oil_peaker
14,Coal_old
15,CCGT_medium
16,CCGT_medium
17,CCGT_large
18,CCGT_small
19,CCGT_medium
20,CCGT_large
21,OCGT_peaker
22,OCGT_peaker
23,Oil_peaker
24,CCGT_large
25,OCGT_peaker
26,CCGT_efficient
27,CCGT_efficient
28,OCGT_peaker
29,OCGT_peaker
30,Coal_old
31,CCGT_medium
32,CCGT_efficient
33,OCGT_peaker
34,Coal_old
35,CCGT_medium
36,CCGT_medium
37,CCGT_efficient
38,CCGT_large
39,CCGT_small
40,Oil_peaker
41,CCGT_efficient
42,CCGT_small
43,CCGT_large
44,CCGT_large
45,CCGT_medium
46,CCGT_small
47,OCGT_peaker
48,CCGT_medium
49,CCGT_small
