unit,iter,solver,time_us,phase
0,50,stdDP,6406.99,cold
0,100,stdDP,5028.24,warm
0,150,stdDP,4830.08,warm
0,200,stdDP,4648.48,warm
0,250,stdDP,4807.69,warm
0,300,stdDP,5125.51,warm
0,50,parDP,52455.7,cold
0,100,parDP,3123.62,warm
0,150,parDP,2949.73,warm
0,200,parDP,2973.95,warm
0,250,parDP,2653.56,warm
0,300,parDP,2855.6,warm
0,50,extDP,1575.27,cold
0,100,extDP,1802.86,warm
0,150,extDP,2104.85,warm
0,200,extDP,2084.84,warm
0,250,extDP,1753.75,warm
0,300,extDP,1576.95,warm
0,50,MILP,102691,cold
0,100,MILP,76980.5,warm
0,150,MILP,81849.1,warm
0,200,MILP,87116.3,warm
0,250,MILP,94425.2,warm
0,300,MILP,85365.7,warm
1,50,stdDP,5416.52,cold
1,100,stdDP,5168.56,warm
1,150,stdDP,5430.45,warm
1,200,stdDP,4934.19,warm
1,250,stdDP,4599.83,warm
1,300,stdDP,4719.03,warm
1,50,parDP,45769,cold
1,100,parDP,3246.47,warm
1,150,parDP,3620.35,warm
1,200,parDP,3077.32,warm
1,250,parDP,3262.3,warm
1,300,parDP,3183.57,warm
1,50,extDP,2099.84,cold
1,100,extDP,1676.04,warm
1,150,extDP,2053.94,warm
1,200,extDP,2428.37,warm
1,250,extDP,1650.14,warm
1,300,extDP,1654.64,warm
1,50,MILP,91633.8,cold
1,100,MILP,83033.9,warm
1,150,MILP,80436.9,warm
1,200,MILP,86073,warm
1,250,MILP,86065.3,warm
1,300,MILP,88859.3,warm
2,50,stdDP,9352.75,cold
2,100,stdDP,7116.39,warm
2,150,stdDP,6491.81,warm
2,200,stdDP,7071.45,warm
2,250,stdDP,6628.85,warm
2,300,stdDP,6613.4,warm
2,50,parDP,45256.1,cold
2,100,parDP,2988.63,warm
2,150,parDP,3301.75,warm
2,200,parDP,3010.17,warm
2,250,parDP,3621.98,warm
2,300,parDP,2395.79,warm
2,50,extDP,566.776,cold
2,100,extDP,540.022,warm
2,150,extDP,560.519,warm
2,200,extDP,543.666,warm
2,250,extDP,536.553,warm
2,300,extDP,597.027,warm
2,50,MILP,84321.4,cold
2,100,MILP,76500.3,warm
2,150,MILP,64657,warm
2,200,MILP,71803.8,warm
2,250,MILP,70288.9,warm
2,300,MILP,68143.8,warm
3,50,stdDP,11422.4,cold
3,100,stdDP,7350.3,warm
3,150,stdDP,6254.3,warm
3,200,stdDP,6586.63,warm
3,250,stdDP,6212.02,warm
3,300,stdDP,6415.33,warm
3,50,parDP,44678.2,cold
3,100,parDP,2717.89,warm
3,150,parDP,2569.33,warm
3,200,parDP,2539.06,warm
3,250,parDP,2891.92,warm
3,300,parDP,2825.97,warm
3,50,extDP,1660.28,cold
3,100,extDP,1386.45,warm
3,150,extDP,1490.75,warm
3,200,extDP,1505.07,warm
3,250,extDP,1471.72,warm
3,300,extDP,1416.23,warm
3,50,MILP,105467,cold
3,100,MILP,185222,warm
3,150,MILP,186895,warm
3,200,MILP,201837,warm
3,250,MILP,186650,warm
3,300,MILP,179814,warm
4,50,stdDP,9943,cold
4,100,stdDP,8355.84,warm
4,150,stdDP,8500.41,warm
4,200,stdDP,8007.9,warm
4,250,stdDP,8300.44,warm
4,300,stdDP,7981.08,warm
4,50,parDP,47487.5,cold
4,100,parDP,5391.52,warm
4,150,parDP,5164.15,warm
4,200,parDP,5460.68,warm
4,250,parDP,6037.37,warm
4,300,parDP,5174.48,warm
4,50,extDP,3609.26,cold
4,100,extDP,3891.03,warm
4,150,extDP,3820.35,warm
4,200,extDP,3691.01,warm
4,250,extDP,3930.83,warm
4,300,extDP,3944.79,warm
4,50,MILP,37339.8,cold
4,100,MILP,43372.5,warm
4,150,MILP,38424.6,warm
4,200,MILP,48454.4,warm
4,250,MILP,46787.9,warm
4,300,MILP,39715,warm
5,50,stdDP,7541.89,cold
5,100,stdDP,6972.55,warm
5,150,stdDP,6785.76,warm
5,200,stdDP,7482.49,warm
5,250,stdDP,7727.98,warm
5,300,stdDP,7902.83,warm
5,50,parDP,49461.4,cold
5,100,parDP,4067.98,warm
5,150,parDP,3519.25,warm
5,200,parDP,4060.56,warm
5,250,parDP,3957.91,warm
5,300,parDP,3764.06,warm
5,50,extDP,822.506,cold
5,100,extDP,702.492,warm
5,150,extDP,694.44,warm
5,200,extDP,627.587,warm
5,250,extDP,723.526,warm
5,300,extDP,651.463,warm
5,50,MILP,65516.3,cold
5,100,MILP,73896.1,warm
5,150,MILP,71045.8,warm
5,200,MILP,68405,warm
5,250,MILP,68995.9,warm
5,300,MILP,69358.8,warm
6,50,stdDP,7567.51,cold
6,100,stdDP,7041.87,warm
6,150,stdDP,6803.33,warm
6,200,stdDP,8439.99,warm
6,250,stdDP,6205.55,warm
6,300,stdDP,6268.48,warm
6,50,parDP,48221.1,cold
