unit,iter,solver,time_us,phase
0,50,stdDP,1.17215e+07,cold
0,100,stdDP,9.61171e+06,warm
0,50,parDP,3.24207e+06,cold
0,100,parDP,2.6598e+06,warm
0,50,extDP,78603.8,cold
0,100,extDP,76848.8,warm
0,50,MILP,2.11687e+06,cold
0,100,MILP,2.07194e+06,warm
1,50,stdDP,1.45668e+07,cold
1,100,stdDP,1.34654e+07,warm
1,50,parDP,4.14659e+06,cold
1,100,parDP,3.57323e+06,warm
1,50,extDP,106374,cold
1,100,extDP,105716,warm
1,50,MILP,1.91719e+06,cold
1,100,MILP,1.89434e+06,warm
2,50,stdDP,8.21652e+06,cold
2,100,stdDP,7.08135e+06,warm
2,50,parDP,2.63456e+06,cold
2,100,parDP,2.06738e+06,warm
2,50,extDP,13759.6,cold
2,100,extDP,15580.2,warm
2,50,MILP,1.6924e+06,cold
2,100,MILP,1.18443e+06,warm
3,50,stdDP,9.73686e+06,cold
3,100,stdDP,8.65279e+06,warm
3,50,parDP,3.11764e+06,cold
3,100,parDP,2.45188e+06,warm
3,50,extDP,49816,cold
3,100,extDP,48312.4,warm
3,50,MILP,2.4198e+06,cold
3,100,MILP,2.01227e+06,warm
4,50,stdDP,2.0432e+07,cold
4,100,stdDP,2.17642e+07,warm
4,50,parDP,6.08156e+06,cold
4,100,parDP,6.24854e+06,warm
4,50,extDP,238093,cold
4,100,extDP,265265,warm
4,50,MILP,1.77641e+06,cold
4,100,MILP,1.71619e+06,warm
5,50,stdDP,8.27607e+06,cold
5,100,stdDP,7.0959e+06,warm
5,50,parDP,2.64826e+06,cold
5,100,parDP,2.06348e+06,warm
5,50,extDP,14488.6,cold
5,100,extDP,18086.1,warm
5,50,MILP,2.67848e+06,cold
5,100,MILP,1.54201e+06,warm
6,50,stdDP,7.54669e+06,cold
6,100,stdDP,6.5407e+06,warm
6,50,parDP,2.49675e+06,cold
6,100,parDP,2.05544e+06,warm
6,50,extDP,11229.3,cold
6,100,extDP,11277,warm
6,50,MILP,1.6696e+06,cold
6,100,MILP,1.5828e+06,warm
7,50,stdDP,9.02872e+06,cold
7,100,stdDP,7.88277e+06,warm
7,50,parDP,2.69947e+06,cold
7,100,parDP,2.20849e+06,warm
7,50,extDP,36889.8,cold
7,100,extDP,36638.2,warm
7,50,MILP,1.67167e+06,cold
7,100,MILP,2.8324e+06,warm
8,50,stdDP,9.25278e+06,cold
8,100,stdDP,8.19818e+06,warm
8,50,parDP,2.91359e+06,cold
8,100,parDP,2.39608e+06,warm
8,50,extDP,40203.6,cold
8,100,extDP,42181,warm
8,50,MILP,2.31446e+06,cold
8,100,MILP,2.56176e+06,warm
9,50,stdDP,2.02812e+07,cold
9,100,stdDP,2.05105e+07,warm
9,50,parDP,5.93793e+06,cold
9,100,parDP,5.95734e+06,warm
9,50,extDP,230898,cold
9,100,extDP,256810,warm
9,50,MILP,1.7702e+06,cold
9,100,MILP,1.76175e+06,warm
10,50,stdDP,7.50654e+06,cold
10,100,stdDP,6.61113e+06,warm
10,50,parDP,2.43713e+06,cold
10,100,parDP,1.87078e+06,warm
10,50,extDP,18274.4,cold
10,100,extDP,17754.3,warm
10,50,MILP,1.71017e+06,cold
10,100,MILP,1.08665e+06,warm
11,50,stdDP,7.68286e+06,cold
11,100,stdDP,6.69391e+06,warm
11,50,parDP,2.47537e+06,cold
11,100,parDP,1.99398e+06,warm
11,50,extDP,19855.1,cold
11,100,extDP,19651.3,warm
11,50,MILP,1.74648e+06,cold
11,100,MILP,1.06264e+06,warm
12,50,stdDP,8.23811e+06,cold
12,100,stdDP,7.94278e+06,warm
12,50,parDP,2.72624e+06,cold
