unit,iter,solver,time_us,phase
0,50,stdDP,503328,cold
0,100,stdDP,346714,warm
0,150,stdDP,347180,warm
0,50,parDP,173770,cold
0,100,parDP,107096,warm
0,150,parDP,104658,warm
0,50,extDP,3357.8,cold
0,100,extDP,4057.02,warm
0,150,extDP,4123.27,warm
0,50,MILP,390826,cold
0,100,MILP,214528,warm
0,150,MILP,202810,warm
1,50,stdDP,430991,cold
1,100,stdDP,398172,warm
1,150,stdDP,398512,warm
1,50,parDP,174865,cold
1,100,parDP,122762,warm
1,150,parDP,122314,warm
1,50,extDP,2416.34,cold
1,100,extDP,3275.39,warm
1,150,extDP,2455.99,warm
1,50,MILP,309059,cold
1,100,MILP,160328,warm
1,150,MILP,149409,warm
2,50,stdDP,602635,cold
2,100,stdDP,576752,warm
2,150,stdDP,559861,warm
2,50,parDP,219390,cold
2,100,parDP,161995,warm
2,150,parDP,161147,warm
2,50,extDP,26900.7,cold
2,100,extDP,28190.2,warm
2,150,extDP,29193.2,warm
2,50,MILP,364676,cold
2,100,MILP,404752,warm
2,150,MILP,389171,warm
3,50,stdDP,352654,cold
3,100,stdDP,321122,warm
3,150,stdDP,352496,warm
3,50,parDP,213841,cold
3,100,parDP,125512,warm
3,150,parDP,126648,warm
3,50,extDP,3755.38,cold
3,100,extDP,3216.59,warm
3,150,extDP,4216.64,warm
3,50,MILP,256067,cold
3,100,MILP,295624,warm
3,150,MILP,375271,warm
4,50,stdDP,1.11522e+06,cold
4,100,stdDP,1.00127e+06,warm
4,150,stdDP,992477,warm
4,50,parDP,331937,cold
4,100,parDP,286557,warm
4,150,parDP,280572,warm
4,50,extDP,44641,cold
4,100,extDP,49324.9,warm
4,150,extDP,51721.9,warm
4,50,MILP,465957,cold
4,100,MILP,1.09906e+06,warm
4,150,MILP,1.08573e+06,warm
5,50,stdDP,647502,cold
5,100,stdDP,587490,warm
5,150,stdDP,567460,warm
5,50,parDP,221177,cold
5,100,parDP,160748,warm
5,150,parDP,163004,warm
5,50,extDP,26943,cold
5,100,extDP,28749.6,warm
5,150,extDP,28956.2,warm
5,50,MILP,403053,cold
5,100,MILP,428396,warm
5,150,MILP,401219,warm
6,50,stdDP,377128,cold
6,100,stdDP,325929,warm
6,150,stdDP,341586,warm
6,50,parDP,164339,cold
6,100,parDP,97085.1,warm
6,150,parDP,99780.9,warm
6,50,extDP,3091.28,cold
6,100,extDP,3813.35,warm
6,150,extDP,4160.26,warm
6,50,MILP,365202,cold
6,100,MILP,220854,warm
6,150,MILP,213065,warm
7,50,stdDP,347507,cold
7,100,stdDP,328082,warm
7,150,stdDP,335081,warm
7,50,parDP,152718,cold
7,100,parDP,97948.4,warm
7,150,parDP,99009.1,warm
7,50,extDP,2544.92,cold
7,100,extDP,2385.52,warm
7,150,extDP,2027.63,warm
7,50,MILP,237689,cold
7,100,MILP,215389,warm
7,150,MILP,207166,warm
8,50,stdDP,375369,cold
8,100,stdDP,322677,warm
8,150,stdDP,323269,warm
8,50,parDP,155809,cold
8,100,parDP,98832.9,warm
8,150,parDP,98796.3,warm
8,50,extDP,2359.76,cold
8,100,extDP,2273.53,warm
8,150,extDP,2350.89,warm
8,50,MILP,213425,cold
8,100,MILP,223251,warm
8,150,MILP,259105,warm
9,50,stdDP,454551,cold
9,100,stdDP,395935,warm
9,150,stdDP,400105,warm
9,50,parDP,172550,cold
9,100,parDP,107137,warm
9,150,parDP,107331,warm
9,50,extDP,8667.25,cold
9,100,extDP,8809.6,warm
9,150,extDP,8753.28,warm
9,50,MILP,482920,cold
9,100,MILP,435016,warm
9,150,MILP,327796,warm
10,50,stdDP,577670,cold
10,100,stdDP,543466,warm
10,150,stdDP,561309,warm
10,50,parDP,216457,cold
10,100,parDP,153223,warm
10,150,parDP,160474,warm
10,50,extDP,29416.1,cold
10,100,extDP,29049,warm
10,150,extDP,28395.5,warm
10,50,MILP,399135,cold
10,100,MILP,433729,warm
10,150,MILP,398426,warm
11,50,stdDP,430521,cold
11,100,stdDP,394152,warm
11,150,stdDP,383806,warm
11,50,parDP,166873,cold
11,100,parDP,114972,warm
11,150,parDP,110076,warm
11,50,extDP,10541.8,cold
11,100,extDP,10319.4,warm
11,150,extDP,10333.7,warm
11,50,MILP,429300,cold
11,100,MILP,391101,warm
11,150,MILP,413348,warm
12,50,stdDP,448137,cold
12,100,stdDP,418312,warm
12,150,stdDP,404911,warm
12,50,parDP,174463,cold
12,100,parDP,116641,warm
12,150,parDP,113833,warm
12,50,extDP,16554.6,cold
12,100,extDP,18032.5,warm
12,150,extDP,20231.6,warm
12,50,MILP,475885,cold
12,100,MILP,375342,warm
12,150,MILP,367685,warm
13,50,stdDP,447173,cold
13,100,stdDP,417549,warm
13,150,stdDP,421827,warm
13,50,parDP,173089,cold
13,100,parDP,116859,warm
13,150,parDP,115868,warm
13,50,extDP,15478.7,cold
13,100,extDP,16490.2,warm
13,150,extDP,16130.9,warm
13,50,MILP,580382,cold
13,100,MILP,434137,warm
13,150,MILP,399048,warm
14,50,stdDP,399279,cold
14,100,stdDP,356878,warm
14,150,stdDP,368279,warm
14,50,parDP,157220,cold
14,100,parDP,97908.5,warm
14,150,parDP,96358.7,warm
14,50,extDP,12443.6,cold
14,100,extDP,8133.41,warm
14,150,extDP,8344.79,warm
14,50,MILP,473056,cold
14,100,MILP,507746,warm
14,150,MILP,493657,warm
15,50,stdDP,413391,cold
15,100,stdDP,381426,warm
15,150,stdDP,391472,warm
15,50,parDP,172036,cold
15,100,parDP,117166,warm
15,150,parDP,117376,warm
15,50,extDP,5002.19,cold
15,100,extDP,2480.88,warm
15,150,extDP,2645.94,warm
15,50,MILP,330882,cold
15,100,MILP,160889,warm
15,150,MILP,162810,warm
16,50,stdDP,917774,cold
16,100,stdDP,917944,warm
16,150,stdDP,915867,warm
16,50,parDP,307258,cold
16,100,parDP,270786,warm
16,150,parDP,269622,warm
16,50,extDP,38475.3,cold
16,100,extDP,42840.3,warm
16,150,extDP,44750.2,warm
16,50,MILP,419319,cold
16,100,MILP,768759,warm
16,150,MILP,935722,warm
17,50,stdDP,861865,cold
17,100,stdDP,906485,warm
17,150,stdDP,924186,warm
17,50,parDP,298719,cold
17,100,parDP,261238,warm
17,150,parDP,264853,warm
17,50,extDP,43944,cold
17,100,extDP,51956.4,warm
17,150,extDP,50067.9,warm
17,50,MILP,487788,cold
17,100,MILP,1.1178e+06,warm
17,150,MILP,1.13189e+06,warm
18,50,stdDP,445864,cold
18,100,stdDP,395372,warm
18,150,stdDP,387642,warm
18,50,parDP,172231,cold
18,100,parDP,105455,warm
18,150,parDP,104448,warm
18,50,extDP,7797.07,cold
18,100,extDP,6283.61,warm
18,150,extDP,6265.49,warm
18,50,MILP,445281,cold
18,100,MILP,491725,warm
18,150,MILP,452918,warm
19,50,stdDP,363569,cold
19,100,stdDP,321687,warm
19,150,stdDP,331235,warm
19,50,parDP,162795,cold
19,100,parDP,98822.3,warm
19,150,parDP,97925.2,warm
19,50,extDP,2516.37,cold
19,100,extDP,2210.05,warm
19,150,extDP,2481.61,warm
19,50,MILP,209284,cold
19,100,MILP,248443,warm
19,150,MILP,215018,warm
20,50,stdDP,503764,cold
20,100,stdDP,463835,warm
20,150,stdDP,485024,warm
20,50,parDP,193628,cold
20,100,parDP,123488,warm
20,150,parDP,129089,warm
20,50,extDP,27481.5,cold
20,100,extDP,21045.9,warm
20,150,extDP,19629.9,warm
20,50,MILP,405564,cold
20,100,MILP,578868,warm
20,150,MILP,453274,warm
21,50,stdDP,456507,cold
21,100,stdDP,415257,warm
21,150,stdDP,398046,warm
21,50,parDP,172087,cold
21,100,parDP,106224,warm
21,150,parDP,104407,warm
21,50,extDP,8199.59,cold
21,100,extDP,9295.2,warm
21,150,extDP,8666.7,warm
21,50,MILP,502716,cold
21,100,MILP,412160,warm
21,150,MILP,388288,warm
22,50,stdDP,357521,cold
22,100,stdDP,311563,warm
22,150,stdDP,313057,warm
22,50,parDP,156744,cold
22,100,parDP,95572.9,warm
22,150,parDP,95657.5,warm
22,50,extDP,2299.21,cold
22,100,extDP,2529.11,warm
22,150,extDP,1931.92,warm
22,50,MILP,238553,cold
22,100,MILP,210688,warm
22,150,MILP,252277,warm
23,50,stdDP,351572,cold
23,100,stdDP,320947,warm
23,150,stdDP,315816,warm
23,50,parDP,156451,cold
23,100,parDP,94915.4,warm
23,150,parDP,94706.7,warm
23,50,extDP,2257.85,cold
23,100,extDP,2057.5,warm
23,150,extDP,2052.23,warm
23,50,MILP,238265,cold
23,100,MILP,212618,warm
23,150,MILP,219605,warm
24,50,stdDP,1.00294e+06,cold
24,100,stdDP,998985,warm
24,150,stdDP,955674,warm
24,50,parDP,330494,cold
24,100,parDP,276980,warm
24,150,parDP,273219,warm
24,50,extDP,40039.9,cold
24,100,extDP,43403,warm
24,150,extDP,48435.7,warm
24,50,MILP,395733,cold
24,100,MILP,1.1616e+06,warm
24,150,MILP,1.11738e+06,warm
25,50,stdDP,404267,cold
25,100,stdDP,361146,warm
25,150,stdDP,353238,warm
25,50,parDP,164770,cold
25,100,parDP,98005.1,warm
25,150,parDP,95946.4,warm
25,50,extDP,6142.58,cold
25,100,extDP,5928.77,warm
25,150,extDP,5763.95,warm
25,50,MILP,470424,cold
25,100,MILP,419586,warm
25,150,MILP,434074,warm
26,50,stdDP,352022,cold
26,100,stdDP,310430,warm
26,150,stdDP,322323,warm
26,50,parDP,155250,cold
26,100,parDP,93022.1,warm
26,150,parDP,92645.5,warm
26,50,extDP,4041.85,cold
26,100,extDP,3748.87,warm
26,150,extDP,3597.16,warm
26,50,MILP,299019,cold
26,100,MILP,226828,warm
26,150,MILP,212220,warm
27,50,stdDP,467992,cold
27,100,stdDP,434297,warm
27,150,stdDP,420583,warm
27,50,parDP,181706,cold
27,100,parDP,122223,warm
27,150,parDP,123455,warm
27,50,extDP,17756.1,cold
27,100,extDP,16801.9,warm
27,150,extDP,17704.5,warm
27,50,MILP,371827,cold
27,100,MILP,499685,warm
27,150,MILP,393668,warm
28,50,stdDP,437636,cold
28,100,stdDP,362905,warm
28,150,stdDP,360702,warm
28,50,parDP,183562,cold
28,100,parDP,105280,warm
28,150,parDP,106413,warm
28,50,extDP,4110.44,cold
28,100,extDP,4532.81,warm
