unit,iter,solver,time_us
0,1200,stdDP,864944
0,1200,parDP,440474
0,1200,extDP,116432
0,1200,MILP,45221.3
0,1500,stdDP,1.18097e+06
0,1500,parDP,572559
0,1500,extDP,119001
0,1500,MILP,46069.8
0,1800,stdDP,1.47368e+06
0,1800,parDP,1.00719e+06
0,1800,extDP,203057
0,1800,MILP,43960.2
0,2100,stdDP,2.30398e+06
0,2100,parDP,886353
0,2100,extDP,379990
0,2100,MILP,174951
0,2400,stdDP,1.61939e+06
0,2400,parDP,572733
0,2400,extDP,116198
0,2400,MILP,52964.4
0,2700,stdDP,1.48778e+06
0,2700,parDP,572362
0,2700,extDP,146208
0,2700,MILP,52346.1
0,300,stdDP,1.5064e+06
0,300,parDP,582526
0,300,extDP,93431
0,300,MILP,50554.3
0,3000,stdDP,898578
0,3000,parDP,462083
0,3000,extDP,144124
0,3000,MILP,37683.2
0,3300,stdDP,1.2978e+06
0,3300,parDP,452321
0,3300,extDP,125904
0,3300,MILP,38993.3
0,3600,stdDP,858143
0,3600,parDP,774867
0,3600,extDP,117692
0,3600,MILP,33364.6
0,3900,stdDP,956090
0,3900,parDP,415057
0,3900,extDP,86188.7
0,3900,MILP,29547.2
0,4200,stdDP,867063
0,4200,parDP,515042
0,4200,extDP,91924.3
0,4200,MILP,24876.1
0,4500,stdDP,872022
0,4500,parDP,392054
0,4500,extDP,99230.5
0,4500,MILP,27627
0,4800,stdDP,885996
0,4800,parDP,529456
0,4800,extDP,85412
0,4800,MILP,25816.3
0,5100,stdDP,961819
0,5100,parDP,423587
0,5100,extDP,78250.9
0,5100,MILP,24276.5
0,5400,stdDP,804050
0,5400,parDP,406515
0,5400,extDP,86552.2
0,5400,MILP,24638.4
0,5700,stdDP,918717
0,5700,parDP,394141
0,5700,extDP,92892
0,5700,MILP,33064.7
0,600,stdDP,887406
0,600,parDP,409877
0,600,extDP,83867.4
0,600,MILP,26027.2
0,6000,stdDP,853989
0,6000,parDP,425103
0,6000,extDP,99184.9
0,6000,MILP,30474.1
0,6300,stdDP,844097
0,6300,parDP,398894
0,6300,extDP,81791.4
0,6300,MILP,25216.7
0,6600,stdDP,824437
0,6600,parDP,387766
0,6600,extDP,83008.6
0,6600,MILP,25636.4
0,6900,stdDP,835747
0,6900,parDP,401170
0,6900,extDP,82252.8
0,6900,MILP,27570.6
0,7200,stdDP,864478
0,7200,parDP,398853
0,7200,extDP,88308.4
0,7200,MILP,26568.7
0,7500,stdDP,861927
0,7500,parDP,351288
0,7500,extDP,84350.5
0,7500,MILP,24999.4
0,7800,stdDP,918374
0,7800,parDP,434058
0,7800,extDP,98190.6
0,7800,MILP,27814.8
0,8100,stdDP,851722
0,8100,parDP,383974
0,8100,extDP,84429.6
0,8100,MILP,28710.7
0,8400,stdDP,1.06988e+06
0,8400,parDP,803941
0,8400,extDP,115254
0,8400,MILP,38178.3
0,8700,stdDP,1.18472e+06
0,8700,parDP,496250
0,8700,extDP,95730.3
0,8700,MILP,28940
0,900,stdDP,889399
0,900,parDP,399283
0,900,extDP,82837.6
0,900,MILP,27320.3
0,9000,stdDP,829313
0,9000,parDP,409286
0,9000,extDP,91856.8
0,9000,MILP,25413.3
0,9300,stdDP,851288
0,9300,parDP,537211
0,9300,extDP,156387
0,9300,MILP,37694.6
0,9600,stdDP,778066
0,9600,parDP,386165
0,9600,extDP,79781.2
0,9600,MILP,29885
0,9900,stdDP,859932
0,9900,parDP,416072
0,9900,extDP,87119.2
0,9900,MILP,24327.7
1,1200,stdDP,303453
1,1200,parDP,163204
1,1200,extDP,2897.7
1,1200,MILP,10826.2
1,1500,stdDP,276512
1,1500,parDP,166720
1,1500,extDP,2461.38
1,1500,MILP,10030.8
1,1800,stdDP,281425
1,1800,parDP,164337
1,1800,extDP,2460.84
1,1800,MILP,10477.2
1,2100,stdDP,289609
1,2100,parDP,205685
1,2100,extDP,4763.56
1,2100,MILP,11436.7
1,2400,stdDP,292163
1,2400,parDP,165726
1,2400,extDP,2607.23
1,2400,MILP,10296.8
1,2700,stdDP,283685
1,2700,parDP,159620
1,2700,extDP,3112.3
1,2700,MILP,10581.2
1,300,stdDP,282083
1,300,parDP,172023
1,300,extDP,2486.49
1,300,MILP,10116.3
1,3000,stdDP,289516
1,3000,parDP,185265
1,3000,extDP,5249.37
1,3000,MILP,17803.3
1,3300,stdDP,296461
1,3300,parDP,186600
1,3300,extDP,3534.69
1,3300,MILP,12191.1
1,3600,stdDP,445794
1,3600,parDP,179476
1,3600,extDP,3175.28
1,3600,MILP,12328.1
1,3900,stdDP,343012
1,3900,parDP,241410
1,3900,extDP,4232.12
1,3900,MILP,16712.6
1,4200,stdDP,398419
1,4200,parDP,246477
1,4200,extDP,6338.19
1,4200,MILP,21676.4
1,4500,stdDP,302780
1,4500,parDP,255914
1,4500,extDP,5652.96
1,4500,MILP,12992.1
1,4800,stdDP,321216
1,4800,parDP,198336
1,4800,extDP,3314.32
1,4800,MILP,13816.9
1,5100,stdDP,515568
1,5100,parDP,478682
1,5100,extDP,12447.1
1,5100,MILP,47513.1
1,5400,stdDP,855652
1,5400,parDP,578099
1,5400,extDP,6850.91
1,5400,MILP,18242.5
1,5700,stdDP,826753
1,5700,parDP,568384
1,5700,extDP,19337.8
1,5700,MILP,37152
1,600,stdDP,688290
1,600,parDP,598816
1,600,extDP,6256.49
1,600,MILP,19660
1,6000,stdDP,891805
1,6000,parDP,473137
1,6000,extDP,14155.4
1,6000,MILP,55826.2
1,6300,stdDP,860110
1,6300,parDP,578695
1,6300,extDP,16242.7
1,6300,MILP,18970.7
1,6600,stdDP,868200
1,6600,parDP,297367
1,6600,extDP,12700.9
1,6600,MILP,36957.5
1,6900,stdDP,598044
1,6900,parDP,367685
1,6900,extDP,10259.8
1,6900,MILP,18969
1,7200,stdDP,636120
1,7200,parDP,365102
1,7200,extDP,12096.6
1,7200,MILP,18991.6
1,7500,stdDP,629856
1,7500,parDP,424182
1,7500,extDP,6555.26
1,7500,MILP,18405.2
1,7800,stdDP,662693
1,7800,parDP,286359
1,7800,extDP,73634.4
1,7800,MILP,125835
1,8100,stdDP,420707
1,8100,parDP,220830
1,8100,extDP,5275.05
1,8100,MILP,18562.4
1,8400,stdDP,342206
1,8400,parDP,190470
1,8400,extDP,7097.36
1,8400,MILP,21417.9
1,8700,stdDP,297051
1,8700,parDP,174542
1,8700,extDP,4969.57
1,8700,MILP,19905.9
1,900,stdDP,431812
1,900,parDP,362189
1,900,extDP,5975.9
1,900,MILP,22241
1,9000,stdDP,347763
1,9000,parDP,186568
1,9000,extDP,3713.52
1,9000,MILP,18567
1,9300,stdDP,310152
1,9300,parDP,174551
1,9300,extDP,5098
1,9300,MILP,12451.9
1,9600,stdDP,314831
1,9600,parDP,176978
1,9600,extDP,3180.73
1,9600,MILP,10769
1,9900,stdDP,402543
1,9900,parDP,201803
