unit,iter,solver,time_us
0,300,stdDP,24090.4
0,300,parDP,10288.9
0,300,extDP,5858.07
0,300,MILP,444487
0,600,stdDP,23705.3
0,600,parDP,11157.9
0,600,extDP,5759.44
0,600,MILP,396960
1,300,stdDP,28565.6
1,300,parDP,11869.7
1,300,extDP,7048.35
1,300,MILP,409161
1,600,stdDP,28838.8
1,600,parDP,11777.6
1,600,extDP,7287.31
1,600,MILP,391193
10,300,stdDP,15017
10,300,parDP,7615.76
10,300,extDP,953.163
10,300,MILP,267132
10,600,stdDP,14534.6
10,600,parDP,7363.96
10,600,extDP,987.432
10,600,MILP,231318
11,300,stdDP,15291.4
11,300,parDP,7991.38
11,300,extDP,969.96
11,300,MILP,220357
11,600,stdDP,16017.3
11,600,parDP,9653.66
11,600,extDP,1112.29
11,600,MILP,238705
12,300,stdDP,15220
12,300,parDP,8011.26
12,300,extDP,472.633
12,300,MILP,157865
12,600,stdDP,17034.4
12,600,parDP,7819.58
12,600,extDP,483.261
12,600,MILP,168870
13,300,stdDP,17318.2
13,300,parDP,9645.55
13,300,extDP,2892.9
13,300,MILP,410717
13,600,stdDP,17814.8
13,600,parDP,7788.3
13,600,extDP,2582.97
13,600,MILP,503357
14,300,stdDP,17397.7
14,300,parDP,7924.87
14,300,extDP,3242.9
14,300,MILP,340803
14,600,stdDP,20826.8
14,600,parDP,9804.13
14,600,extDP,3742.05
14,600,MILP,539602
15,300,stdDP,28811.7
15,300,parDP,11122.7
15,300,extDP,13198.9
15,300,MILP,1.05906e+06
15,600,stdDP,27702.9
15,600,parDP,11633.4
15,600,extDP,14771
15,600,MILP,1.14972e+06
16,300,stdDP,31936.4
16,300,parDP,12268.2
16,300,extDP,9764.77
16,300,MILP,410919
16,600,stdDP,33894.2
16,600,parDP,15319.5
16,600,extDP,9240.08
16,600,MILP,503332
17,300,stdDP,23973.4
17,300,parDP,11918.8
17,300,extDP,2508.75
17,300,MILP,378742
17,600,stdDP,22926.3
17,600,parDP,8429.85
17,600,extDP,1186.39
17,600,MILP,320161
18,300,stdDP,15166.5
18,300,parDP,9619.67
18,300,extDP,706.348
18,300,MILP,326057
18,600,stdDP,22993.9
18,600,parDP,10016.3
18,600,extDP,1271.53
18,600,MILP,347282
19,300,stdDP,34690.3
19,300,parDP,17865.1
19,300,extDP,27093.7
19,300,MILP,1.53762e+06
19,600,stdDP,29732.2
19,600,parDP,15850.2
19,600,extDP,17405.1
19,600,MILP,1.43253e+06
2,300,stdDP,18880.9
2,300,parDP,9814.55
2,300,extDP,1199.21
2,300,MILP,261459
2,600,stdDP,16699.1
2,600,parDP,7909.43
2,600,extDP,1029.91
2,600,MILP,210815
20,300,stdDP,17550.5
20,300,parDP,8151.1
20,300,extDP,2415.14
20,300,MILP,409927
20,600,stdDP,17177.3
20,600,parDP,8169.72
20,600,extDP,2714.15
20,600,MILP,402326
21,300,stdDP,17382.6
21,300,parDP,8355.72
21,300,extDP,1022.37
21,300,MILP,265033
21,600,stdDP,16999
21,600,parDP,8162.09
21,600,extDP,955.262
21,600,MILP,274196
22,300,stdDP,23815.1
22,300,parDP,9460.92
22,300,extDP,506.129
22,300,MILP,216627
22,600,stdDP,17640.4
22,600,parDP,10355.2
22,600,extDP,625.874
22,600,MILP,280241
23,300,stdDP,15267.3
23,300,parDP,8631.54
23,300,extDP,480.66
23,300,MILP,107649
23,600,stdDP,20173.1
23,600,parDP,7461.37
23,600,extDP,478.842
23,600,MILP,104614
24,300,stdDP,16408.4
24,300,parDP,8499.02
24,300,extDP,954.595
24,300,MILP,217869
24,600,stdDP,15637.3
24,600,parDP,7918.16
24,600,extDP,961.007
24,600,MILP,254043
25,300,stdDP,23328.1
25,300,parDP,9981.72
25,300,extDP,6386.32
25,300,MILP,354075
25,600,stdDP,23886.2
25,600,parDP,9703.07
25,600,extDP,6335.79
25,600,MILP,339830
26,300,stdDP,17393.8
26,300,parDP,7959.3
26,300,extDP,2750.28
26,300,MILP,312624
26,600,stdDP,17039.1
26,600,parDP,8052.72
26,600,extDP,2476.91
26,600,MILP,336803
27,300,stdDP,15318.8
27,300,parDP,8038.39
27,300,extDP,483.534
27,300,MILP,160035
27,600,stdDP,15442.4
27,600,parDP,7853.04
27,600,extDP,494.363
27,600,MILP,149586
28,300,stdDP,24384.9
28,300,parDP,10152.6
28,300,extDP,5724.59
28,300,MILP,402601
28,600,stdDP,23796
28,600,parDP,9709.13
28,600,extDP,6045.3
28,600,MILP,436278
29,300,stdDP,14489.2
29,300,parDP,7575.88
29,300,extDP,636.026
29,300,MILP,161429
29,600,stdDP,14697.7
29,600,parDP,7651.71
29,600,extDP,544.55
29,600,MILP,158513
3,300,stdDP,18982.2
3,300,parDP,9207.71
3,300,extDP,3805.7
3,300,MILP,473423
3,600,stdDP,19024.7
3,600,parDP,8345.7
3,600,extDP,4189.37
3,600,MILP,569004
30,300,stdDP,14604.5
30,300,parDP,8679.7
30,300,extDP,1212.67
30,300,MILP,118245
30,600,stdDP,15062.8
30,600,parDP,8192.61
30,600,extDP,562.358
30,600,MILP,98146.6
31,300,stdDP,28462.8
31,300,parDP,11282.7
31,300,extDP,7141.88
31,300,MILP,377728
31,600,stdDP,27371.8
31,600,parDP,11082.5
31,600,extDP,7669.68
31,600,MILP,375738
32,300,stdDP,17678.4
32,300,parDP,8283.25
32,300,extDP,3081.46
32,300,MILP,488595
32,600,stdDP,17863.3
32,600,parDP,9148.93
32,600,extDP,3406.64
32,600,MILP,501315
33,300,stdDP,30766.5
33,300,parDP,11577.9
33,300,extDP,15639.4
33,300,MILP,274293
33,600,stdDP,31335.3
33,600,parDP,12944.9
33,600,extDP,15101.5
33,600,MILP,567902
34,300,stdDP,29569.1
34,300,parDP,11557.7
34,300,extDP,8924.07
34,300,MILP,506657
34,600,stdDP,35300.4
34,600,parDP,13260.4
34,600,extDP,9185.09
34,600,MILP,462734
35,300,stdDP,27805.1
35,300,parDP,11074.5
35,300,extDP,9362.65
35,300,MILP,476306
35,600,stdDP,25908.2
35,600,parDP,12832.5
35,600,extDP,7436.89
35,600,MILP,460021
36,300,stdDP,14937.8
36,300,parDP,8596.42
36,300,extDP,590.961
36,300,MILP,123954
36,600,stdDP,17459.2
36,600,parDP,10762.4
36,600,extDP,618.924
36,600,MILP,94595.6
37,300,stdDP,23774.2
37,300,parDP,10242.3
37,300,extDP,5789.34
37,300,MILP,513119
37,600,stdDP,25812.2
37,600,parDP,12460
37,600,extDP,6987.44
37,600,MILP,530986
38,300,stdDP,25596.8
38,300,parDP,19004.3
38,300,extDP,7889.69
38,300,MILP,579463
38,600,stdDP,30520.4
38,600,parDP,15684.9
38,600,extDP,7730.94
38,600,MILP,505044
39,300,stdDP,33015.9
39,300,parDP,16482.2
39,300,extDP,10467.1
39,300,MILP,446889
39,600,stdDP,38270.1
39,600,parDP,12643.4
39,600,extDP,7345.42
39,600,MILP,515302
4,300,stdDP,32981.9
4,300,parDP,14280.1
4,300,extDP,20318
4,300,MILP,282684
4,600,stdDP,30690.3
4,600,parDP,18540.1
4,600,extDP,19996.7
4,600,MILP,681601
40,300,stdDP,30695
40,300,parDP,14299.4
40,300,extDP,14401.3
40,300,MILP,305505
40,600,stdDP,37771.8
40,600,parDP,11871.3
40,600,extDP,14059.5
40,600,MILP,1.20877e+06
41,300,stdDP,19955.5
41,300,parDP,9520.85
41,300,extDP,1891.39
41,300,MILP,403171
41,600,stdDP,18210.5
41,600,parDP,9230.96
41,600,extDP,2429.42
41,600,MILP,455517
42,300,stdDP,32937.2
42,300,parDP,11747.6
42,300,extDP,10631.4
42,300,MILP,367204
42,600,stdDP,31933
42,600,parDP,12144.6
42,600,extDP,11066.7
42,600,MILP,482031
43,300,stdDP,21123
43,300,parDP,8384.23
43,300,extDP,691.828
43,300,MILP,132081
43,600,stdDP,14309.2
43,600,parDP,7422.12
43,600,extDP,476.168
43,600,MILP,96530.8
44,300,stdDP,16225.5
