unit,iter,solver,time_us
0,0,stdDP,341.412
0,0,extDP,784.737
0,0,MILP,1059.11
0,1200,stdDP,356.067
0,1200,extDP,809.454
0,1200,MILP,1089.47
0,1500,stdDP,379.927
0,1500,extDP,866.045
0,1500,MILP,1117.96
0,1800,stdDP,362.173
0,1800,extDP,814.748
0,1800,MILP,1108.33
0,2100,stdDP,386.381
0,2100,extDP,905.42
0,2100,MILP,1130.16
0,2400,stdDP,356.506
0,2400,extDP,844.989
0,2400,MILP,1120.55
0,2700,stdDP,346.788
0,2700,extDP,788.942
0,2700,MILP,1054.06
0,300,stdDP,364.913
0,300,extDP,855.839
0,300,MILP,1104.54
0,3000,stdDP,430.548
0,3000,extDP,824.707
0,3000,MILP,1073.9
0,3300,stdDP,344.81
0,3300,extDP,786.406
0,3300,MILP,1061.54
0,3600,stdDP,341.363
0,3600,extDP,802.33
0,3600,MILP,1081.45
0,3900,stdDP,364.823
0,3900,extDP,814.578
0,3900,MILP,1050.42
0,4200,stdDP,330.691
0,4200,extDP,791.606
0,4200,MILP,1059.68
0,4500,stdDP,345.757
0,4500,extDP,793.482
0,4500,MILP,1063.93
0,4800,stdDP,337.937
0,4800,extDP,814.985
0,4800,MILP,1066.11
0,5100,stdDP,348.349
0,5100,extDP,771.991
0,5100,MILP,1045.54
0,5400,stdDP,340.778
0,5400,extDP,805.793
0,5400,MILP,1052.7
0,5700,stdDP,341.124
0,5700,extDP,776.309
0,5700,MILP,1238.76
0,600,stdDP,403.864
0,600,extDP,993.804
0,600,MILP,1222.64
0,6000,stdDP,384.739
0,6000,extDP,942.768
0,6000,MILP,1177.15
0,6300,stdDP,429.277
0,6300,extDP,992.994
0,6300,MILP,1233.93
0,6600,stdDP,419.688
0,6600,extDP,1051.68
0,6600,MILP,1176.7
0,6900,stdDP,348.485
0,6900,extDP,795.892
0,6900,MILP,1044.12
0,7200,stdDP,360.191
0,7200,extDP,812.35
0,7200,MILP,1058.53
0,7500,stdDP,366.506
0,7500,extDP,843.114
0,7500,MILP,1073.62
0,7800,stdDP,379.67
0,7800,extDP,924.396
0,7800,MILP,1131.51
0,8100,stdDP,364.504
0,8100,extDP,839.655
0,8100,MILP,1057.3
0,8400,stdDP,335.973
0,8400,extDP,770.707
0,8400,MILP,1045.4
0,8700,stdDP,347.175
0,8700,extDP,771.848
0,8700,MILP,1039.22
0,900,stdDP,352.636
0,900,extDP,821.318
0,900,MILP,1059.9
0,9000,stdDP,363.98
0,9000,extDP,818.627
0,9000,MILP,1210.24
0,9300,stdDP,433.287
0,9300,extDP,952.235
0,9300,MILP,1202.19
0,9600,stdDP,415.761
0,9600,extDP,950.418
0,9600,MILP,1256.29
0,9900,stdDP,448.744
0,9900,extDP,996.509
0,9900,MILP,1231.75
1,0,stdDP,386.561
1,0,extDP,1208.01
1,0,MILP,1117.71
1,1200,stdDP,310.812
1,1200,extDP,942.488
1,1200,MILP,1142.32
1,1500,stdDP,332.474
1,1500,extDP,947.739
1,1500,MILP,1114.31
1,1800,stdDP,312.004
1,1800,extDP,927.6
1,1800,MILP,1127.48
1,2100,stdDP,309.883
1,2100,extDP,987.471
1,2100,MILP,1157.68
1,2400,stdDP,324.216
1,2400,extDP,954.722
1,2400,MILP,1109.62
1,2700,stdDP,315.748
1,2700,extDP,951.009
1,2700,MILP,1116.96
1,300,stdDP,303.883
1,300,extDP,925.108
1,300,MILP,1117.72
1,3000,stdDP,333.91
1,3000,extDP,969.474
1,3000,MILP,1219.22
1,3300,stdDP,327.624
1,3300,extDP,987.129
1,3300,MILP,1126.11
1,3600,stdDP,312.97
1,3600,extDP,940.977
1,3600,MILP,1145.91
1,3900,stdDP,347.151
1,3900,extDP,1013.21
1,3900,MILP,1189.37
1,4200,stdDP,338.988
1,4200,extDP,1048.28
1,4200,MILP,1059.49
1,4500,stdDP,288.303
1,4500,extDP,672.94
1,4500,MILP,1231.15
1,4800,stdDP,348.177
1,4800,extDP,1093.14
1,4800,MILP,1371.24
1,5100,stdDP,407.279
1,5100,extDP,1225.33
1,5100,MILP,1307.09
1,5400,stdDP,356.978
1,5400,extDP,1480.54
1,5400,MILP,1142.89
1,5700,stdDP,334.361
1,5700,extDP,1070.06
1,5700,MILP,879.95
1,600,stdDP,234.753
1,600,extDP,680.737
1,600,MILP,833.461
1,6000,stdDP,233.182
1,6000,extDP,703.109
1,6000,MILP,895.394
1,6300,stdDP,239.27
1,6300,extDP,718.197
1,6300,MILP,873.579
1,6600,stdDP,236.299
1,6600,extDP,702.593
1,6600,MILP,903.337
1,6900,stdDP,250.201
1,6900,extDP,723.809
1,6900,MILP,878.544
1,7200,stdDP,235.688
1,7200,extDP,733.111
1,7200,MILP,863.227
1,7500,stdDP,232.169
1,7500,extDP,779.169
1,7500,MILP,927.601
1,7800,stdDP,290.83
1,7800,extDP,779.794
1,7800,MILP,906.12
1,8100,stdDP,245.424
1,8100,extDP,763.641
1,8100,MILP,856.415
1,8400,stdDP,231.94
1,8400,extDP,726.946
1,8400,MILP,860.522
1,8700,stdDP,126.264
1,8700,extDP,422.221
1,8700,MILP,788.824
1,900,stdDP,138.663
1,900,extDP,419.579
1,900,MILP,583.562
1,9000,stdDP,138.47
1,9000,extDP,415.708
1,9000,MILP,591.537
1,9300,stdDP,130.247
1,9300,extDP,393.373
1,9300,MILP,614.938
1,9600,stdDP,232.351
1,9600,extDP,454.282
1,9600,MILP,592.87
1,9900,stdDP,134.591
1,9900,extDP,513.949
1,9900,MILP,604.545
10,0,stdDP,245.285
10,0,extDP,114.32
10,0,MILP,452.959
10,1200,stdDP,224.293
10,1200,extDP,110.683
10,1200,MILP,582.004
10,1500,stdDP,420.951
10,1500,extDP,261.65
10,1500,MILP,725.869
10,1800,stdDP,445.951
10,1800,extDP,264.902
10,1800,MILP,774.458
10,2100,stdDP,299.755
10,2100,extDP,173.137
10,2100,MILP,630.568
10,2400,stdDP,448.255
10,2400,extDP,110.158
10,2400,MILP,541.499
10,2700,stdDP,364.122
10,2700,extDP,200.476
10,2700,MILP,1047.06
10,300,stdDP,688.719
10,300,extDP,362.844
10,300,MILP,1035.57
10,3000,stdDP,575.693
10,3000,extDP,301.739
10,3000,MILP,945.418
10,3300,stdDP,423.879
10,3300,extDP,212.889
10,3300,MILP,629.72
10,3600,stdDP,230.694
10,3600,extDP,114.215
10,3600,MILP,579.238
10,3900,stdDP,444.481
10,3900,extDP,233.101
10,3900,MILP,717.41
10,4200,stdDP,486.756
10,4200,extDP,231.242
10,4200,MILP,724.104
10,4500,stdDP,436.963
10,4500,extDP,232.118
10,4500,MILP,744.361
10,4800,stdDP,451.954
10,4800,extDP,236.659
10,4800,MILP,920.535
10,5100,stdDP,482.869
10,5100,extDP,233.365
10,5100,MILP,775.874
10,5400,stdDP,466.951
10,5400,extDP,137.255
10,5400,MILP,741.163
10,5700,stdDP,458.829
10,5700,extDP,232.537
10,5700,MILP,730.639
10,600,stdDP,455.542
10,600,extDP,247.078
10,600,MILP,879.343
10,6000,stdDP,475.653
10,6000,extDP,262.495
10,6000,MILP,929.508
10,6300,stdDP,548.878
10,6300,extDP,282.601
10,6300,MILP,759.905
10,6600,stdDP,479.704
10,6600,extDP,242.689
10,6600,MILP,795.055
10,6900,stdDP,472.973
10,6900,extDP,259.556
10,6900,MILP,833.774
10,7200,stdDP,578.962
10,7200,extDP,221.327
10,7200,MILP,776.906
10,7500,stdDP,633.444
10,7500,extDP,243.898
10,7500,MILP,2857.24
10,7800,stdDP,669.658
10,7800,extDP,308.913
10,7800,MILP,912.509
10,8100,stdDP,696.291
10,8100,extDP,256.286
10,8100,MILP,538.78
10,8400,stdDP,1187.22
10,8400,extDP,1050.56
10,8400,MILP,2947.35
10,8700,stdDP,700.963
10,8700,extDP,327.139
10,8700,MILP,775.191
10,900,stdDP,518.603
10,900,extDP,264.642
10,900,MILP,871.747
10,9000,stdDP,463.068
10,9000,extDP,252.269
10,9000,MILP,967.072
10,9300,stdDP,453.059
10,9300,extDP,245.456
10,9300,MILP,1689.87
10,9600,stdDP,485.535
10,9600,extDP,242.871
10,9600,MILP,717.399
10,9900,stdDP,441.314
10,9900,extDP,226
10,9900,MILP,677.169
11,0,stdDP,517.933
11,0,extDP,255.838
11,0,MILP,761.327
11,1200,stdDP,501.947
11,1200,extDP,253.42
11,1200,MILP,794.023
11,1500,stdDP,556.385
11,1500,extDP,236.013
11,1500,MILP,1170.39
11,1800,stdDP,1142.8
11,1800,extDP,297.019
11,1800,MILP,784.131
11,2100,stdDP,620.186
11,2100,extDP,271.962
11,2100,MILP,938.492
11,2400,stdDP,487.597
11,2400,extDP,259.06
11,2400,MILP,675.157
11,2700,stdDP,482.608
11,2700,extDP,253.867
11,2700,MILP,701.069
11,300,stdDP,442.354
11,300,extDP,207.846
11,300,MILP,682.039
11,3000,stdDP,475.487
11,3000,extDP,222.182
11,3000,MILP,804.852
11,3300,stdDP,524.48
11,3300,extDP,238.01
11,3300,MILP,775.622
11,3600,stdDP,503.808
11,3600,extDP,233.45
11,3600,MILP,931.119
11,3900,stdDP,574.963
11,3900,extDP,230.063
11,3900,MILP,710.138
11,4200,stdDP,470.562
11,4200,extDP,235.57
11,4200,MILP,781.398
11,4500,stdDP,522.231
11,4500,extDP,253.187
11,4500,MILP,745.796
11,4800,stdDP,477.118
11,4800,extDP,217.322
11,4800,MILP,733.075
11,5100,stdDP,507.936
11,5100,extDP,260.642
11,5100,MILP,733.661
11,5400,stdDP,520.88
11,5400,extDP,234.459
11,5400,MILP,755.043
11,5700,stdDP,486.253
11,5700,extDP,235.384
11,5700,MILP,720.128
11,600,stdDP,446.029
11,600,extDP,221.321
11,600,MILP,688.033
11,6000,stdDP,432.027
11,6000,extDP,230.808
11,6000,MILP,687.341
11,6300,stdDP,455.808
11,6300,extDP,196.73
11,6300,MILP,678.744
11,6600,stdDP,455.775
11,6600,extDP,262
11,6600,MILP,703.732
11,6900,stdDP,446.847
11,6900,extDP,207.055
11,6900,MILP,668.715
11,7200,stdDP,439.522
11,7200,extDP,206.649
11,7200,MILP,1006.84
11,7500,stdDP,466.646
11,7500,extDP,233.095
11,7500,MILP,690.582
11,7800,stdDP,556.688
11,7800,extDP,226.202
11,7800,MILP,718.699
11,8100,stdDP,448.661
11,8100,extDP,227.159
11,8100,MILP,781.574
11,8400,stdDP,515.026
11,8400,extDP,246.332
11,8400,MILP,774.605
11,8700,stdDP,489.27
11,8700,extDP,242.266
11,8700,MILP,723.049
11,900,stdDP,519.876
11,900,extDP,242.407
11,900,MILP,927.554
11,9000,stdDP,457.064
11,9000,extDP,229.186
