unit,iter,solver,time_us
0,0,stdDP,2.41465e+06
0,0,extDP,157492
0,0,MILP,24310.1
0,1600,stdDP,943495
0,1600,extDP,166051
0,1600,MILP,49606.9
0,2400,stdDP,981597
0,2400,extDP,185611
0,2400,MILP,35768.2
0,3200,stdDP,784535
0,3200,extDP,87653
0,3200,MILP,23908.7
0,4000,stdDP,734952
0,4000,extDP,85973.9
0,4000,MILP,49057.2
0,4800,stdDP,693379
0,4800,extDP,124145
0,4800,MILP,38001.8
0,5600,stdDP,864727
0,5600,extDP,172253
0,5600,MILP,52544.9
0,6400,stdDP,851420
0,6400,extDP,161550
0,6400,MILP,23495.5
0,7200,stdDP,751281
0,7200,extDP,118960
0,7200,MILP,35236.5
0,800,stdDP,733108
0,800,extDP,132470
0,800,MILP,25420.9
0,8000,stdDP,1.61203e+06
0,8000,extDP,126924
0,8000,MILP,37840.1
0,8800,stdDP,862118
0,8800,extDP,128803
0,8800,MILP,38149.3
0,9600,stdDP,815540
0,9600,extDP,248147
0,9600,MILP,68885.1
1,0,stdDP,1.01592e+06
1,0,extDP,8683.06
1,0,MILP,25188
1,1600,stdDP,767572
1,1600,extDP,6260.45
1,1600,MILP,22998.7
1,2400,stdDP,689316
1,2400,extDP,4194.24
1,2400,MILP,15879.8
1,3200,stdDP,488029
1,3200,extDP,4259.22
1,3200,MILP,14770
1,4000,stdDP,564458
1,4000,extDP,3824.68
1,4000,MILP,21373.9
1,4800,stdDP,692367
1,4800,extDP,6478.94
1,4800,MILP,23089.6
1,5600,stdDP,739051
1,5600,extDP,2766.52
1,5600,MILP,10186.4
1,6400,stdDP,460416
1,6400,extDP,12023.2
1,6400,MILP,21324.6
1,7200,stdDP,694046
1,7200,extDP,6039.68
1,7200,MILP,22125.1
1,800,stdDP,729379
1,800,extDP,6097.46
1,800,MILP,20376
1,8000,stdDP,719791
1,8000,extDP,5746.96
1,8000,MILP,21069
1,8800,stdDP,652330
1,8800,extDP,7109.39
1,8800,MILP,22136.3
1,9600,stdDP,706630
1,9600,extDP,4542.19
1,9600,MILP,22086
10,0,stdDP,772121
10,0,extDP,13405.1
10,0,MILP,26981.1
10,1600,stdDP,635745
10,1600,extDP,21872.9
10,1600,MILP,29313.1
10,2400,stdDP,841365
10,2400,extDP,16578.9
10,2400,MILP,24697.5
10,3200,stdDP,751501
10,3200,extDP,6765.09
10,3200,MILP,11538.3
10,4000,stdDP,523517
10,4000,extDP,6125.11
10,4000,MILP,10695.2
10,4800,stdDP,609458
10,4800,extDP,11765.6
10,4800,MILP,18530.3
10,5600,stdDP,556348
10,5600,extDP,6593.98
10,5600,MILP,15722.1
10,6400,stdDP,500485
10,6400,extDP,16087.2
10,6400,MILP,25152.9
10,7200,stdDP,767796
10,7200,extDP,8198.36
10,7200,MILP,12935.2
10,800,stdDP,541320
10,800,extDP,15965.6
10,800,MILP,24590.9
10,8000,stdDP,714379
10,8000,extDP,12713
10,8000,MILP,18956.5
10,8800,stdDP,618157
10,8800,extDP,16188.7
10,8800,MILP,27143.4
10,9600,stdDP,787298
10,9600,extDP,15230.9
10,9600,MILP,24079.1
11,0,stdDP,717405
11,0,extDP,62937.8
11,0,MILP,30658.4
11,1600,stdDP,702990
11,1600,extDP,37118.5
11,1600,MILP,30497.9
11,2400,stdDP,760423
11,2400,extDP,17212.3
11,2400,MILP,30693.5
11,3200,stdDP,693730
11,3200,extDP,41778.7
11,3200,MILP,35606.9
11,4000,stdDP,824387
11,4000,extDP,38519
11,4000,MILP,29296.1
11,4800,stdDP,727639
11,4800,extDP,36632.9
11,4800,MILP,14069.4
11,5600,stdDP,510327
11,5600,extDP,39240.3
11,5600,MILP,30906.7
11,6400,stdDP,572587
11,6400,extDP,27614.5
11,6400,MILP,20879.1
11,7200,stdDP,576914
11,7200,extDP,37897.7
11,7200,MILP,15203
11,800,stdDP,535485
11,800,extDP,36416.1
11,800,MILP,28830.7
11,8000,stdDP,744394
11,8000,extDP,37403.1
11,8000,MILP,30892.8
11,8800,stdDP,718975
11,8800,extDP,16051.5
11,8800,MILP,18999.7
11,9600,stdDP,520736
11,9600,extDP,40197
11,9600,MILP,33953.7
12,0,stdDP,654937
12,0,extDP,6438.48
12,0,MILP,20967.6
12,1600,stdDP,726220
12,1600,extDP,3014.66
12,1600,MILP,10537.6
12,2400,stdDP,694526
12,2400,extDP,4760.17
12,2400,MILP,16718.1
12,3200,stdDP,503400
12,3200,extDP,2345.23
12,3200,MILP,12814.8
12,4000,stdDP,520299
12,4000,extDP,4605.42
12,4000,MILP,16551.9
12,4800,stdDP,583839
12,4800,extDP,6716.43
12,4800,MILP,22816.2
12,5600,stdDP,741910
12,5600,extDP,4294.8
12,5600,MILP,21853.4
12,6400,stdDP,696426
12,6400,extDP,6613.34
12,6400,MILP,15331
12,7200,stdDP,597355
12,7200,extDP,4400.76
12,7200,MILP,17711.5
12,800,stdDP,578266
12,800,extDP,2512.51
12,800,MILP,10067.2
12,8000,stdDP,491158
12,8000,extDP,2494.74
12,8000,MILP,11197.7
12,8800,stdDP,501469
12,8800,extDP,6345.13
12,8800,MILP,21154
12,9600,stdDP,703310
12,9600,extDP,6635.48
12,9600,MILP,20974.2
13,0,stdDP,722484
13,0,extDP,25095.4
13,0,MILP,16024
13,1600,stdDP,570568
13,1600,extDP,54609
13,1600,MILP,37155.6
13,2400,stdDP,782449
13,2400,extDP,56441.2
13,2400,MILP,34969
13,3200,stdDP,724567
13,3200,extDP,42206.6
13,3200,MILP,25635.2
13,4000,stdDP,607286
13,4000,extDP,57789.9
13,4000,MILP,33036.4
13,4800,stdDP,733548
13,4800,extDP,56950.1
13,4800,MILP,37030.4
13,5600,stdDP,758068
13,5600,extDP,28701
13,5600,MILP,16776
13,6400,stdDP,524347
13,6400,extDP,42800
13,6400,MILP,25951.6
13,7200,stdDP,611944
13,7200,extDP,42236.6
13,7200,MILP,26895.1
13,800,stdDP,594393
13,800,extDP,56807
13,800,MILP,36247.9
13,8000,stdDP,758971
13,8000,extDP,32575.7
13,8000,MILP,17677
13,8800,stdDP,506460
13,8800,extDP,59083.7
13,8800,MILP,32498
13,9600,stdDP,770714
13,9600,extDP,42279.9
13,9600,MILP,27484.1
14,0,stdDP,619900
14,0,extDP,57238.9
14,0,MILP,16452.9
14,1600,stdDP,551353
14,1600,extDP,25808.6
14,1600,MILP,17503.1
14,2400,stdDP,532322
14,2400,extDP,58318.7
14,2400,MILP,35975.4
14,3200,stdDP,775484
14,3200,extDP,53761.3
14,3200,MILP,34103.1
14,4000,stdDP,750581
14,4000,extDP,56581.9
14,4000,MILP,35425.5
14,4800,stdDP,726119
14,4800,extDP,39528.9
14,4800,MILP,25949.4
14,5600,stdDP,576205
14,5600,extDP,60775.6
14,5600,MILP,37906
14,6400,stdDP,724451
14,6400,extDP,57774.6
14,6400,MILP,35809.9
14,7200,stdDP,809886
14,7200,extDP,42412.2
14,7200,MILP,26667.3
14,800,stdDP,629735
14,800,extDP,43165.2
14,800,MILP,27974.6
14,8000,stdDP,614522
14,8000,extDP,63449.8
14,8000,MILP,40564
14,8800,stdDP,632329
14,8800,extDP,68230
14,8800,MILP,38875.3
14,9600,stdDP,902840
14,9600,extDP,37995
14,9600,MILP,26504.3
15,0,stdDP,730981
15,0,extDP,98418.7
15,0,MILP,36156
15,1600,stdDP,800589
15,1600,extDP,115298
15,1600,MILP,47778.2
15,2400,stdDP,988128
15,2400,extDP,104448
15,2400,MILP,18255.4
15,3200,stdDP,589886
15,3200,extDP,83595.4
15,3200,MILP,30063.6
15,4000,stdDP,597925
15,4000,extDP,105695
15,4000,MILP,38866
15,4800,stdDP,788252
15,4800,extDP,106292
15,4800,MILP,39164.6
15,5600,stdDP,804387
15,5600,extDP,81478.2
15,5600,MILP,31595.2
15,6400,stdDP,632096
15,6400,extDP,107274
15,6400,MILP,39416.7
15,7200,stdDP,649059
15,7200,extDP,82473.8
15,7200,MILP,29165.5
15,800,stdDP,628515
15,800,extDP,104212
15,800,MILP,38185.5
15,8000,stdDP,791467
15,8000,extDP,101161
15,8000,MILP,18401.1
15,8800,stdDP,577138
15,8800,extDP,107365
15,8800,MILP,39964.2
15,9600,stdDP,799214
15,9600,extDP,104873
15,9600,MILP,39063.1
16,0,stdDP,718461
16,0,extDP,36532.7
16,0,MILP,43230.1
16,1600,stdDP,738049
16,1600,extDP,31055.3
16,1600,MILP,13781.3
16,2400,stdDP,510432
16,2400,extDP,36526
16,2400,MILP,30734.6
16,3200,stdDP,782398
16,3200,extDP,17680.9
16,3200,MILP,14139.7
16,4000,stdDP,556694
16,4000,extDP,35804
16,4000,MILP,32945.2
16,4800,stdDP,617383
16,4800,extDP,37201.6
16,4800,MILP,29420.2
16,5600,stdDP,728583
16,5600,extDP,37734.3
16,5600,MILP,28963.5
16,6400,stdDP,561197
16,6400,extDP,17946.9
16,6400,MILP,16221.7
16,7200,stdDP,530436
16,7200,extDP,26499.6
16,7200,MILP,21065.3
16,800,stdDP,542907
16,800,extDP,26780.3
16,800,MILP,21317.3
16,8000,stdDP,560871
16,8000,extDP,26460.6
16,8000,MILP,21711.6
16,8800,stdDP,574904
16,8800,extDP,38593.6
16,8800,MILP,29192.2
16,9600,stdDP,757303
16,9600,extDP,36601.3
16,9600,MILP,30203.5
17,0,stdDP,754505
17,0,extDP,24191.9
17,0,MILP,28933.9
17,1600,stdDP,662006
17,1600,extDP,22963
17,1600,MILP,26554.3
17,2400,stdDP,770735
17,2400,extDP,28470.9
17,2400,MILP,28697.1
17,3200,stdDP,818577
17,3200,extDP,23995.8
17,3200,MILP,30709.3
17,4000,stdDP,622786
17,4000,extDP,23787
17,4000,MILP,30158.3
17,4800,stdDP,741671
17,4800,extDP,23145.8
17,4800,MILP,27255.2
17,5600,stdDP,724317
17,5600,extDP,13865.8
17,5600,MILP,27732
17,6400,stdDP,606903
17,6400,extDP,23528.3
17,6400,MILP,29430.1
17,7200,stdDP,783491
17,7200,extDP,18712.6
17,7200,MILP,13530.5
17,800,stdDP,533253
17,800,extDP,21865.8
17,800,MILP,27501.6
17,8000,stdDP,776192
17,8000,extDP,16193.1
17,8000,MILP,20778
17,8800,stdDP,587278
17,8800,extDP,24278.1
17,8800,MILP,16556.7
17,9600,stdDP,565378
17,9600,extDP,16513.8
17,9600,MILP,21818.1
18,0,stdDP,588728
18,0,extDP,6554.33
18,0,MILP,21060.5
18,1600,stdDP,696531
18,1600,extDP,3362.77
18,1600,MILP,9784.17
18,2400,stdDP,538260
18,2400,extDP,6725.13
18,2400,MILP,22321.6
18,3200,stdDP,904541
18,3200,extDP,2397.3
18,3200,MILP,9736.59
18,4000,stdDP,491780
18,4000,extDP,6526.18
18,4000,MILP,26088.8
