unit,iter,solver,time_us
0,0,stdDP,25744.7
0,0,extDP,2106.04
0,0,MILP,2516.86
0,1200,stdDP,16194.6
0,1200,extDP,983.215
0,1200,MILP,2603.28
0,1600,stdDP,15332.8
0,1600,extDP,914.328
0,1600,MILP,2386.34
0,2000,stdDP,16061.5
0,2000,extDP,1067.21
0,2000,MILP,2328.4
0,2400,stdDP,15400.6
0,2400,extDP,983.72
0,2400,MILP,2485.39
0,2800,stdDP,15335.3
0,2800,extDP,1029.86
0,2800,MILP,2428.58
0,3200,stdDP,15853.3
0,3200,extDP,916.604
0,3200,MILP,2358.91
0,3600,stdDP,15711.1
0,3600,extDP,952.83
0,3600,MILP,2977.66
0,400,stdDP,15349
0,400,extDP,960.495
0,400,MILP,2572.16
0,4000,stdDP,15326.2
0,4000,extDP,916.94
0,4000,MILP,2314.53
0,4400,stdDP,16274.8
0,4400,extDP,2098.64
0,4400,MILP,2318.69
0,4800,stdDP,16152.3
0,4800,extDP,1031.11
0,4800,MILP,2793.45
0,5200,stdDP,15424.2
0,5200,extDP,908.332
0,5200,MILP,2892.57
0,5600,stdDP,15807.3
0,5600,extDP,899.948
0,5600,MILP,2367.71
0,6000,stdDP,15416.2
0,6000,extDP,1228.31
0,6000,MILP,2530.64
0,6400,stdDP,15236
0,6400,extDP,1002.71
0,6400,MILP,2359.09
0,6800,stdDP,15989.5
0,6800,extDP,951.884
0,6800,MILP,2310.41
0,7200,stdDP,15286.4
0,7200,extDP,886.456
0,7200,MILP,2412.88
0,7600,stdDP,15713.3
0,7600,extDP,928.171
0,7600,MILP,2399.51
0,800,stdDP,15859.7
0,800,extDP,1405.03
0,800,MILP,2423.59
0,8000,stdDP,18191.6
0,8000,extDP,962.989
0,8000,MILP,2599.24
0,8400,stdDP,17777.8
0,8400,extDP,1059.4
0,8400,MILP,2624.81
0,8800,stdDP,16357.3
0,8800,extDP,1053.37
0,8800,MILP,2576.52
0,9200,stdDP,27743.2
0,9200,extDP,2096.58
0,9200,MILP,4408.83
0,9600,stdDP,29739.1
0,9600,extDP,2247.03
0,9600,MILP,4894.35
1,0,stdDP,18003
1,0,extDP,3347.11
1,0,MILP,3146.14
1,1200,stdDP,17966.6
1,1200,extDP,3154.54
1,1200,MILP,3036.88
1,1600,stdDP,17174.5
1,1600,extDP,3294.9
1,1600,MILP,3064.62
1,2000,stdDP,17265.4
1,2000,extDP,3173.28
1,2000,MILP,3449.5
1,2400,stdDP,18195.8
1,2400,extDP,3848.36
1,2400,MILP,3098.04
1,2800,stdDP,19987.7
1,2800,extDP,3650.25
1,2800,MILP,3105.46
1,3200,stdDP,17489.7
1,3200,extDP,3200.34
1,3200,MILP,3295.93
1,3600,stdDP,17654.7
1,3600,extDP,3645.72
1,3600,MILP,3030.97
1,400,stdDP,34655
1,400,extDP,4879.83
1,400,MILP,5088.43
1,4000,stdDP,16738.3
1,4000,extDP,3092.77
1,4000,MILP,2884.14
1,4400,stdDP,15955.8
1,4400,extDP,2921.92
1,4400,MILP,2834.25
1,4800,stdDP,15819.1
1,4800,extDP,2889.7
1,4800,MILP,2753.43
1,5200,stdDP,22602.7
1,5200,extDP,2901.7
1,5200,MILP,2744.01
1,5600,stdDP,15742.7
1,5600,extDP,2977.74
1,5600,MILP,2848.44
1,6000,stdDP,15821.1
1,6000,extDP,2921.16
1,6000,MILP,2873.54
1,6400,stdDP,15929.1
1,6400,extDP,2997.6
1,6400,MILP,2802
1,6800,stdDP,15858.6
1,6800,extDP,2898.71
1,6800,MILP,3794.86
1,7200,stdDP,15711
1,7200,extDP,2924.23
1,7200,MILP,2863.35
1,7600,stdDP,15673.3
1,7600,extDP,2937.17
1,7600,MILP,2832.61
1,800,stdDP,15756.8
1,800,extDP,2854.3
1,800,MILP,2814.38
1,8000,stdDP,15924.4
1,8000,extDP,2868.57
1,8000,MILP,3012.69
1,8400,stdDP,15779.7
1,8400,extDP,2892.58
1,8400,MILP,2775.91
1,8800,stdDP,15816.4
1,8800,extDP,3081.04
1,8800,MILP,3222.31
1,9200,stdDP,15833.7
1,9200,extDP,2986.59
1,9200,MILP,2794.34
1,9600,stdDP,15837.6
1,9600,extDP,2893.42
1,9600,MILP,2796.36
10,0,stdDP,28469.9
10,0,extDP,13250.6
10,0,MILP,4454.81
10,1200,stdDP,28483.8
10,1200,extDP,13503.4
10,1200,MILP,4547.1
10,1600,stdDP,29051.3
10,1600,extDP,12657.5
10,1600,MILP,4656.37
10,2000,stdDP,28973.5
10,2000,extDP,13497
10,2000,MILP,5549.61
10,2400,stdDP,29135.7
10,2400,extDP,14298.9
10,2400,MILP,4966.66
10,2800,stdDP,30372
10,2800,extDP,13267.8
10,2800,MILP,4520.59
10,3200,stdDP,29165.3
10,3200,extDP,13094.6
10,3200,MILP,4606.28
10,3600,stdDP,28955.1
10,3600,extDP,12658.8
10,3600,MILP,4642.56
10,400,stdDP,31752.1
10,400,extDP,13555.2
10,400,MILP,4708.53
10,4000,stdDP,30288.4
10,4000,extDP,13780
10,4000,MILP,4918.06
10,4400,stdDP,30163.9
10,4400,extDP,13554.1
10,4400,MILP,4777.03
10,4800,stdDP,29369.6
10,4800,extDP,12501.5
10,4800,MILP,4325.11
10,5200,stdDP,27906.6
10,5200,extDP,12558.8
10,5200,MILP,4965.31
10,5600,stdDP,27962.4
10,5600,extDP,12811.5
10,5600,MILP,6070.07
10,6000,stdDP,31035.2
10,6000,extDP,12938
10,6000,MILP,4676.42
10,6400,stdDP,28853.4
10,6400,extDP,13407
10,6400,MILP,4536.6
10,6800,stdDP,29555.2
10,6800,extDP,12962.6
10,6800,MILP,5484.15
10,7200,stdDP,29518
10,7200,extDP,13130.3
10,7200,MILP,4615.31
10,7600,stdDP,28774.8
10,7600,extDP,13092.8
10,7600,MILP,4546.13
10,800,stdDP,30378.6
10,800,extDP,13090
10,800,MILP,4560.99
10,8000,stdDP,30750.3
10,8000,extDP,13540.4
10,8000,MILP,4687.71
10,8400,stdDP,29133.3
10,8400,extDP,12675.9
10,8400,MILP,4507.59
10,8800,stdDP,30046.8
10,8800,extDP,13738.4
10,8800,MILP,4487.87
10,9200,stdDP,29051.4
10,9200,extDP,13212.6
10,9200,MILP,4703.07
10,9600,stdDP,28920.6
10,9600,extDP,13207.9
10,9600,MILP,4566.21
11,0,stdDP,12966.7
11,0,extDP,437.261
11,0,MILP,3104.24
11,1200,stdDP,13117.1
11,1200,extDP,482.129
11,1200,MILP,2244.9
11,1600,stdDP,13004.3
11,1600,extDP,432.39
11,1600,MILP,2110.24
11,2000,stdDP,13044.5
11,2000,extDP,518.16
11,2000,MILP,2156.22
11,2400,stdDP,13742.1
11,2400,extDP,630.423
11,2400,MILP,2363.49
11,2800,stdDP,13860.7
11,2800,extDP,432.303
11,2800,MILP,3317.14
11,3200,stdDP,13376.2
11,3200,extDP,457.351
11,3200,MILP,2187.41
11,3600,stdDP,12627.2
11,3600,extDP,427.385
11,3600,MILP,2167.89
11,400,stdDP,12787.8
11,400,extDP,465.416
11,400,MILP,2159.86
11,4000,stdDP,13159.4
11,4000,extDP,529.752
11,4000,MILP,2305.26
11,4400,stdDP,12580.8
11,4400,extDP,419.509
11,4400,MILP,3645.36
11,4800,stdDP,12852.7
11,4800,extDP,471.689
11,4800,MILP,2109.53
11,5200,stdDP,12739.6
11,5200,extDP,420.62
11,5200,MILP,2134.88
11,5600,stdDP,19819.9
11,5600,extDP,847.797
11,5600,MILP,3255.11
11,6000,stdDP,12528.5
11,6000,extDP,423.382
11,6000,MILP,2020.46
11,6400,stdDP,12466.4
11,6400,extDP,422.754
11,6400,MILP,2080.81
11,6800,stdDP,12551.3
11,6800,extDP,423.278
11,6800,MILP,2020.66
11,7200,stdDP,12568.7
11,7200,extDP,419.046
11,7200,MILP,2051.63
11,7600,stdDP,12979.1
11,7600,extDP,421.128
11,7600,MILP,3112.31
11,800,stdDP,12582.3
11,800,extDP,419.027
11,800,MILP,2805.14
11,8000,stdDP,12586.2
11,8000,extDP,417.912
11,8000,MILP,2057.77
11,8400,stdDP,12703.3
11,8400,extDP,456.018
11,8400,MILP,2095.99
11,8800,stdDP,12749.7
11,8800,extDP,443.359
11,8800,MILP,2130.68
11,9200,stdDP,12676.8
11,9200,extDP,421.606
11,9200,MILP,2497.27
11,9600,stdDP,12841.1
11,9600,extDP,427.994
11,9600,MILP,2195.55
12,0,stdDP,29056.2
12,0,extDP,16617.2
12,0,MILP,4508.58
12,1200,stdDP,28572.9
12,1200,extDP,15670.6
12,1200,MILP,4596.93
12,1600,stdDP,28776.3
12,1600,extDP,16101.7
12,1600,MILP,4770.8
12,2000,stdDP,28735.6
12,2000,extDP,15940
12,2000,MILP,4652.54
12,2400,stdDP,28778.9
12,2400,extDP,16639.2
12,2400,MILP,6580.15
12,2800,stdDP,29790.8
12,2800,extDP,17291.3
12,2800,MILP,4600.78
12,3200,stdDP,29968
12,3200,extDP,17109.9
12,3200,MILP,5247.16
12,3600,stdDP,29787.3
12,3600,extDP,16540.2
12,3600,MILP,4812.16
12,400,stdDP,29603.3
12,400,extDP,17013.8
12,400,MILP,4870.58
12,4000,stdDP,32086.7
12,4000,extDP,16978.7
12,4000,MILP,5407.52
12,4400,stdDP,30802.2
12,4400,extDP,17855.1
12,4400,MILP,5175.39
12,4800,stdDP,31894.6
12,4800,extDP,17881.7
12,4800,MILP,5298.25
12,5200,stdDP,31877.4
12,5200,extDP,18572.3
12,5200,MILP,4850.38
12,5600,stdDP,29828.5
12,5600,extDP,16302.7
12,5600,MILP,5242.03
12,6000,stdDP,29603.6
12,6000,extDP,16376.2
