unit,gen_type
0,Coal_old
1,OCGT_peaker
2,CCGT_efficient
3,CCGT_medium
4,Coal_old
5,OCGT_peaker
6,CCGT_efficient
7,Coal_old
8,CCGT_medium
9,CCGT_medium
10,CCGT_small
11,CCGT_medium
12,OCGT_peaker
13,CCGT_large
14,CCGT_large
15,CCGT_efficient
16,CCGT_medium
17,CCGT_medium
18,Oil_peaker
19,OCGT_peaker
20,CCGT_large
21,CCGT_large
22,OCGT_peaker
23,CCGT_small
24,CCGT_small
25,CCGT_efficient
26,Coal_old
27,CCGT_large
28,OCGT_peaker
29,Coal_old
30,CCGT_efficient
31,Coal_old
32,OCGT_peaker
33,CCGT_efficient
34,CCGT_large
35,CCGT_medium
36,CCGT_small
37,CCGT_medium
38,Oil_peaker
39,CCGT_medium
40,CCGT_small
41,CCGT_small
42,CCGT_medium
43,CCGT_large
44,Oil_peaker
45,CCGT_large
46,OCGT_peaker
47,Oil_peaker
48,CCGT_small
49,CCGT_small
