unit,iter,solver,time_us
0,0,stdDP,407.163
0,0,extDP,273.493
0,0,MILP,720.055
0,1200,stdDP,684.938
0,1200,extDP,427.831
0,1200,MILP,977.314
0,1500,stdDP,637.235
0,1500,extDP,426.428
0,1500,MILP,950.091
0,1800,stdDP,624.451
0,1800,extDP,405.855
0,1800,MILP,892.292
0,2100,stdDP,582.043
0,2100,extDP,385.292
0,2100,MILP,971.614
0,2400,stdDP,591.772
0,2400,extDP,422.774
0,2400,MILP,954.976
0,2700,stdDP,589.992
0,2700,extDP,378.496
0,2700,MILP,924.703
0,300,stdDP,659.257
0,300,extDP,442.895
0,300,MILP,1031.38
0,3000,stdDP,268.865
0,3000,extDP,156.068
0,3000,MILP,522.838
0,3300,stdDP,457.419
0,3300,extDP,277.676
0,3300,MILP,718.787
0,3600,stdDP,464.004
0,3600,extDP,154.4
0,3600,MILP,577.07
0,3900,stdDP,466.268
0,3900,extDP,161.891
0,3900,MILP,461.381
0,4200,stdDP,259.777
0,4200,extDP,146.742
0,4200,MILP,432.257
0,4500,stdDP,237.16
0,4500,extDP,283.453
0,4500,MILP,531.965
0,4800,stdDP,434.071
0,4800,extDP,150.487
0,4800,MILP,447.895
0,5100,stdDP,458.996
0,5100,extDP,147.074
0,5100,MILP,449.384
0,5400,stdDP,257.303
0,5400,extDP,247.416
0,5400,MILP,546.92
0,5700,stdDP,233.038
0,5700,extDP,276.181
0,5700,MILP,426.82
0,600,stdDP,274.832
0,600,extDP,155.18
0,600,MILP,433.833
0,6000,stdDP,280.917
0,6000,extDP,190.798
0,6000,MILP,491.541
0,6300,stdDP,250.598
0,6300,extDP,156.738
0,6300,MILP,511.402
0,6600,stdDP,323.047
0,6600,extDP,144.724
0,6600,MILP,447.342
0,6900,stdDP,245.586
0,6900,extDP,168.103
0,6900,MILP,591.572
0,7200,stdDP,415.238
0,7200,extDP,150.55
0,7200,MILP,672.055
0,7500,stdDP,449.262
0,7500,extDP,269.535
0,7500,MILP,449.728
0,7800,stdDP,261.159
0,7800,extDP,193.688
0,7800,MILP,447.579
0,8100,stdDP,433.765
0,8100,extDP,344.549
0,8100,MILP,653.893
0,8400,stdDP,326.022
0,8400,extDP,315.827
0,8400,MILP,505.361
0,8700,stdDP,242.045
0,8700,extDP,143.923
0,8700,MILP,421.695
0,900,stdDP,239.559
0,900,extDP,170.525
0,900,MILP,610.909
0,9000,stdDP,251.574
0,9000,extDP,247.444
0,9000,MILP,431.405
0,9300,stdDP,468.602
0,9300,extDP,317.392
0,9300,MILP,434.067
0,9600,stdDP,277.538
0,9600,extDP,149.827
0,9600,MILP,689.365
0,9900,stdDP,390.315
0,9900,extDP,154.9
0,9900,MILP,438.34
1,0,stdDP,245.125
1,0,extDP,121.114
1,0,MILP,523.945
1,1200,stdDP,244.974
1,1200,extDP,57.93
1,1200,MILP,509.471
1,1500,stdDP,442.043
1,1500,extDP,101.351
1,1500,MILP,648.812
1,1800,stdDP,464.28
1,1800,extDP,122.457
1,1800,MILP,674.865
1,2100,stdDP,482.943
1,2100,extDP,130.116
1,2100,MILP,393.819
1,2400,stdDP,505.862
1,2400,extDP,118.843
1,2400,MILP,421.102
1,2700,stdDP,427.995
1,2700,extDP,59.08
1,2700,MILP,569.766
1,300,stdDP,414.079
1,300,extDP,54.526
1,300,MILP,526.771
1,3000,stdDP,451.094
1,3000,extDP,110.81
1,3000,MILP,873.631
1,3300,stdDP,655.909
1,3300,extDP,185.183
1,3300,MILP,984.781
1,3600,stdDP,668.645
1,3600,extDP,169.991
1,3600,MILP,1010.62
1,3900,stdDP,752.202
1,3900,extDP,198.237
1,3900,MILP,747.105
1,4200,stdDP,600.093
1,4200,extDP,171.284
1,4200,MILP,778.45
1,4500,stdDP,596.004
1,4500,extDP,153.682
1,4500,MILP,813.803
1,4800,stdDP,576.292
1,4800,extDP,156.597
1,4800,MILP,877.951
1,5100,stdDP,645.937
1,5100,extDP,171.192
1,5100,MILP,880.007
1,5400,stdDP,635.468
1,5400,extDP,198.367
1,5400,MILP,913.347
1,5700,stdDP,632.541
1,5700,extDP,192.211
1,5700,MILP,908.398
1,600,stdDP,662.474
1,600,extDP,191.453
1,600,MILP,971.768
1,6000,stdDP,665.46
1,6000,extDP,187.943
1,6000,MILP,914.853
1,6300,stdDP,465.476
1,6300,extDP,86.496
1,6300,MILP,965.073
1,6600,stdDP,644.014
1,6600,extDP,162.258
1,6600,MILP,942.167
1,6900,stdDP,620.766
1,6900,extDP,179.066
1,6900,MILP,938.447
1,7200,stdDP,972.977
1,7200,extDP,220.489
1,7200,MILP,1230.95
1,7500,stdDP,894.37
1,7500,extDP,219.395
1,7500,MILP,1156.5
1,7800,stdDP,648.923
1,7800,extDP,175.568
1,7800,MILP,930.852
1,8100,stdDP,681.482
1,8100,extDP,193.362
1,8100,MILP,911.024
1,8400,stdDP,663.207
1,8400,extDP,163.253
1,8400,MILP,890.723
1,8700,stdDP,664.892
1,8700,extDP,204.998
1,8700,MILP,904.865
1,900,stdDP,708.611
1,900,extDP,216.536
1,900,MILP,1088.55
1,9000,stdDP,775.727
1,9000,extDP,201.35
1,9000,MILP,763.232
1,9300,stdDP,917.666
1,9300,extDP,301.579
1,9300,MILP,1777.21
1,9600,stdDP,1420.58
1,9600,extDP,367.297
1,9600,MILP,2038.21
1,9900,stdDP,1500.43
1,9900,extDP,402.912
1,9900,MILP,2223.93
10,0,stdDP,1020.44
10,0,extDP,3490.01
10,0,MILP,3647.52
10,1200,stdDP,1134.09
10,1200,extDP,4082.55
10,1200,MILP,3925.1
10,1500,stdDP,1263.17
10,1500,extDP,4191.64
10,1500,MILP,3844.2
10,1800,stdDP,1283.16
10,1800,extDP,4702.36
10,1800,MILP,4276.24
10,2100,stdDP,1451.22
10,2100,extDP,4595.74
10,2100,MILP,4375.79
10,2400,stdDP,1412.59
10,2400,extDP,4491.17
10,2400,MILP,3870.06
10,2700,stdDP,1227.47
10,2700,extDP,4155.63
10,2700,MILP,3900.88
10,300,stdDP,1303.49
10,300,extDP,4144.9
10,300,MILP,4435.41
10,3000,stdDP,1169.5
10,3000,extDP,3404.13
10,3000,MILP,3064.14
10,3300,stdDP,896.637
10,3300,extDP,3061.45
10,3300,MILP,2895.02
10,3600,stdDP,890.714
10,3600,extDP,2980.52
10,3600,MILP,2879.06
10,3900,stdDP,906.843
10,3900,extDP,3001.91
10,3900,MILP,2875.15
10,4200,stdDP,908.655
10,4200,extDP,2953.01
10,4200,MILP,2866.38
10,4500,stdDP,892.43
10,4500,extDP,3002.31
10,4500,MILP,2885.68
10,4800,stdDP,905.055
10,4800,extDP,2865.36
10,4800,MILP,2861.57
10,5100,stdDP,897.033
10,5100,extDP,2910.58
10,5100,MILP,2824.53
10,5400,stdDP,900.259
10,5400,extDP,2972.66
10,5400,MILP,2984.82
10,5700,stdDP,958.338
10,5700,extDP,2983.41
10,5700,MILP,2838.17
10,600,stdDP,910.114
10,600,extDP,3009.83
10,600,MILP,2879.36
10,6000,stdDP,908.661
10,6000,extDP,3012.21
10,6000,MILP,2906.34
10,6300,stdDP,960.457
10,6300,extDP,3437.49
10,6300,MILP,2970.79
10,6600,stdDP,904.263
10,6600,extDP,2955.71
10,6600,MILP,2842.56
10,6900,stdDP,899.062
10,6900,extDP,3171.67
10,6900,MILP,2935.59
10,7200,stdDP,939.862
10,7200,extDP,3527.64
10,7200,MILP,2950.16
10,7500,stdDP,936.271
10,7500,extDP,1725.33
10,7500,MILP,3027.51
10,7800,stdDP,938.659
10,7800,extDP,3362.35
10,7800,MILP,3663.4
10,8100,stdDP,1180.9
10,8100,extDP,3269.89
10,8100,MILP,2911.59
10,8400,stdDP,521.473
10,8400,extDP,1712.62
10,8400,MILP,1976.21
10,8700,stdDP,537.856
10,8700,extDP,3038.14
10,8700,MILP,2907.76
10,900,stdDP,946.988
10,900,extDP,2799.28
10,900,MILP,2842.33
10,9000,stdDP,930.335
10,9000,extDP,3125.48
10,9000,MILP,3130.11
10,9300,stdDP,925.131
10,9300,extDP,2990
10,9300,MILP,2677.23
10,9600,stdDP,844.971
10,9600,extDP,2622.41
10,9600,MILP,2434
10,9900,stdDP,812.209
10,9900,extDP,2653.52
10,9900,MILP,2477.16
11,0,stdDP,1136.3
11,0,extDP,1510.4
11,0,MILP,1898.13
11,1200,stdDP,1116.5
11,1200,extDP,1514.28
11,1200,MILP,1820.92
11,1500,stdDP,1010.26
11,1500,extDP,1345.23
11,1500,MILP,1615.88
11,1800,stdDP,860.143
11,1800,extDP,1085.45
11,1800,MILP,1436.62
11,2100,stdDP,729.042
11,2100,extDP,1045.71
11,2100,MILP,1359.67
11,2400,stdDP,723.416
11,2400,extDP,982.91
11,2400,MILP,978.738
11,2700,stdDP,390.821
11,2700,extDP,626.372
11,2700,MILP,593.913
11,300,stdDP,299.053
11,300,extDP,418.329
11,300,MILP,1247.86
11,3000,stdDP,764.741
11,3000,extDP,1034.67
11,3000,MILP,911.247
11,3300,stdDP,526.093
11,3300,extDP,701.696
11,3300,MILP,943.899
11,3600,stdDP,546.969
11,3600,extDP,779.884
11,3600,MILP,933.166
11,3900,stdDP,525.238
11,3900,extDP,747.258
11,3900,MILP,950.617
11,4200,stdDP,548.111
11,4200,extDP,876.024
11,4200,MILP,953.925
11,4500,stdDP,541.142
11,4500,extDP,740.541
11,4500,MILP,934.352
11,4800,stdDP,526.099
11,4800,extDP,767.378
11,4800,MILP,1068.67
11,5100,stdDP,565.426
11,5100,extDP,707.994
11,5100,MILP,968.97
11,5400,stdDP,596.403
11,5400,extDP,797.946
11,5400,MILP,1235.04
11,5700,stdDP,793.844
11,5700,extDP,1051.53
11,5700,MILP,1195.7
11,600,stdDP,444.96
11,600,extDP,653.406
11,600,MILP,806.635
11,6000,stdDP,455.233
11,6000,extDP,623.385
11,6000,MILP,801.018
11,6300,stdDP,478.428
11,6300,extDP,649.465
11,6300,MILP,794.306
11,6600,stdDP,463.064
11,6600,extDP,603.941
11,6600,MILP,841.569
11,6900,stdDP,476.265
11,6900,extDP,630.654
11,6900,MILP,852.307
11,7200,stdDP,665.866
11,7200,extDP,926.943
11,7200,MILP,1244.98
11,7500,stdDP,482.813
11,7500,extDP,450.66
11,7500,MILP,1090.91
11,7800,stdDP,499.556
11,7800,extDP,711.006
11,7800,MILP,807.997
11,8100,stdDP,474.086
11,8100,extDP,649.503
11,8100,MILP,825.701
11,8400,stdDP,554.206
11,8400,extDP,821.941
11,8400,MILP,972.788
11,8700,stdDP,653.732
11,8700,extDP,892.291
11,8700,MILP,615.406
11,900,stdDP,435.472
11,900,extDP,626.261
11,900,MILP,716.223
11,9000,stdDP,436.435
11,9000,extDP,304.14
11,9000,MILP,768.023
11,9300,stdDP,372.61
11,9300,extDP,822.057
11,9300,MILP,1631.51
11,9600,stdDP,653.626
11,9600,extDP,1137.93
11,9600,MILP,842.934
11,9900,stdDP,445.423
11,9900,extDP,716.841
11,9900,MILP,785.771
12,0,stdDP,285.977
12,0,extDP,769.516
12,0,MILP,895.03
12,1200,stdDP,291.623
12,1200,extDP,726.513
12,1200,MILP,869.75
12,1500,stdDP,261.47
12,1500,extDP,792.586
12,1500,MILP,1258.07
12,1800,stdDP,456.435
12,1800,extDP,1048.28
12,1800,MILP,1266.55
12,2100,stdDP,406.492
12,2100,extDP,1017.75
12,2100,MILP,1148.11
12,2400,stdDP,358.279
12,2400,extDP,883.534
12,2400,MILP,1071.58
12,2700,stdDP,234.018
12,2700,extDP,357.267
12,2700,MILP,543.718
12,300,stdDP,181.409
12,300,extDP,709.641
12,300,MILP,835.317
12,3000,stdDP,285.736
12,3000,extDP,463.781
12,3000,MILP,832.864
12,3300,stdDP,278.738
12,3300,extDP,783.858
12,3300,MILP,636.864
12,3600,stdDP,139.103
12,3600,extDP,617.633
12,3600,MILP,558.92
12,3900,stdDP,136.226
12,3900,extDP,340.891
12,3900,MILP,516.205
12,4200,stdDP,146.748
12,4200,extDP,410.979
12,4200,MILP,503.03
12,4500,stdDP,147.922
12,4500,extDP,362.484
12,4500,MILP,607.943
12,4800,stdDP,144.708
12,4800,extDP,433.388
12,4800,MILP,679.842
12,5100,stdDP,162.572
12,5100,extDP,453.453
12,5100,MILP,560.786
12,5400,stdDP,166.809
12,5400,extDP,417.341
