unit,iter,solver,time_us
0,1200,stdDP,320495
0,1200,parDP,169607
0,1200,extDP,5547.39
0,1200,MILP,11124.5
0,1500,stdDP,319062
0,1500,parDP,164805
0,1500,extDP,5966.21
0,1500,MILP,11522.1
0,1800,stdDP,321388
0,1800,parDP,168772
0,1800,extDP,5493.2
0,1800,MILP,11453.6
0,2100,stdDP,318658
0,2100,parDP,180481
0,2100,extDP,5638.7
0,2100,MILP,11597.9
0,2400,stdDP,321534
0,2400,parDP,180355
0,2400,extDP,5606.23
0,2400,MILP,11610.5
0,2700,stdDP,316660
0,2700,parDP,173464
0,2700,extDP,5862.75
0,2700,MILP,10960.7
0,300,stdDP,318522
0,300,parDP,165856
0,300,extDP,5741.95
0,300,MILP,11190
0,3000,stdDP,314834
0,3000,parDP,169280
0,3000,extDP,5847.15
0,3000,MILP,11222.2
0,3300,stdDP,321633
0,3300,parDP,174150
0,3300,extDP,6043.26
0,3300,MILP,11355.4
0,3600,stdDP,315209
0,3600,parDP,174049
0,3600,extDP,6100.95
0,3600,MILP,11184.3
0,3900,stdDP,317814
0,3900,parDP,169806
0,3900,extDP,6067.96
0,3900,MILP,11697.6
0,4200,stdDP,315189
0,4200,parDP,169147
0,4200,extDP,5960.13
0,4200,MILP,12201.7
0,4500,stdDP,316836
0,4500,parDP,185396
0,4500,extDP,5893.93
0,4500,MILP,11732.9
0,4800,stdDP,314332
0,4800,parDP,168745
0,4800,extDP,5784.79
0,4800,MILP,11518.4
0,5100,stdDP,316814
0,5100,parDP,173985
0,5100,extDP,5778.99
0,5100,MILP,11486.6
0,5400,stdDP,315434
0,5400,parDP,167784
0,5400,extDP,6014.58
0,5400,MILP,11366.8
0,5700,stdDP,317746
0,5700,parDP,169065
0,5700,extDP,5915.22
0,5700,MILP,11286.7
0,600,stdDP,316693
0,600,parDP,172203
0,600,extDP,5731.05
0,600,MILP,11182.9
0,6000,stdDP,318755
0,6000,parDP,164590
0,6000,extDP,5575.07
0,6000,MILP,11315.9
0,6300,stdDP,315617
0,6300,parDP,173892
0,6300,extDP,5718.62
0,6300,MILP,11144.2
0,6600,stdDP,312844
0,6600,parDP,171888
0,6600,extDP,5705.55
0,6600,MILP,11445.2
0,6900,stdDP,316161
0,6900,parDP,177713
0,6900,extDP,5930.32
0,6900,MILP,11447.3
0,7200,stdDP,316109
0,7200,parDP,163896
0,7200,extDP,5930.98
0,7200,MILP,11740.4
0,7500,stdDP,318888
0,7500,parDP,175241
0,7500,extDP,5798.16
0,7500,MILP,11091.8
0,7800,stdDP,322770
0,7800,parDP,170667
0,7800,extDP,5837.61
0,7800,MILP,11226.7
0,8100,stdDP,320003
0,8100,parDP,176905
