unit,iter,solver,time_us
0,0,stdDP,16447.2
0,0,extDP,1155.67
0,0,MILP,2439.68
0,1200,stdDP,15726.3
0,1200,extDP,983.431
0,1200,MILP,2536.09
0,1600,stdDP,16063.5
0,1600,extDP,983.311
0,1600,MILP,3047.91
0,2000,stdDP,16131.6
0,2000,extDP,1156.91
0,2000,MILP,2457.08
0,2400,stdDP,15210.1
0,2400,extDP,911.325
0,2400,MILP,2337.52
0,2800,stdDP,15042.9
0,2800,extDP,954.683
0,2800,MILP,3352.48
0,3200,stdDP,15683
0,3200,extDP,1029.66
0,3200,MILP,3842
0,3600,stdDP,15329.7
0,3600,extDP,871.004
0,3600,MILP,2642.56
0,400,stdDP,14946
0,400,extDP,870.92
0,400,MILP,2364.52
0,4000,stdDP,14973.7
0,4000,extDP,949.971
0,4000,MILP,2309.47
0,4400,stdDP,15318.1
0,4400,extDP,857.849
0,4400,MILP,2953.75
0,4800,stdDP,15118.8
0,4800,extDP,880.547
0,4800,MILP,2843.74
0,5200,stdDP,19598.8
0,5200,extDP,1021.21
0,5200,MILP,2278.77
0,5600,stdDP,15022.9
0,5600,extDP,878.489
0,5600,MILP,2500.23
0,6000,stdDP,15094.6
0,6000,extDP,868.743
0,6000,MILP,3164.38
0,6400,stdDP,17680.5
0,6400,extDP,1120.7
0,6400,MILP,3453.26
0,6800,stdDP,22577.4
0,6800,extDP,2051.34
0,6800,MILP,5002.85
0,7200,stdDP,16112.4
0,7200,extDP,1047.23
0,7200,MILP,2682.67
0,7600,stdDP,26245.6
0,7600,extDP,1977.61
0,7600,MILP,3918.24
0,800,stdDP,15410.9
0,800,extDP,1000.96
0,800,MILP,2473.03
0,8000,stdDP,15414.3
0,8000,extDP,1010.62
0,8000,MILP,2359.3
0,8400,stdDP,15759.9
0,8400,extDP,1063.39
0,8400,MILP,2592.96
0,8800,stdDP,16133.3
0,8800,extDP,1052.81
0,8800,MILP,2472.2
0,9200,stdDP,16357.4
0,9200,extDP,1018.4
0,9200,MILP,2629.88
0,9600,stdDP,18650
0,9600,extDP,1102.78
0,9600,MILP,2590.47
1,0,stdDP,16382.3
1,0,extDP,4606.11
1,0,MILP,3119.27
1,1200,stdDP,16826.2
1,1200,extDP,4716.17
1,1200,MILP,3623.88
1,1600,stdDP,16154.5
1,1600,extDP,4536.72
1,1600,MILP,3242.04
1,2000,stdDP,16081.3
1,2000,extDP,4629.99
1,2000,MILP,3268.59
1,2400,stdDP,16108.5
1,2400,extDP,4398.02
1,2400,MILP,4123.51
1,2800,stdDP,16260
1,2800,extDP,4355.82
1,2800,MILP,3313.72
1,3200,stdDP,16714.5
1,3200,extDP,4546.61
1,3200,MILP,3253.37
1,3600,stdDP,16061.6
1,3600,extDP,4357.3
1,3600,MILP,3137
1,400,stdDP,16007.6
1,400,extDP,4370.89
1,400,MILP,3152.19
1,4000,stdDP,16205.5
